EventID,Event,Error,Pick,Network,Station,Location,Channel,Latitude,Longitude,Distance,Origem Latitude,Origem Longitude,Depth/km,Pick Time,Origin Time,Start Time,End Time,Cat,MLv,Certainty,Path
usp2024ouyr,20240729T164143,,P,BL,FRTB,,HHZ,-23.3439,-49.564,276.44204462454525,-23.47353172,-46.86299515,0.0,2024-07-29T16:42:25.841138Z,2024-07-29T16:41:43.551973Z,2024-07-29T16:42:14.841138Z,2024-07-29T16:43:14.841138Z,earthquake,2.428351755,suspected,20240729T164143/BL_FRTB_20240729T164143.mseed
usp2024ouyr,20240729T164143,,P,BL,RCLB,,HHZ,-22.4191,-47.531,135.38569120296572,-23.47353172,-46.86299515,0.0,2024-07-29T16:42:06.238955Z,2024-07-29T16:41:43.551973Z,2024-07-29T16:41:55.238955Z,2024-07-29T16:42:55.238955Z,earthquake,2.428351755,suspected,20240729T164143/BL_RCLB_20240729T164143.mseed
usp2024ouyr,20240729T164143,,P,BL,VABB,,HHZ,-23.0021,-46.9657,53.25735014388735,-23.47353172,-46.86299515,0.0,2024-07-29T16:41:52.232314Z,2024-07-29T16:41:43.551973Z,2024-07-29T16:41:41.232314Z,2024-07-29T16:42:41.232314Z,earthquake,2.428351755,suspected,20240729T164143/BL_VABB_20240729T164143.mseed
usp2024ourn,20240729T130414,,P,NB,NBMA,,HHZ,-7.365352,-38.764058,318.37998880529494,-4.616324425,-39.61845398,0.0,2024-07-29T13:05:01.862127Z,2024-07-29T13:04:14.595238Z,2024-07-29T13:04:50.862127Z,2024-07-29T13:05:50.862127Z,earthquake,2.456333794,known,20240729T130414/NB_NBMA_20240729T130414.mseed
usp2024ourn,20240729T130414,,P,NB,NBPA,,HHZ,-5.75028,-37.112047,304.85761092405517,-4.616324425,-39.61845398,0.0,2024-07-29T13:04:59.827211Z,2024-07-29T13:04:14.595238Z,2024-07-29T13:04:48.827211Z,2024-07-29T13:05:48.827211Z,earthquake,2.456333794,known,20240729T130414/NB_NBPA_20240729T130414.mseed
usp2024ourn,20240729T130414,,P,NB,NBPF,,HHZ,-6.143998,-38.190476,231.48683390640545,-4.616324425,-39.61845398,0.0,2024-07-29T13:04:50.655018Z,2024-07-29T13:04:14.595238Z,2024-07-29T13:04:39.655018Z,2024-07-29T13:05:39.655018Z,earthquake,2.456333794,known,20240729T130414/NB_NBPF_20240729T130414.mseed
usp2024ourn,20240729T130414,,P,NB,NBPS,,HHZ,-4.393969,-41.445618,204.2598704290943,-4.616324425,-39.61845398,0.0,2024-07-29T13:04:47.306413Z,2024-07-29T13:04:14.595238Z,2024-07-29T13:04:36.306413Z,2024-07-29T13:05:36.306413Z,earthquake,2.456333794,known,20240729T130414/NB_NBPS_20240729T130414.mseed
usp2024ourn,20240729T130414,,P,NB,NBMO,,HHZ,-3.310348,-40.042927,151.91308572100496,-4.616324425,-39.61845398,0.0,2024-07-29T13:04:50.835142Z,2024-07-29T13:04:14.595238Z,2024-07-29T13:04:39.835142Z,2024-07-29T13:05:39.835142Z,earthquake,2.456333794,known,20240729T130414/NB_NBMO_20240729T130414.mseed
usp2024ourn,20240729T130414,,P,NB,NBCL,,HHZ,-4.224377,-38.291041,153.57295534373984,-4.616324425,-39.61845398,0.0,2024-07-29T13:04:40.042532Z,2024-07-29T13:04:14.595238Z,2024-07-29T13:04:29.042532Z,2024-07-29T13:05:29.042532Z,earthquake,2.456333794,known,20240729T130414/NB_NBCL_20240729T130414.mseed
usp2024ourn,20240729T130414,,P,NB,NBSB,,HHZ,-3.668,-40.4798,141.92545052584887,-4.616324425,-39.61845398,0.0,2024-07-29T13:04:38.572781Z,2024-07-29T13:04:14.595238Z,2024-07-29T13:04:27.572781Z,2024-07-29T13:05:27.572781Z,earthquake,2.456333794,known,20240729T130414/NB_NBSB_20240729T130414.mseed
usp2024otya,20240729T031326,,P,GE,SALTA,,HHZ,-24.2241,-66.34,175.157550792951,-24.66054916,-68.00029755,189000.0,2024-07-29T03:14:00.911121Z,2024-07-29T03:13:26.896362Z,2024-07-29T03:13:49.911121Z,2024-07-29T03:14:49.911121Z,earthquake,4.022395709,known,20240729T031326/GE_SALTA_20240729T031326.mseed
usp2024otqs,20240728T233117,,P,BL,DIAM,,HHZ,-18.2952,-43.6648,368.4634942282896,-14.96901226,-43.81935883,0.0,2024-07-28T23:32:10.328420Z,2024-07-28T23:31:17.290395Z,2024-07-28T23:31:59.328420Z,2024-07-28T23:32:59.328420Z,earthquake,2.059749727,known,20240728T233117/BL_DIAM_20240728T233117.mseed
usp2024otqs,20240728T233117,,P,BR,SDBA,,HHZ,-12.4085,-44.903,306.5786249476703,-14.96901226,-43.81935883,0.0,2024-07-28T23:32:02.703938Z,2024-07-28T23:31:17.290395Z,2024-07-28T23:31:51.703938Z,2024-07-28T23:32:51.703938Z,earthquake,2.059749727,known,20240728T233117/BR_SDBA_20240728T233117.mseed
usp2024otqs,20240728T233117,,P,BL,ARCA,,HHZ,-16.8467,-41.9597,287.7921579413572,-14.96901226,-43.81935883,0.0,2024-07-28T23:32:00.603618Z,2024-07-28T23:31:17.290395Z,2024-07-28T23:31:49.603618Z,2024-07-28T23:32:49.603618Z,earthquake,2.059749727,known,20240728T233117/BL_ARCA_20240728T233117.mseed
usp2024otqs,20240728T233117,,P,BR,JANB,,HHZ,-15.058097,-44.311197,53.80471200754385,-14.96901226,-43.81935883,0.0,2024-07-28T23:31:26.679739Z,2024-07-28T23:31:17.290395Z,2024-07-28T23:31:15.679739Z,2024-07-28T23:32:15.679739Z,earthquake,2.059749727,known,20240728T233117/BR_JANB_20240728T233117.mseed
usp2024otiy,20240728T193433,,P,BR,VILB,,HHZ,-12.9528,-60.2002,298.10304592439127,-12.30490589,-57.5368042,0.0,2024-07-28T19:35:18.043749Z,2024-07-28T19:34:33.396860Z,2024-07-28T19:35:07.043749Z,2024-07-28T19:36:07.043749Z,earthquake,2.604795404,suspected,20240728T193433/BR_VILB_20240728T193433.mseed
usp2024oruf,20240727T230159,,P,BL,VABB,,HHZ,-23.0021,-46.9657,380.79128785241716,-20.029,-48.81333333,0.0,2024-07-27T23:02:52.811906Z,2024-07-27T23:01:59.030000Z,2024-07-27T23:02:41.811906Z,2024-07-27T23:03:41.811906Z,earthquake,3.24942122,known,20240727T230159/BL_VABB_20240727T230159.mseed
usp2024oruf,20240727T230159,,P,BL,FRTB,,HHZ,-23.3439,-49.564,375.174121993833,-20.029,-48.81333333,0.0,2024-07-27T23:02:52.053064Z,2024-07-27T23:01:59.030000Z,2024-07-27T23:02:41.053064Z,2024-07-27T23:03:41.053064Z,earthquake,3.24942122,known,20240727T230159/BL_FRTB_20240727T230159.mseed
usp2024oruf,20240727T230159,,P,BL,PCMB,,HHZ,-21.6074,-51.2619,309.0271347053004,-20.029,-48.81333333,0.0,2024-07-27T23:02:44.572926Z,2024-07-27T23:01:59.030000Z,2024-07-27T23:02:33.572926Z,2024-07-27T23:03:33.572926Z,earthquake,3.24942122,known,20240727T230159/BL_PCMB_20240727T230159.mseed
usp2024oruf,20240727T230159,,P,BL,PMNB,,HHZ,-18.54,-46.44,298.9894214852846,-20.029,-48.81333333,0.0,2024-07-27T23:02:42.768175Z,2024-07-27T23:01:59.030000Z,2024-07-27T23:02:31.768175Z,2024-07-27T23:03:31.768175Z,earthquake,3.24942122,known,20240727T230159/BL_PMNB_20240727T230159.mseed
usp2024oruf,20240727T230159,,P,BL,RCLB,,HHZ,-22.4191,-47.531,296.22371814370666,-20.029,-48.81333333,0.0,2024-07-27T23:02:44.357723Z,2024-07-27T23:01:59.030000Z,2024-07-27T23:02:33.357723Z,2024-07-27T23:03:33.357723Z,earthquake,3.24942122,known,20240727T230159/BL_RCLB_20240727T230159.mseed
usp2024oruf,20240727T230159,,P,BL,CANS,,HHZ,-20.2896,-46.3921,254.7554582693235,-20.029,-48.81333333,0.0,2024-07-27T23:02:37.999229Z,2024-07-27T23:01:59.030000Z,2024-07-27T23:02:26.999229Z,2024-07-27T23:03:26.999229Z,earthquake,3.24942122,known,20240727T230159/BL_CANS_20240727T230159.mseed
usp2024oruf,20240727T230159,,P,BR,IPMB,,HHZ,-17.982956,-48.211734,235.17072845401478,-20.029,-48.81333333,0.0,2024-07-27T23:02:35.326176Z,2024-07-27T23:01:59.030000Z,2024-07-27T23:02:24.326176Z,2024-07-27T23:03:24.326176Z,earthquake,3.24942122,known,20240727T230159/BR_IPMB_20240727T230159.mseed
usp2024oruf,20240727T230159,,P,BL,ITRB,,HHZ,-19.7042,-50.359,165.82952149584844,-20.029,-48.81333333,0.0,2024-07-27T23:02:25.524702Z,2024-07-27T23:01:59.030000Z,2024-07-27T23:02:14.524702Z,2024-07-27T23:03:14.524702Z,earthquake,3.24942122,known,20240727T230159/BL_ITRB_20240727T230159.mseed
usp2024oruf,20240727T230159,,P,BL,BB19B,,HHZ,-21.0662,-48.5279,118.62454781203321,-20.029,-48.81333333,0.0,2024-07-27T23:02:18.501263Z,2024-07-27T23:01:59.030000Z,2024-07-27T23:02:07.501263Z,2024-07-27T23:03:07.501263Z,earthquake,3.24942122,known,20240727T230159/BL_BB19B_20240727T230159.mseed
usp2024orru,20240727T214814,,P,GE,SALTA,,HHZ,-24.2241,-66.34,92.17853317294738,-24.38168144,-67.23162842,180000.0,2024-07-27T21:48:41.174004Z,2024-07-27T21:48:14.629086Z,2024-07-27T21:48:30.174004Z,2024-07-27T21:49:30.174004Z,earthquake,4.29315513,known,20240727T214814/GE_SALTA_20240727T214814.mseed
usp2024orfo,20240727T153701,,P,NB,NBMO,,HHZ,-3.310348,-40.042927,65.03446618055176,-3.68,-40.49816667,0.0,2024-07-27T15:37:15.555419Z,2024-07-27T15:37:01.740000Z,2024-07-27T15:37:04.555419Z,2024-07-27T15:38:04.555419Z,earthquake,1.259561066,known,20240727T153701/NB_NBMO_20240727T153701.mseed
usp2024orfo,20240727T153701,,P,NB,NBSB,,HHZ,-3.668,-40.4798,2.4339258468866536,-3.68,-40.49816667,0.0,2024-07-27T15:36:59.008205Z,2024-07-27T15:37:01.740000Z,2024-07-27T15:36:48.008205Z,2024-07-27T15:37:48.008205Z,earthquake,1.259561066,known,20240727T153701/NB_NBSB_20240727T153701.mseed
usp2024omrh,20240725T035224,,P,BL,FRTB,,HHZ,-23.3439,-49.564,374.5401854473917,-20.03317261,-48.82185745,0.0,2024-07-25T03:53:18.739816Z,2024-07-25T03:52:24.962773Z,2024-07-25T03:53:07.739816Z,2024-07-25T03:54:07.739816Z,earthquake,2.366963892,known,20240725T035224/BL_FRTB_20240725T035224.mseed
usp2024omrh,20240725T035224,,P,BL,PCMB,,HHZ,-21.6074,-51.2619,308.03133798673196,-20.03317261,-48.82185745,0.0,2024-07-25T03:53:10.497114Z,2024-07-25T03:52:24.962773Z,2024-07-25T03:52:59.497114Z,2024-07-25T03:53:59.497114Z,earthquake,2.366963892,known,20240725T035224/BL_PCMB_20240725T035224.mseed
usp2024omrh,20240725T035224,,P,BL,PMNB,,HHZ,-18.54,-46.44,299.98889365021944,-20.03317261,-48.82185745,0.0,2024-07-25T03:53:09.402376Z,2024-07-25T03:52:24.962773Z,2024-07-25T03:52:58.402376Z,2024-07-25T03:53:58.402376Z,earthquake,2.366963892,known,20240725T035224/BL_PMNB_20240725T035224.mseed
usp2024omrh,20240725T035224,,P,BL,CANS,,HHZ,-20.2896,-46.3921,255.58578069807288,-20.03317261,-48.82185745,0.0,2024-07-25T03:53:03.993109Z,2024-07-25T03:52:24.962773Z,2024-07-25T03:52:52.993109Z,2024-07-25T03:53:52.993109Z,earthquake,2.366963892,known,20240725T035224/BL_CANS_20240725T035224.mseed
usp2024omrh,20240725T035224,,P,BR,IPMB,,HHZ,-17.982956,-48.211734,235.8582211969437,-20.03317261,-48.82185745,0.0,2024-07-25T03:53:01.931901Z,2024-07-25T03:52:24.962773Z,2024-07-25T03:52:50.931901Z,2024-07-25T03:53:50.931901Z,earthquake,2.366963892,known,20240725T035224/BR_IPMB_20240725T035224.mseed
usp2024omrh,20240725T035224,,P,BL,ITRB,,HHZ,-19.7042,-50.359,165.05735261173388,-20.03317261,-48.82185745,0.0,2024-07-25T03:52:51.989141Z,2024-07-25T03:52:24.962773Z,2024-07-25T03:52:40.989141Z,2024-07-25T03:53:40.989141Z,earthquake,2.366963892,known,20240725T035224/BL_ITRB_20240725T035224.mseed
