index,EventID,Error,Pick,Network,Location,Channel,Latitude,Longitude,Distance,Origem Latitude,Origem Longitude,Depth/km,Pick Time,Origin Time,Start Time,End Time,Cat,MLv,Certainty,Path,Compo,CFT,Warning
8115,usp2012cswi,"["" - Error! len(compo) != 3 (['Z'])""]",P,ON,,HHZ,-22.86516,-43.964094,287.5071378137774,-24.56134415,-46.09851074,2000.0,2012-02-08T18:48:16.061279Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:48:05.061279Z,2012-02-08T18:49:05.061279Z,earthquake,2.598904622,known,20120208T184732/ON_MAN01_20120208T184732.mseed,[],,[]
8102,bsb20120221063625,"["" - Error! len(compo) != 3 (['Z'])""]",P,ON,,HHZ,-22.86516,-43.964094,169.9692692805942,-23.48016167,-45.48500061,0.0,2012-02-21T06:35:54.243408Z,2012-02-21T06:35:26.308713Z,2012-02-21T06:35:43.243408Z,2012-02-21T06:36:43.243408Z,earthquake,3.072478086,suspected,20120221T063526/ON_MAN01_20120221T063526.mseed,[],,[]
8089,usp2012fuzz,"["" - Error! len(compo) != 3 (['Z'])""]",P,ON,,HHZ,-22.86516,-43.964094,102.690030825158,-23.41579628,-44.77083969,0.0,2012-03-23T15:31:42.628367Z,2012-03-23T15:31:25.177595Z,2012-03-23T15:31:31.628367Z,2012-03-23T15:32:31.628367Z,earthquake,2.21173104,suspected,20120323T153125/ON_MAN01_20120323T153125.mseed,[],,[]
8082,usp2012fwym,"["" - Error! len(compo) != 3 (['Z'])""]",P,ON,,HHZ,-22.86516,-43.964094,257.6975540521356,-25.18963432,-44.07380676,0.0,2012-03-24T17:03:00.388946Z,2012-03-24T17:02:21.744028Z,2012-03-24T17:02:49.388946Z,2012-03-24T17:03:49.388946Z,earthquake,2.975195899,known,20120324T170221/ON_MAN01_20120324T170221.mseed,[],,[]
8069,usp2012hzep,"["" - Error! len(compo) != 3 (['Z'])""]",P,ON,,HHZ,-22.86516,-43.964094,103.15429954844728,-23.41172028,-44.7796669,0.0,2012-04-23T09:29:04.755493Z,2012-04-23T09:28:47.105631Z,2012-04-23T09:28:53.755493Z,2012-04-23T09:29:53.755493Z,earthquake,2.118416116,known,20120423T092847/ON_MAN01_20120423T092847.mseed,[],,[]
8027,usp2012lzsk,"["" - Error! len(compo) != 3 (['Z'])""]",P,ON,,HHZ,-21.825656,-41.657401,102.36867529446648,-22.18578339,-42.57048035,0.0,2012-06-19T14:36:08.069793Z,2012-06-19T14:35:50.122594Z,2012-06-19T14:35:57.069793Z,2012-06-19T14:36:57.069793Z,earthquake,2.142427942,known,20120619T143550/ON_CAM01_20120619T143550.mseed,[],,[]
8026,usp2012lzsk,"["" - Error! len(compo) != 3 (['Z'])""]",P,ON,,HHZ,-22.86516,-43.964094,161.90969258681469,-22.18578339,-42.57048035,0.0,2012-06-19T14:36:16.141418Z,2012-06-19T14:35:50.122594Z,2012-06-19T14:36:05.141418Z,2012-06-19T14:37:05.141418Z,earthquake,2.142427942,known,20120619T143550/ON_MAN01_20120619T143550.mseed,[],,[]
8021,usp2012noiv,"["" - Error! len(compo) != 3 (['Z'])""]",P,ON,,HHZ,-21.825656,-41.657401,26.192791988804736,-21.81612587,-41.40427017,0.0,2012-07-11T20:19:56.118469Z,2012-07-11T20:19:51.063911Z,2012-07-11T20:19:45.118469Z,2012-07-11T20:20:45.118469Z,earthquake,2.613804246,known,20120711T201951/ON_CAM01_20120711T201951.mseed,[],,[]
8017,usp2012noiv,"["" - Error! len(compo) != 3 (['Z'])""]",P,ON,,HHZ,-22.86516,-43.964094,288.1418704156199,-21.81612587,-41.40427017,0.0,2012-07-11T20:20:35.072753Z,2012-07-11T20:19:51.063911Z,2012-07-11T20:20:24.072753Z,2012-07-11T20:21:24.072753Z,earthquake,2.613804246,known,20120711T201951/ON_MAN01_20120711T201951.mseed,[],,[]
8004,usp2012sdcf,"["" - Error! len(compo) != 3 (['Z'])""]",P,ON,,HHZ,-22.86516,-43.964094,336.0478468035842,-19.96659279,-44.92525482,0.0,2012-09-14T20:10:34.966907Z,2012-09-14T20:09:46.144641Z,2012-09-14T20:10:23.966907Z,2012-09-14T20:11:23.966907Z,earthquake,3.279941451,known,20120914T200946/ON_MAN01_20120914T200946.mseed,[],,[]
