ID,Hora de Origem (UTC),Longitude,Latitude,MLv,Distance,Folder,Cat,Certainty
usp2020hkyw,2020-04-15T14:40:20.000000Z,-56.7317,-11.6123,0.1755230295,0.22934459104391727,20200415T144020,earthquake,suspected
usp2022gpbs,2022-04-04T15:07:42.000000Z,-40.0374,-3.3116,0.2756655954,0.45202429185113924,20220404T150742,earthquake,suspected
usp2014oaxt,2014-07-19T17:30:30.000000Z,-55.3633,-7.05,0.4860355302,0.7840549447308719,20140719T173030,earthquake,suspected
usp2015rxwc,2015-09-12T23:24:35.000000Z,-36.1218,-9.4065,0.645200139,33.497182549326546,20150912T232435,earthquake,suspected
usp2014kloc,2014-05-29T14:58:30.000000Z,-41.6596,-21.8477,0.7314322965,2.4514531673196425,20140529T145830,earthquake,suspected
usp2015cjmh,2015-02-03T15:30:35.694424Z,-35.99222565,-8.358922005,0.744217381,101.62578000652093,20150203T153035,earthquake,suspected
usp2015phgr,2015-08-06T10:21:28.000000Z,-48.5,-21.0476,0.6557203286,3.5565475080912963,20150806T102128,earthquake,suspected
usp2016fwub,2016-03-24T14:48:15.000000Z,-55.7038,-20.4778,0.6683768326,0.4812422953630468,20160324T144815,earthquake,known
usp2019ianq,2019-04-25T03:10:02.000000Z,-50.8499,-29.3323,0.7063138253,1.9676333072635817,20190425T031002,earthquake,suspected
usp2019nstm,2019-07-15T06:15:50.000000Z,-56.7327,-11.6112,0.7057217416,0.3595007308300882,20190715T061550,earthquake,suspected
usp2014jybg,2014-05-22T05:42:56.000000Z,-44.6555,-21.053,0.8015361742,12.750955793603062,20140522T054256,earthquake,known
usp2014lafu,2014-06-06T15:48:44.000000Z,-55.6093,-15.8001,0.7576297893,14.372433624726874,20140606T154844,earthquake,suspected
usp2019dkga,2019-02-18T07:00:46.000000Z,-51.2855,-11.9723,0.83107286,0.9812131853356774,20190218T070046,earthquake,suspected
usp2020qlqm,2020-08-22T01:23:44.000000Z,-50.882,-29.379,0.7516305767,7.642367578254987,20200822T012344,earthquake,known
usp2022havu,2022-04-11T01:45:55.332847Z,-48.67777252,-20.94091988,0.8352316681,20.861243343234815,20220411T014555,earthquake,known
usp2017qdbb,2017-08-18T08:31:22.994525Z,-44.9434166,-21.17993736,0.9338472846,197.34594796579015,20170818T083122,earthquake,suspected
usp2021reil,2021-09-02T06:54:55.000000Z,-52.1262,-27.2331,0.8707208749,0.5430984767643211,20210902T065455,earthquake,suspected
usp2014klix,2014-05-29T12:20:54.000000Z,-44.6645,-21.0654,0.9599788345,12.685817125324002,20140529T122054,earthquake,suspected
usp2014pgna,2014-08-06T00:26:23.000000Z,-50.8636,-29.4694,0.9529741482,17.165355775823514,20140806T002623,earthquake,known
usp2017gagp,2017-03-27T12:33:15.000000Z,-51.8145,-15.7103,0.9569881438,0.5460885214791668,20170327T123315,earthquake,suspected
usp2018pubu,2018-08-13T10:39:11.000000Z,-43.948,-22.8913,0.9792511381,3.3327551114185283,20180813T103911,earthquake,known
usp2018purz,2018-08-13T18:50:54.897879Z,-44.04551697,-22.87168121,0.9631136714,90.20004123210062,20180813T185054,earthquake,known
usp2021laza,2021-06-07T01:32:11.000000Z,-40.5212,-11.1837,1.02479167,51.280377800289216,20210607T013211,earthquake,known
usp2023iafm,2023-04-24T23:03:38.000000Z,-48.48,-21.27,1.003968515,23.106418856416855,20230424T230338,earthquake,known
usp2023ivdo,2023-05-06T09:56:59.000000Z,-48.48,-21.27,0.9856046903,23.106418856416855,20230506T095659,earthquake,known
usp2014kdlg,2014-05-25T04:26:36.000000Z,-44.6595,-21.0644,1.091495412,13.048666345297907,20140525T042636,earthquake,known
usp2014pdar,2014-08-04T02:45:59.000000Z,-50.8602,-29.4713,1.135640377,17.359741723187987,20140804T024559,earthquake,known
usp2015dhro,2015-02-16T21:25:01.201290Z,-65.65827179,-9.394335747,1.092194925,76.81607712989452,20150216T212501,earthquake,known
usp2015oucr,2015-07-30T05:34:41.000000Z,-48.504,-21.054,1.093053239,2.827417038406277,20150730T053441,earthquake,suspected
usp2015pgki,2015-08-05T23:04:39.000000Z,-48.504,-21.054,1.067492936,2.827417038406277,20150805T230439,earthquake,suspected
usp2018kric,2018-06-01T18:45:28.000000Z,-56.7306,-11.6056,1.119705585,0.7488490839993024,20180601T184528,earthquake,known
usp2018ujoj,2018-10-17T20:11:45.979450Z,-36.2779808,-8.854492188,1.062365912,75.42643389801714,20181017T201145,earthquake,suspected
usp2020fufu,2020-03-23T05:19:58.595349Z,-48.6469841,-21.06603622,1.086703504,12.37577394274339,20200323T051958,earthquake,known
usp2020rkpd,2020-09-04T17:07:20.000000Z,-50.882,-29.379,1.124828351,7.642367578254987,20200904T170720,earthquake,known
usp2023hjuw,2023-04-15T23:31:00.000000Z,-48.66,-21.09,1.148419768,13.977959282756292,20230415T233100,earthquake,known
usp2023oxvx,2023-08-01T06:41:27.000000Z,-48.69,-21.08,1.126285764,16.914531926358123,20230801T064127,earthquake,known
usp2013apqf,2013-01-09T13:13:52.548336Z,-43.88937378,-16.7083168,1.225488349,10.934488151759767,20130109T131352,earthquake,known
usp2014lsvk,2014-06-16T20:09:26.000000Z,-43.8159,-16.6903,1.150129703,188.24364650550288,20140616T200926,earthquake,suspected
usp2015pjdm,2015-08-07T11:01:17.326714Z,-43.85603333,-16.72894287,1.242487893,191.20871196799712,20150807T110117,earthquake,suspected
usp2016sobl,2016-09-20T20:16:57.441520Z,-35.32483292,-8.669340134,1.248428194,152.02254149769627,20160920T201657,earthquake,suspected
usp2018nkbf,2018-07-10T11:55:52.000000Z,-39.55,-5.72,1.216432155,19.603804492067713,20180710T115552,earthquake,known
usp2019axor,2019-01-13T21:32:23.000000Z,-56.7304,-11.6138,1.247611485,0.18791335535592835,20190113T213223,earthquake,suspected
usp2019vjbz,2019-10-31T19:29:06.000000Z,-56.7269,-11.6071,1.193321699,0.645760619489195,20191031T192906,earthquake,suspected
usp2020eqvp,2020-03-07T03:13:49.977714Z,-48.64090729,-21.31612206,1.201137544,30.056508135967483,20200307T031349,earthquake,suspected
usp2020fuko,2020-03-23T07:43:47.990402Z,-48.69001007,-21.08092499,1.228668037,16.92508010097375,20200323T074347,earthquake,known
usp2020khfd,2020-05-26T05:54:23.804882Z,-39.96219254,-3.90350771,1.175048501,173.41404939905814,20200526T055423,earthquake,known
usp2022ejxy,2022-03-04T08:27:51.000000Z,-40.4026,-11.2741,1.175981588,52.24376452260008,20220304T082751,earthquake,suspected
usp2022infq,2022-05-02T01:54:16.000000Z,-48.65,-20.9662,1.169431746,16.84356861819898,20220502T015416,earthquake,known
