EventID;Time;Longitude;Latitude;depth;magnitude;magnitudet;region;author;mode
"usp2024irzo";2024-05-03T16:30:44.333Z;-44.114;-19.603;0.0;2.0;"MLv";"Capim Branco/MG";"jroberto";M
"usp2024inou";2024-05-01T06:31:59.533Z;-43.925;-19.527;0.0;1.6;"mR";"Lagoa Santa/MG";"jroberto";M
"usp2024inlh";2024-05-01T04:45:09.432Z;-40.915;-2.773;0.0;2.0;"mR";"Camocim/CE";"jroberto";M
"usp2024inhw";2024-05-01T03:01:09.094Z;-40.905;-2.791;0.0;2.4;"mR";"Camocim/CE";"jroberto";M
"usp2024iavj";2024-04-24T07:04:42.000Z;-52.110;-12.858;0.0;3.2;"mR";"Ribeirao Cascalheira/MT";"marcelo";M
"usp2024hxyq";2024-04-22T17:19:45.000Z;-43.807;-19.654;0.0;2.8;"mR";"Lagoa Santa/MG";"marcelo";M
"usp2024hkcw";2024-04-15T03:33:54.000Z;-44.063;-19.528;0.0;1.9;"mR";"Matozinhos/MG";"marcelo";M
"usp2024hdrj";2024-04-11T14:56:09.736Z;-45.614;-20.404;0.0;2.8;"mR";"Pains/MG";"jroberto";M
"usp2024gwfi";2024-04-07T12:53:30.526Z;-48.747;-20.002;0.0;2.6;"mR";"Frutal/MG";"jroberto";M
"usp2024gvxw";2024-04-07T09:10:08.449Z;-44.257;-19.508;0.0;1.8;"mR";"Reg. de Sete Lagoas/MG";"marcelo";M
"usp2024gnqw";2024-04-02T20:30:43.486Z;-51.058;-29.775;0.0;2.1;"mR";"Sao Leopoldo/RS";"bruno";M
"usp2024gddh";2024-03-28T02:16:41.854Z;-48.740;-20.014;0.0;2.4;"mR";"Frutal/MG";"cleusa";M
"usp2024gdda";2024-03-28T02:09:23.088Z;-48.789;-20.014;0.0;2.6;"mR";"Frutal/MG";"cleusa";M
"usp2024gcfo";2024-03-27T14:16:13.255Z;-72.574;-8.545;12.0;5.0;"mb";"Peru-Brazil Border Region";"cleusa";M
"usp2024gbzz";2024-03-27T11:29:31.809Z;-74.101;-7.137;147.0;4.4;"mb";"Peru-Brazil Border Region";"cleusa";M
"usp2024gaxb";2024-03-26T20:51:53.155Z;-47.891;-19.661;0.0;2.1;"mR";"Uberaba/MG";"jroberto";M
"usp2024feuf";2024-03-14T18:26:11.855Z;-47.706;-19.476;0.0;2.6;"mR";"Nova Ponte/MG";"jroberto";M
"usp2024fdvr";2024-03-14T06:01:59.000Z;-48.787;-20.003;0.0;2.7;"mR";"Frutal/MG";"marcelo";M
"usp2024emkb";2024-03-04T16:51:17.000Z;-44.224;-19.525;0.0;2.3;"mR";"Sete Lagoas/MG";"marcelo";M
"usp2024eite";2024-03-02T16:54:42.479Z;-44.297;-19.413;0.0;2.7;"mR";"Sete Lagoas/MG";"marcelo";M
"usp2024efer";2024-02-29T18:10:36.472Z;-56.615;-10.290;0.0;2.6;"MLv";"Tabapora/MT";"jroberto";M
"usp2024dyve";2024-02-26T06:34:40.071Z;-48.618;-20.902;0.0;1.9;"MLv";"Monte Azul Paulista/SP";"jroberto";M
"usp2024dyhr";2024-02-25T23:44:31.917Z;-48.783;-20.007;0.0;2.1;"mR";"Frutal/MG";"jroberto";M
"usp2024dxus";2024-02-25T17:12:10.595Z;-48.647;-21.034;0.0;1.4;"MLv";"Frutal/MG";"jroberto";M
"usp2024duej";2024-02-23T17:32:28.894Z;-48.789;-20.001;0.0;2.5;"mR";"Frutal/MG";"jroberto";M
"usp2024dtop";2024-02-23T09:33:48.464Z;-52.940;-14.924;0.0;2.7;"mR";"Novo Sao Joaquim/MT";"jroberto";M
"usp2024dnyp";2024-02-20T07:48:41.519Z;-49.652;-13.613;0.0;2.9;"mR";"Bonopolis/GO";"jroberto";M
"usp2024dadj";2024-02-12T18:18:14.979Z;-46.848;-17.011;0.0;2.6;"mR";"Paracatu/MG";"jroberto";M
"usp2024cypp";2024-02-11T22:13:02.000Z;-48.845;-20.013;0.0;2.2;"mR";"Frutal/MG";"jroberto";M
"usp2024cxhs";2024-02-11T05:05:51.864Z;-39.585;-12.974;0.0;2.7;"mR";"Amargosa/BA";"bruno";M
"usp2024cwfw";2024-02-10T15:02:09.886Z;-47.222;-16.131;0.0;2.3;"mR";"Cabeceira Grande/MG";"jroberto";M
"usp2024cuux";2024-02-09T20:20:51.979Z;-40.669;-13.611;0.0;2.3;"mR";"Maracas/BA";"jroberto";M
"usp2024cpeh";2024-02-06T18:16:58.160Z;-39.819;-14.264;0.0;2.3;"mR";"Itagiba/BA";"jroberto";M
"usp2024ckwu";2024-02-04T09:56:50.899Z;-48.891;-20.047;0.0;2.1;"mR";"Frutal/MG";"jroberto";M
