EventID,Time,Longitude,Latitude,depth,magnitude,magnitudet,region,author,mode
bsb19030210000000,1903-02-10 00:00:00+00:00,-38.97,-4.38,0.0,3.9,mA,BATURITE'-CE,bsb,M
bsb19030212000000,1903-02-12 00:00:00+00:00,-38.97,-4.38,0.0,3.9,mA,BATURITE'-CE,bsb,M
bsb19030214000000,1903-02-14 00:00:00+00:00,-38.97,-4.38,0.0,4.1,mA,BATURITE'-CE,bsb,M
bsb19030215000000,1903-02-15 00:00:00+00:00,-38.97,-4.38,0.0,4.1,mA,BATURITE'-CE,bsb,M
bsb19030216000000,1903-02-16 00:00:00+00:00,-38.97,-4.38,0.0,4.1,mA,BATURITE'-CE,bsb,M
bsb19061025025200,1906-10-25 02:52:00+00:00,-57.64,-19.0,0.0,4.2,mA,CORUMBA'-MS,bsb,M
bsb19061204110000,1906-12-04 11:00:00+00:00,-43.8,-20.95,0.0,3.2,mI,CARANDAI'-MG,bsb,M
bsb19091223000000,1909-12-23 00:00:00+00:00,-44.42,-2.41,0.0,3.0,mI,ALCANTARA-MA,bsb,M
bsb19110315235500,1911-03-15 23:55:00+00:00,-38.69,-12.89,0.0,3.3,mA,ITAPARICA-BA,bsb,M
bsb19110322180000,1911-03-22 18:00:00+00:00,-38.67,-12.92,0.0,4.4,mI,ITAPARICA-BA,bsb,M
bsb19120419080000,1912-04-19 08:00:00+00:00,-38.89,-13.2,0.0,3.7,mI,BR.JEQUIRICA-BA,bsb,M
bsb19150202000000,1915-02-02 00:00:00+00:00,-46.79,-24.18,0.0,3.2,mI,ITANHAEM-SP,bsb,M
bsb19151106183000,1915-11-06 18:30:00+00:00,-38.63,-12.67,0.0,4.0,mA,I.DAS FONTES-BA,bsb,M
bsb19170505075000,1917-05-05 07:50:00+00:00,-41.5,-21.6,0.0,4.5,mA,CAMPOS-RJ,bsb,M
bsb19171107232500,1917-11-07 23:25:00+00:00,-38.66,-12.48,0.0,4.3,mA,RIO FUNDO-BA,bsb,M
bsb19171108010000,1917-11-08 01:00:00+00:00,-38.62,-12.45,0.0,3.7,mA,RIO FUNDO-BA,bsb,M
bsb19180101000000,1918-01-01 00:00:00+00:00,-46.62,-23.53,0.0,3.0,mI,SAO PAULO-SP,bsb,M
bsb19180112110000,1918-01-12 11:00:00+00:00,-38.62,-12.45,0.0,3.7,mI,RIO FUNDO-BA,bsb,M
bsb19190605042000,1919-06-05 04:20:00+00:00,-44.75,-21.03,0.0,3.2,mI,BOM SUCESSO-MG,bsb,M
bsb19190901000000,1919-09-01 00:00:00+00:00,-46.85,-17.3,0.0,2.8,mI,PARACATU-MG,WILLIAMS 1922,M
bsb19191109140000,1919-11-09 14:00:00+00:00,-38.68,-12.75,0.0,3.8,mA,ACUPE-BA,bsb,M
bsb19191110000000,1919-11-10 00:00:00+00:00,-38.62,-12.59,0.0,3.6,mA,SANTO AMARO-BA,bsb,M
bsb19191113000000,1919-11-13 00:00:00+00:00,-38.7,-12.55,0.0,3.5,mI,SANTO AMARO-BA,bsb,M
bsb19191116095500,1919-11-16 09:55:00+00:00,-38.68,-12.67,0.0,3.5,mA,S.B.DASLAJES-BA,bsb,M
bsb19191123042000,1919-11-23 04:20:00+00:00,-38.62,-12.65,0.0,4.2,mA,M.RECONCAVO-BA,bsb,M
bsb19191124060000,1919-11-24 06:00:00+00:00,-38.92,-3.87,0.0,4.5,mA,MARANGUAPE-CE,bsb,M
bsb19200131111000,1920-01-31 11:10:00+00:00,-44.75,-21.03,0.0,4.0,mA,BOM SUCESSO-MG,bsb,M
bsb19200201043500,1920-02-01 04:35:00+00:00,-44.75,-21.03,0.0,3.2,mI,BOM SUCESSO-MG,bsb,M
bsb19200209162000,1920-02-09 16:20:00+00:00,-44.75,-21.03,0.0,3.0,mI,BOM SUCESSO-MG,bsb,M
bsb19200311221500,1920-03-11 22:15:00+00:00,-44.75,-21.03,0.0,3.0,mI,BOM SUCESSO-MG,bsb,M
bsb19220127065040,1922-01-27 06:50:40+00:00,-47.04,-22.17,0.0,5.1,mA,MOGI GUACU-SP,Assumpcao et al.1979,M
bsb19240101000000,1924-01-01 00:00:00+00:00,-35.96,-8.28,0.0,3.0,mI,CARUARU-PE,bsb,M
bsb19270101030000,1927-01-01 03:00:00+00:00,-38.46,-6.04,0.0,3.0,mI,PEREIRO-CE,bsb,M
bsb19280415215900,1928-04-15 21:59:00+00:00,-37.76,-4.56,0.0,4.0,mA,ARACATI-CE,bsb,M
bsb19280608213000,1928-06-08 21:30:00+00:00,-39.36,-5.42,0.0,3.6,mA,LACERDA-CE,bsb,M
bsb19350102011218,1935-01-02 01:12:18+00:00,-60.0,-29.6,0.0,3.0,mA,"Vera, Santa Fe-AR","LPA,SJA/INPRES",M
bsb19351021104000,1935-10-21 10:40:00+00:00,-44.75,-21.03,0.0,3.7,mA,BOM SUCESSO-MG,bsb,M
bsb19390628113222,1939-06-28 11:32:22+00:00,-48.0,-29.0,0.0,5.5,mA,TUBARAO-SC,"ISS, IAG",M
bsb19410411120500,1941-04-11 12:05:00+00:00,-54.5,-16.1,0.0,4.4,mA,RONDONOPOLIS CUIABA-MT,bsb,M
bsb19420101183000,1942-01-01 18:30:00+00:00,-40.84,-3.1,0.0,3.0,mI,GRANJA-CE,bsb,M
bsb19460219040000,1946-02-19 04:00:00+00:00,-46.71,-21.31,0.0,3.0,mI,GUAXUPE'-MG,bsb,M
bsb19460718071500,1946-07-18 07:15:00+00:00,-47.7,-25.1,0.0,4.6,mA,CANANEIA-SP,bsb,M
bsb19461007202500,1946-10-07 20:25:00+00:00,-48.48,-1.44,0.0,2.8,mI,BELEM-PA,bsb,M
bsb19470101000000,1947-01-01 00:00:00+00:00,-46.58,-21.79,0.0,3.0,mI,POCOS DE CALDAS-MG,bsb,M
bsb19471215190500,1947-12-15 19:05:00+00:00,-57.9,-21.7,0.0,3.5,mI,Pto. MURTINHO-MS,bsb,M
bsb19480121164740,1948-01-21 16:47:40+00:00,-58.0,-30.5,0.0,5.5,mI,"M.Caseros,Corrientes-AR",SJA/INPRES,M
bsb19480501000000,1948-05-01 00:00:00+00:00,-49.97,-15.07,0.0,3.0,mI,EMBIARA-GO,UnB,M
bsb19491231000000,1949-12-31 00:00:00+00:00,-36.24,-5.69,0.0,3.9,mI,LAJES-RN,bsb,M
bsb19500227115800,1950-02-27 11:58:00+00:00,-46.71,-21.82,0.0,3.9,mA,P. DE CALDAS-MG,bsb,M
bsb19500407150000,1950-04-07 15:00:00+00:00,-35.61,-5.9,0.0,3.0,mI,JOAO CAMARA-RN,bsb,M
bsb19510424000000,1951-04-24 00:00:00+00:00,-51.84,3.83,0.0,4.7,mA,OIAPOQUE-AP,bsb,M
bsb19540101000000,1954-01-01 00:00:00+00:00,-36.49,-9.93,0.0,3.0,mI,JUNQUEIRO-AL,bsb,M
bsb19550131050306,1955-01-31 05:03:06+00:00,-57.35,-12.52,0.0,6.2,mb,SA. TOMBADOR-MT,USGS,M
bsb19550301014618,1955-03-01 01:46:18+00:00,-36.75,-19.84,0.0,6.1,mb,FTE.VITORIA-ES,ISC,M
bsb19590205135000,1959-02-05 13:50:00+00:00,-57.41,-11.54,0.0,3.5,mI,Porto dos Gauchos-MT,UnB,M
bsb19590525230800,1959-05-25 23:08:00+00:00,-48.69,-21.26,0.0,3.2,mI,FERN.PRESTES-SP,bsb,M
bsb19590527170500,1959-05-27 17:05:00+00:00,-48.69,-21.26,0.0,3.2,mI,FERN.PRESTES-SP,bsb,M
bsb19590529065500,1959-05-29 06:55:00+00:00,-48.69,-21.26,0.0,3.2,mI,FERN.PRESTES-SP,bsb,M
bsb19620117022744,1962-01-17 02:27:44+00:00,-43.23,-22.93,0.0,3.2,mA,Rio de JANEIRO-RJ,bsb,M
bsb19630827000000,1963-08-27 00:00:00+00:00,-36.24,-5.69,0.0,3.7,mI,LAJES-RN,bsb,M
bsb19630903000000,1963-09-03 00:00:00+00:00,-36.24,-5.69,0.0,3.7,mA,LAJES-RN,bsb,M
bsb19631002000000,1963-10-02 00:00:00+00:00,-36.24,-5.69,0.0,3.9,mI,LAJES-RN,bsb,M
bsb19631214210542,1963-12-14 21:05:42+00:00,-61.01,-2.3,45.0,5.1,mb,MANAUS-AM,ISC,M
bsb19640119000000,1964-01-19 00:00:00+00:00,-35.96,-8.28,0.0,3.5,mI,CARUARU-PE,bsb,M
bsb19640213112146,1964-02-13 11:21:46+00:00,-56.69,-18.06,5.0,5.4,mb,NW DE MS-MS,bsb,M
bsb19640321000000,1964-03-21 00:00:00+00:00,-45.59,-20.51,0.0,3.0,mI,PONTEVILA-MG,bsb,M
bsb19640616000000,1964-06-16 00:00:00+00:00,-35.96,-8.28,0.0,3.5,mI,CARUARU-PE,bsb,M
bsb19640619035620,1964-06-19 03:56:20+00:00,-59.62,2.64,0.0,4.5,mb,RR/GUIANA-RR,ISC,M
bsb19650812000000,1965-08-12 00:00:00+00:00,-44.72,-19.94,0.0,3.3,mA,IGARATINGA-MG,bsb,M
bsb19650815193656,1965-08-15 19:36:56+00:00,-60.12,2.68,0.0,4.9,mb,SE DE RR-RR,ISC,M
bsb19661115080000,1966-11-15 08:00:00+00:00,-46.0,-20.8,0.0,3.2,mI,REG. FURNAS-MG,bsb,M
bsb19670121185948,1967-01-21 18:59:48+00:00,-35.98,-8.2,0.0,3.8,mR,CARUARU-PE,UFRN,M
bsb19670805095610,1967-08-05 09:56:10+00:00,-43.12,-22.85,0.0,3.6,mR,SAO GONCALO-RJ,bsb,M
bsb19670809071408,1967-08-09 07:14:08+00:00,-73.83,-8.45,42.0,5.1,mb,PERU-BRASIL-AC,bsb,M
bsb19680113015551,1968-01-13 01:55:51+00:00,-38.44,-6.09,0.0,3.9,mm,PEREIRO-CE,UFRN,M
bsb19680113015800,1968-01-13 01:58:00+00:00,-38.46,-6.04,0.0,2.8,mI,PEREIRO-CE,bsb,M
bsb19680118104000,1968-01-18 10:40:00+00:00,-38.44,-6.09,0.0,3.5,mI,SALAO-RN,bsb,M
bsb19680204000000,1968-02-04 00:00:00+00:00,-38.44,-6.11,0.0,3.2,mI,JUNCO-RN,bsb,M
bsb19680215132048,1968-02-15 13:20:48+00:00,-38.44,-6.09,0.0,4.1,mm,PEREIRO-CE,UFRN,M
bsb19680223142302,1968-02-23 14:23:02+00:00,-38.44,-6.09,0.0,4.6,mm,PEREIRO-CE,"UFRN,IAG,ISC",M
bsb19680223143701,1968-02-23 14:37:01+00:00,-38.44,-6.09,0.0,3.0,mR,PEREIRO-CE,UFRN,M
bsb19680223152116,1968-02-23 15:21:16+00:00,-38.44,-6.09,0.0,3.0,mR,PEREIRO-CE,UFRN,M
bsb19680223153303,1968-02-23 15:33:03+00:00,-38.44,-6.09,0.0,3.8,mm,PEREIRO-CE,UFRN,M
bsb19680301000000,1968-03-01 00:00:00+00:00,-39.58,-6.92,0.0,3.0,mI,FARIAS BRITO-CE,bsb,M
bsb19680318000000,1968-03-18 00:00:00+00:00,-38.46,-6.04,0.0,3.7,mI,PEREIRO-CE,bsb,M
bsb19680827051736,1968-08-27 05:17:36+00:00,-72.89,-8.9,26.0,4.9,mb,W DO ACRE-AC,ISC,M
bsb19681015195420,1968-10-15 19:54:20+00:00,-60.88,-26.87,20.0,5.0,mI,"Campo Largo, Chaco-AR","SJA,ZON/INPRES",M
bsb19700112044308,1970-01-12 04:43:08+00:00,-48.48,-1.32,0.0,4.5,mm,BELEM-PA,"ISC,IAG,UnB",M
bsb19700129000000,1970-01-29 00:00:00+00:00,-36.21,-7.96,0.0,3.9,mI,S.C.CAPIBARI-PE,bsb,M
bsb19700130000000,1970-01-30 00:00:00+00:00,-36.21,-7.96,0.0,3.5,mI,S.C.CAPIBARI-PE,bsb,M
bsb19700329082748,1970-03-29 08:27:48+00:00,-73.38,-8.29,25.0,4.3,mb,SA. DIVISOR-AC,ISC,M
bsb19700814045901,1970-08-14 04:59:01+00:00,-49.1,-13.5,0.0,3.0,mInd,PORANGATU-GO,BERROCAL 1974,M
bsb19701101000000,1970-11-01 00:00:00+00:00,-35.53,-6.93,0.0,3.9,mI,ALAGOINHA-PB,bsb,M
bsb19701120235521,1970-11-20 23:55:21+00:00,-49.1,-13.5,0.0,3.6,mInd,PORANGATU-GO,BERROCAL 1974,M
bsb19701201000000,1970-12-01 00:00:00+00:00,-44.75,-20.28,0.0,3.4,mA,Carmo do CAJURU-MG,bsb,M
bsb19710211000000,1971-02-11 00:00:00+00:00,-48.9,-25.1,0.0,3.0,mI,CAPIVARI-CACHOEIRA-PR,bsb,M
bsb19710301000000,1971-03-01 00:00:00+00:00,-48.8,-25.25,0.0,3.7,mI,CAPIVARI-CACHOEIRA-PR,bsb,M
bsb19710521160000,1971-05-21 16:00:00+00:00,-48.9,-25.1,0.0,3.9,mI,CAPIV-CACHOE-PR,bsb,M
bsb19710716195104,1971-07-16 19:51:04+00:00,-49.1,-13.5,0.0,3.5,mInd,PORANGATU-GO,BERROCAL 1974,M
bsb19710805023000,1971-08-05 02:30:00+00:00,-34.9,-8.04,0.0,3.0,mInd,RECIFE-PE,BERROCAL 1974,M
bsb19710808133239,1971-08-08 13:32:39+00:00,-44.75,-20.28,0.0,3.5,mInd,C.DO CAJURU-MG,bsb,M
bsb19720123030351,1972-01-23 03:03:51+00:00,-44.75,-20.28,0.0,3.7,mR,CARMO DO CAJURU-MG,bsb,M
bsb19720304214500,1972-03-04 21:45:00+00:00,-36.49,-9.93,0.0,3.4,mA,JUNQUEIRO-AL,bsb,M
bsb19720604043000,1972-06-04 04:30:00+00:00,-38.5,-6.21,0.0,3.0,mI,SAO MIGUEL-RN,bsb,M
bsb19720801000000,1972-08-01 00:00:00+00:00,-41.7,-16.47,0.0,3.9,mI,TUPARECE-MG,bsb,M
bsb19721024153636,1972-10-24 15:36:36+00:00,-40.53,-21.72,8.0,4.8,mm,CAMPOS-RJ,"ISC,IAG",M
bsb19730426141502,1973-04-26 14:15:02+00:00,-35.82,-5.28,0.0,3.6,mR,PARAZINHO-RN,UFRN,M
bsb19730426185457,1973-04-26 18:54:57+00:00,-35.82,-5.28,0.0,3.6,mR,PARAZINHO-RN,UFRN,M
bsb19730427082013,1973-04-27 08:20:13+00:00,-35.82,-5.28,0.0,3.0,mR,PARAZINHO-RN,UFRN,M
bsb19730502034114,1973-05-02 03:41:14+00:00,-35.82,-5.28,0.0,3.0,mR,PARAZINHO-RN,UFRN,M
bsb19730502034758,1973-05-02 03:47:58+00:00,-35.82,-5.28,0.0,3.1,mR,PARAZINHO-RN,UFRN,M
bsb19730617042229,1973-06-17 04:22:29+00:00,-35.82,-5.28,0.0,3.0,mR,PARAZINHO-RN,UFRN,M
bsb19730626052502,1973-06-26 05:25:02+00:00,-35.82,-5.28,0.0,3.1,mR,PARAZINHO-RN,UFRN,M
bsb19730708223830,1973-07-08 22:38:30+00:00,-49.05,-13.41,0.0,3.3,mR,PORANGATU-GO,UnB,M
bsb19730720133525,1973-07-20 13:35:25+00:00,-35.82,-5.28,0.0,3.9,mR,PARAZINHO-RN,UFRN,M
bsb19730722212250,1973-07-22 21:22:50+00:00,-35.82,-5.28,0.0,4.3,mm,PARAZINHO-RN,UFRN,M
bsb19730722213327,1973-07-22 21:33:27+00:00,-35.82,-5.28,0.0,3.0,mR,PARAZINHO-RN,UFRN,M
bsb19730723132710,1973-07-23 13:27:10+00:00,-35.82,-5.28,0.0,3.0,mR,PARAZINHO-RN,UFRN,M
bsb19730723233551,1973-07-23 23:35:51+00:00,-35.82,-5.28,0.0,3.0,mR,PARAZINHO-RN,UFRN,M
bsb19740203202023,1974-02-03 20:20:23+00:00,-42.54,-29.5,0.0,4.4,mb,ATLANTICO-SC,ISC,M
bsb19740215000000,1974-02-15 00:00:00+00:00,-48.47,-20.04,0.0,3.0,mI,CONC.ALAGOAS-MG,bsb,M
bsb19740224031940,1974-02-24 03:19:40+00:00,-48.47,-20.04,0.0,4.2,mm,CONCEICAO DAS ALAGOAS-MG,bsb,M
bsb19740227000000,1974-02-27 00:00:00+00:00,-48.47,-20.04,0.0,3.5,mI,CONC.ALAGOAS-MG,bsb,M
bsb19740301090000,1974-03-01 09:00:00+00:00,-48.47,-20.04,0.0,3.2,mI,CONCEICAO DAS ALAGOAS-MG,bsb,M
bsb19740302181500,1974-03-02 18:15:00+00:00,-48.47,-20.04,0.0,3.5,mI,CONCEICAO DAS ALAGOAS-MG,bsb,M
bsb19740320000000,1974-03-20 00:00:00+00:00,-51.5,-29.45,0.0,3.0,mI,SALV.DO SUL-RS,bsb,M
bsb19740411000000,1974-04-11 00:00:00+00:00,-41.64,-16.42,0.0,3.7,mA,TUPARECE-MG,bsb,M
bsb19740612173916,1974-06-12 17:39:16+00:00,-60.6,5.58,0.0,3.9,mR,GUIANA/RR-RR,"ISC, TRN",M
bsb19741020213732,1974-10-20 21:37:32+00:00,-36.06,-7.99,0.0,3.6,mR,TORITAMA-PE,UFRN,M
bsb19741020215900,1974-10-20 21:59:00+00:00,-36.06,-7.99,0.0,2.9,mR,TORITAMA-PE,UFRN,M
bsb19741021021811,1974-10-21 02:18:11+00:00,-36.06,-7.99,0.0,2.8,mR,TORITAMA-PE,UFRN,M
bsb19741215051446,1974-12-15 05:14:46+00:00,-39.24,-3.67,0.0,3.3,mR,S.L. DO CURU-CE,UFRN,M
bsb19750204190117,1975-02-04 19:01:17+00:00,-61.48,5.99,0.0,3.7,mm,VENEZUELA/RR-RR,"ISC,TRN",M
bsb19750330170600,1975-03-30 17:06:00+00:00,-42.4,-23.4,0.0,3.5,mR,PLATAFORMA CONT.-RJ,IAG,M
bsb19750622140444,1975-06-22 14:04:44+00:00,-70.3,1.5,0.0,3.5,mInd,COLOMBIA/AM-AM,ISC,M
bsb19751208082126,1975-12-08 08:21:26+00:00,-44.16,-24.94,0.0,3.4,mR,PLAT. CONT.-SP,UnB,M
bsb19760105130658,1976-01-05 13:06:58+00:00,-50.46,-15.35,0.0,3.7,mR,ITAPIRAPUAN-GO,UnB,M
bsb19760123000000,1976-01-23 00:00:00+00:00,-50.42,-24.52,0.0,3.0,mI,TIBAGI-PR,bsb,M
bsb19760222032450,1976-02-22 03:24:50+00:00,-59.23,0.34,5.0,4.6,mb,SE RORAIMA-RR,ISC,M
bsb19760416000000,1976-04-16 00:00:00+00:00,-50.98,-22.73,0.0,3.7,mI,B. CAPIVARA-SP,bsb,M
bsb19760518083000,1976-05-18 08:30:00+00:00,-39.63,-14.88,0.0,3.7,mA,IBICARAI'-BA,IAG,M
bsb19760523190000,1976-05-23 19:00:00+00:00,-44.75,-20.28,0.0,3.2,mInd,C. CAJURU-MG,UnB/CEMIG,M
bsb19760525083000,1976-05-25 08:30:00+00:00,-39.57,-14.76,0.0,3.9,mA,IBICARAI'-BA,FERREIRA 1983,M
bsb19760608210000,1976-06-08 21:00:00+00:00,-35.5,-5.7,0.0,3.4,mA,IELM.MARINHO-RN,bsb,M
bsb19760612000000,1976-06-12 00:00:00+00:00,-51.01,-22.84,0.0,3.7,mI,PRIM.DE MAIO-PR,bsb,M
bsb19760613050000,1976-06-13 05:00:00+00:00,-51.01,-22.84,0.0,3.7,mI,PRIM.DE MAIO-PR,bsb,M
bsb19760616200000,1976-06-16 20:00:00+00:00,-51.01,-22.84,0.0,3.9,mI,PRIM.DE MAIO-PR,bsb,M
bsb19760622014800,1976-06-22 01:48:00+00:00,-51.01,-22.84,0.0,3.5,mI,PRIM.DE MAIO-PR,bsb,M
bsb19760712140000,1976-07-12 14:00:00+00:00,-40.25,-15.25,0.0,3.2,mI,ITAPETINGA-BA,bsb,M
bsb19760727210000,1976-07-27 21:00:00+00:00,-38.8,-4.83,0.0,3.0,mI,IBARETAMA-CE,bsb,M
bsb19760729180000,1976-07-29 18:00:00+00:00,-38.8,-4.83,0.0,3.5,mI,IBARETAMA-CE,bsb,M
bsb19760811200000,1976-08-11 20:00:00+00:00,-39.6,-14.84,0.0,3.5,mI,IBICARAI'-BA,bsb,M
bsb19761001000000,1976-10-01 00:00:00+00:00,-39.6,-14.84,0.0,3.4,mA,IBICARAI'-BA,bsb,M
bsb19761008200112,1976-10-08 20:01:12+00:00,-59.8,-2.0,0.0,4.0,mR,BALBINA-AM,UnB/ELETRONORTE,M
bsb19770225134000,1977-02-25 13:40:00+00:00,-35.75,-5.71,0.0,3.6,mA,RIACHUELO-RN,bsb,M
bsb19770312070000,1977-03-12 07:00:00+00:00,-38.8,-4.83,0.0,3.9,mI,IBARETAMA-CE,bsb,M
bsb19770802174552,1977-08-02 17:45:52+00:00,-49.97,-0.08,0.0,4.8,mb,N.ILHA DE MARAJO-PA,ISC,M
bsb19770904154500,1977-09-04 15:45:00+00:00,-47.77,-20.73,0.0,2.8,mI,NUPORANGA-SP,bsb,M
bsb19771102120000,1977-11-02 12:00:00+00:00,-45.6,-23.42,0.0,2.8,mI,PARAIBUNA-SP,bsb,M
bsb19771104000000,1977-11-04 00:00:00+00:00,-45.6,-23.42,0.0,3.1,mInd,PARAIBUNA-SP,bsb,M
