evid;origin;longitude;latitude;depth;magnitude;magnitudet;region;author;mode
"usp2024lxuk";2024-06-18T13:19:46.062Z;-48.804;-20.001;0.0;3.2;"mR";"Frutal/MG";"bruno";M
"usp2024lxua";2024-06-18T13:08:01.748Z;-48.803;-19.954;0.0;4.0;"mR";"Frutal/MG";"bruno";M
"usp2024lwys";2024-06-18T02:22:09.048Z;-76.789;-3.975;105.0;5.5;"mb";"Northern Peru";"cleusa";M
"usp2024lvpo";2024-06-17T08:36:57.671Z;-67.012;-24.114;166.0;4.2;"mb";"Chile-Argentina Border Region";"cleusa";M
"usp2024lvdu";2024-06-17T02:39:35.221Z;-74.469;-15.789;35.0;4.3;"mb";"Near Coast of Peru";"cleusa";M
"usp2024lvdg";2024-06-17T02:23:34.731Z;-74.770;-16.099;10.0;4.5;"mb";"Near Coast of Peru";"cleusa";M
"usp2024lumw";2024-06-16T18:06:29.706Z;-68.609;-20.551;116.0;4.4;"mb";"Chile-Bolivia Border Region";"cleusa";M
"usp2024lugh";2024-06-16T14:47:31.610Z;-74.388;-15.933;20.0;6.0;"mb";"Near Coast of Peru";"cleusa";M
"usp2024ltuu";2024-06-16T08:58:20.953Z;-51.248;-23.269;0.0;1.6;"mR";"Cambe/PR";"bruno";M
"usp2024lssa";2024-06-15T18:26:52.119Z;-49.519;-25.171;0.1;2.7;"mR";"Rio Branco do Sul/PR";"bruno";M
"usp2024lsey";2024-06-15T11:50:11.772Z;-66.822;-23.474;198.0;4.5;"mb";"Jujuy Province, Argentina";"cleusa";M
"usp2024lryn";2024-06-15T08:35:13.179Z;-67.962;-21.783;110.0;4.7;"mb";"Chile-Bolivia Border Region";"jroberto";M
"usp2024lrih";2024-06-15T00:23:44.821Z;-72.191;-33.935;38.2;4.6;"mb";"Off Coast of Central Chile";"jroberto";M
"usp2024lrbi";2024-06-14T20:53:03.083Z;-67.024;-20.983;200.6;4.5;"mb";"Southern Bolivia";"jroberto";M
"usp2024lpjp";2024-06-13T22:46:50.682Z;-76.086;-8.841;10.0;5.1;"mb";"Central Peru";"cleusa";M
