EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType|Hora|geometry
usp2024jjlt|2024-05-13 05:58:46.933918|-29.283436|-51.148678|0.0|BRUNO||USP|usp2024jjlt|mR|2.18543899|bruno|Caxias do Sul/RS|earthquake|5|POINT (-51.148678 -29.283436)
usp2024jjjl|2024-05-13 04:48:43.054289|-29.066027|-51.559978|0.0|BRUNO||USP|usp2024jjjl|mR|2.391399892|bruno|Bento Goncalves/RS|earthquake|4|POINT (-51.559978 -29.066027)
usp2024irzo|2024-05-03 16:30:44.170000|-19.5905|-44.086667|0.0|MASSUMPCAO||USP|usp2024irzo|MLv|2.54839941|marcelo|Matozinhos/MG|earthquake|16|POINT (-44.086667 -19.5905)
usp2024irax|2024-05-03 04:03:42.679999|-5.806333|-50.481833|0.0|MASSUMPCAO||USP|usp2024irax|mR|3.297973154|marcelo|Parauapebas/PA|earthquake|4|POINT (-50.481833 -5.806333)
usp2024inou|2024-05-01 06:31:59.533132|-19.526876|-43.925129|0.0|JROBERTO||USP|usp2024inou|mR|1.638432103|jroberto|Lagoa Santa/MG|earthquake|6|POINT (-43.925129 -19.526876)
usp2024inhw|2024-05-01 03:01:09.946180|-2.791447|-40.904621|0.0|JROBERTO||USP|usp2024inhw|mR|2.431251489|jroberto|Camocim/CE|earthquake|3|POINT (-40.904621 -2.791447)
usp2024hkcw|2024-04-15 03:33:54.810000|-19.528167|-44.063167|0.0|MASSUMPCAO||USP|usp2024hkcw|mR|1.942907082|marcelo|Matozinhos/MG|earthquake|3|POINT (-44.063167 -19.528167)
usp2024gvxw|2024-04-07 09:10:08.449999|-19.5075|-44.256667|0.0|MASSUMPCAO||USP|usp2024gvxw|mR|1.756631475|marcelo|Reg. de Sete Lagoas/MG|earthquake|9|POINT (-44.256667 -19.5075)
usp2024dtop|2024-02-23 09:33:48.464197|-14.923858|-52.939541|0.0|JROBERTO||USP|usp2024dtop|mR|2.701124354|jroberto|Novo Sao Joaquim/MT|earthquake|9|POINT (-52.939541 -14.923858)
usp2024cgyk|2024-02-02 06:12:37.906624|-19.994328|-48.786629|0.0|JROBERTO||USP|usp2024cgyk|mR|2.063511759|jroberto|Frutal/MG|earthquake|6|POINT (-48.786629 -19.994328)
usp2024bybr|2024-01-28 09:38:59.367085|-8.438579|-71.257225|651.7073364|BRUNO||USP|usp2024bybr|mb|6.242767095|bruno|Western Brazil|earthquake|9|POINT (-71.257225 -8.438579)
usp2024btkh|2024-01-25 20:19:35.898181|-14.604976|-38.654842|0.0|JROBERTO||USP|usp2024btkh|mR|2.855722997|jroberto|Margem Continental/BA|earthquake|20|POINT (-38.654842 -14.604976)
usp2024boap|2024-01-22 21:43:14.495395|-25.327312|-52.276772|0.1000000015|BRUNO||USP|usp2024boap|mR|1.939042373|bruno|Virmond/PR|earthquake|21|POINT (-52.276772 -25.327312)
usp2024bbzt|2024-01-16 07:41:07.057028|-19.532042|-44.230625|0.0|BRUNO||USP|usp2024bbzt|mR|2.431861416|bruno|Sete Lagoas/MG|earthquake|7|POINT (-44.230625 -19.532042)
usp2024avgb|2024-01-12 14:54:31.818130|-20.086657|-45.37225|0.0|JROBERTO||USP|usp2024avgb|mR|2.999488164|jroberto|Santo Antonio do Monte/MG|earthquake|14|POINT (-45.37225 -20.086657)
usp2024alan|2024-01-07 00:45:13.800000|4.407667|-61.1645|0.0|MASSUMPCAO||USP|usp2024alan|mR|4.463910535|marcelo|Pacaraima/RR|earthquake|0|POINT (-61.1645 4.407667)
usp2023zohi|2023-12-30 13:59:34.628619|-16.696945|-55.638191|0.0|JROBERTO||USP|usp2023zohi|mR|2.757705193|jroberto|Barao de Melgaco/MT|earthquake|13|POINT (-55.638191 -16.696945)
usp2023ywir|2023-12-20 18:14:19.429640|-7.525276|-52.319351|0.0|JROBERTO||USP|usp2023ywir|mR|3.229439459|jroberto|Sao Felix do Xingu/PA|earthquake|18|POINT (-52.319351 -7.525276)
usp2023yope|2023-12-16 12:25:49.745589|-19.527651|-44.143017|0.0|JROBERTO||USP|usp2023yope|mR|2.17701386|jroberto|Capim Branco/MG|earthquake|12|POINT (-44.143017 -19.527651)
