EventID,Event,Pick,Network,Station,Location,Channel,Latitude,Longitude,Distance,Origem Latitude,Origem Longitude,Depth/km,Pick Time,Origin Time,Start Time,End Time,Cat,MLv,Certainty,Path,Error
bsb20080423000048,,,,,,,,,,,,,,,,,,,,,Sem picks
usp2022jqwm,20220518T072049,S,BL,CLDB,,HHT,,,,-16.449049,-59.19971085,0.0,,2022-05-18T07:20:49.767573Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2022jqwm,20220518T072049,P,BL,CLDB,,HHZ,-10.8732,-55.7965,718.3311145107524,-16.449049,-59.19971085,0.0,,2022-05-18T07:20:49.767573Z,,,,,,,dist_km > 400 km
usp2022jqwm,20220518T072049,P,BL,AQDB,,HHZ,-20.47579,-55.69971,579.002049441808,-16.449049,-59.19971085,0.0,,2022-05-18T07:20:49.767573Z,,,,,,,dist_km > 400 km
usp2022jqwm,20220518T072049,S,BL,AQDB,,HHT,,,,-16.449049,-59.19971085,0.0,,2022-05-18T07:20:49.767573Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2022jqwm,20220518T072049,P,XC,BDQN,,HHZ,-20.4487,-56.7497,512.7670745251919,-16.449049,-59.19971085,0.0,,2022-05-18T07:20:49.767573Z,,,,,,,dist_km > 400 km
usp2022jqwm,20220518T072049,S,XC,BDQN,,HHT,,,,-16.449049,-59.19971085,0.0,,2022-05-18T07:20:49.767573Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2022jqwm,20220518T072049,P,BL,COIM,,HHZ,-19.9092,-57.7889,411.0260811687701,-16.449049,-59.19971085,0.0,,2022-05-18T07:20:49.767573Z,,,,,,,dist_km > 400 km
usp2022jqwm,20220518T072049,S,BL,COIM,,HHT,,,,-16.449049,-59.19971085,0.0,,2022-05-18T07:20:49.767573Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2022jqwm,20220518T072049,S,BR,VILB,,HHZ,,,,-16.449049,-59.19971085,0.0,,2022-05-18T07:20:49.767573Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2022jqwm,20220518T072049,P,BR,VILB,,HHZ,-12.9528,-60.2002,401.567062487176,-16.449049,-59.19971085,0.0,,2022-05-18T07:20:49.767573Z,,,,,,,dist_km > 400 km
usp2022jqwm,20220518T072049,S,XC,PT27,,HHT,,,,-16.449049,-59.19971085,0.0,,2022-05-18T07:20:49.767573Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2022jqwm,20220518T072049,S,BR,PTLB,,HHT,,,,-16.449049,-59.19971085,0.0,,2022-05-18T07:20:49.767573Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2023udsb,20231014T151420,P,BL,PP1B,,HHZ,-17.6003,-54.8796,1293.5285603145892,-12.91341209,-43.84317398,0.0,,2023-10-14T15:14:20.813650Z,,,,,,,dist_km > 400 km
usp2023udsb,20231014T151420,S,BL,PP1B,,HHT,,,,-12.91341209,-43.84317398,0.0,,2023-10-14T15:14:20.813650Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2023udsb,20231014T151420,P,BL,BB19B,,HHZ,-21.0662,-48.5279,1030.745840769838,-12.91341209,-43.84317398,0.0,,2023-10-14T15:14:20.813650Z,,,,,,,dist_km > 400 km
usp2023udsb,20231014T151420,S,BL,BB19B,,HHT,,,,-12.91341209,-43.84317398,0.0,,2023-10-14T15:14:20.813650Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2023udsb,20231014T151420,P,BL,ITRB,,HHZ,-19.7042,-50.359,1024.1421331154577,-12.91341209,-43.84317398,0.0,,2023-10-14T15:14:20.813650Z,,,,,,,dist_km > 400 km
usp2023udsb,20231014T151420,S,BL,ITRB,,HHT,,,,-12.91341209,-43.84317398,0.0,,2023-10-14T15:14:20.813650Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2023udsb,20231014T151420,S,NB,NBCA,,HHT,,,,-12.91341209,-43.84317398,0.0,,2023-10-14T15:14:20.813650Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2023udsb,20231014T151420,S,BR,PRPB,,HHT,,,,-12.91341209,-43.84317398,0.0,,2023-10-14T15:14:20.813650Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2023udsb,20231014T151420,P,NB,NBPB,,HHZ,-5.543242,-39.583619,939.8260468735028,-12.91341209,-43.84317398,0.0,,2023-10-14T15:14:20.813650Z,,,,,,,dist_km > 400 km
usp2023udsb,20231014T151420,S,NB,NBPB,,HHT,,,,-12.91341209,-43.84317398,0.0,,2023-10-14T15:14:20.813650Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2023udsb,20231014T151420,P,BR,ARAG,,HHZ,-15.706,-51.812,913.4391407056456,-12.91341209,-43.84317398,0.0,,2023-10-14T15:14:20.813650Z,,,,,,,dist_km > 400 km
usp2023udsb,20231014T151420,S,BR,ARAG,,HHT,,,,-12.91341209,-43.84317398,0.0,,2023-10-14T15:14:20.813650Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
