,EventID,Event,Pick,Network,Station,Location,Channel,Latitude,Longitude,Distance,Origem Latitude,Origem Longitude,Depth/km,Pick Time,Origin Time,Start Time,End Time,Cat,MLv,Certainty,Path,Error
30252,usp2023bspn,20230125T094905,P,BV,SOEA,0.0,"['HHZ', 'HHZ']",,,,-11.36819839,-73.82804871,12000.0,,2023-01-25T09:49:05.612211Z,,,,,,,channel metadata:
30459,usp2023boks,20230123T025041,P,BV,SOEA,0.0,"['HHZ', 'HHZ']",,,,-17.00465965,-65.460495,0.0,,2023-01-23T02:50:41.023304Z,,,,,,,channel metadata:
30515,usp2023bmfh,20230121T215015,P,BV,SOEA,0.0,"['HHZ', 'HHZ']",,,,-14.94114399,-71.91480255,106000.0,,2023-01-21T21:50:15.425240Z,,,,,,,channel metadata:
30538,usp2023blra,20230121T143756,P,BV,SOEA,0.0,"['HHZ', 'HHZ']",,,,-21.41464806,-67.86342621,133303.299,,2023-01-21T14:37:56.940359Z,,,,,,,channel metadata:
30567,usp2023bldu,20230121T075715,P,BV,SOEA,0.0,"['HHZ', 'HHZ']",,,,3.579748392,-32.93347168,10000.0,,2023-01-21T07:57:15.160049Z,,,,,,,channel metadata:
30605,usp2023bkwe,20230121T040528,P,BV,SOEA,0.0,"['HHZ', 'HHZ']",,,,-18.22467422,-70.80475616,41983.25348,,2023-01-21T04:05:28.582800Z,,,,,,,channel metadata:
30615,usp2023bkrs,20230121T015047,P,BV,SOEA,0.0,"['HHZ', 'HHZ']",,,,-21.41811562,-66.72610474,246000.0,,2023-01-21T01:50:47.088875Z,,,,,,,channel metadata:
30626,usp2023bklr,20230120T224731,P,BV,SOEA,0.0,"['HHZ', 'HHZ']",,,,-19.71893692,-68.23863983,122000.0,,2023-01-20T22:47:31.855780Z,,,,,,,channel metadata:
30727,usp2023bkkk,20230120T220938,P,BV,SOEA,0.0,"['HHZ', 'HHZ']",,,,-26.74254799,-63.12245178,595441.7114,,2023-01-20T22:09:38.729039Z,,,,,,,channel metadata:
30753,usp2023bjxd,20230120T152722,P,BV,SOEA,0.0,"['HHZ', 'HHZ']",,,,-18.95227242,-68.85544586,144634.3689,,2023-01-20T15:27:22.091339Z,,,,,,,channel metadata:
30809,usp2023bhiu,20230119T055524,P,BV,SOEA,0.0,"['HHZ', 'HHZ']",,,,-24.06154442,-66.68654633,205035.5988,,2023-01-19T05:55:24.848852Z,,,,,,,channel metadata:
30818,usp2023bhia,20230119T053213,P,BV,SOEA,0.0,"['HHZ', 'HHZ']",,,,-20.71933746,-68.46477509,103323.1583,,2023-01-19T05:32:13.650636Z,,,,,,,channel metadata:
30832,usp2023benf,20230117T164548,P,BV,SOEA,0.0,"['HHZ', 'HHZ']",,,,-7.981940746,-74.51655579,158000.0,,2023-01-17T16:45:48.744675Z,,,,,,,channel metadata:
30865,usp2023bdzv,20230117T095925,P,BV,SOEA,0.0,"['HHZ', 'HHZ']",,,,-8.095358849,-71.25292206,639000.0,,2023-01-17T09:59:25.165407Z,,,,,,,channel metadata:
31001,usp2023awbj,20230113T014114,P,BV,SOEA,0.0,"['HHZ', 'HHZ']",,,,-19.37452888,-67.68080902,10000.0,,2023-01-13T01:41:14.201098Z,,,,,,,channel metadata:
31072,usp2023avcs,20230112T131406,P,BV,SOEA,0.0,"['HHZ', 'HHZ']",,,,-18.32935143,-68.88240051,154000.0,,2023-01-12T13:14:06.966596Z,,,,,,,channel metadata:
