Event,Station,index,EventID,Error,Pick,Network,Location,Channel,Latitude,Longitude,Distance,Origem Latitude,Origem Longitude,Depth/km,Pick Time,Origin Time,Start Time,End Time,Cat,MLv,Certainty,Path,Compo,Warning,Pick Pred,Pick Prob_Nat,Pick Prob_Ant,Pick Pred_final,Event Pred,Event Prob_Nat,Event Prob_Ant,Event Pred_final,Label,SNR_P,SNR_S,Noise,p,Hora,Coord Origem,Região Origem,SNR_P_Q2,SNR_P_Q2_cat,Distance_Q2,Distance_Q2_cat,Num_Estacoes,Pick Prob_Nat_std,SNRP_std,Distance_std,Magnitude_cat,Distance_cat,SNR_P_cat,Pick Prob_Nat_cat,Prob_Nat_std_cat
20120208T184732,ESAR,7818,usp2012cswi,[],P,BL,,HHZ,-23.0207,-44.4403,240.15230585028144,-24.56134415,-46.09851074,2000.0,2012-02-08T18:48:09.886932Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:47:58.886932Z,2012-02-08T18:48:58.886932Z,earthquake,2.598904622,known,20120208T184732/BL_ESAR_20120208T184732.mseed,"['E', 'N', 'Z']",[],0.0,0.959999978542328,0.0399999991059303,Natural,0,0.749,0.251,Natural,0,1.0024674259770305,1.438569815472169,305.7141233801459,306.4684503497192,18,"[-24.56134415, -46.09851074]",,1.1201224648985084,[1-1.25[,283.1251023704342,[275-300[,10,0.3674488577904965,0.890583529943024,93.5888180879491,[2-3[,[225-250[,[1-1.25[,>=0.9,[0.2-0.4[
20120208T184732,FRTB,7821,usp2012cswi,[],P,BL,,HHZ,-23.3439,-49.564,377.6242218356404,-24.56134415,-46.09851074,2000.0,2012-02-08T18:48:26.919464Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:48:15.919464Z,2012-02-08T18:49:15.919464Z,earthquake,2.598904622,known,20120208T184732/BL_FRTB_20120208T184732.mseed,"['E', 'N', 'Z']",[],1.0,0.1500000059604644,0.8500000238418579,Anthropogenic,0,0.749,0.251,Natural,0,1.0506082989859258,0.9512625948766343,5.313717639911379,5.582635850958801,18,"[-24.56134415, -46.09851074]",,1.1201224648985084,[1-1.25[,283.1251023704342,[275-300[,10,0.3674488577904965,0.890583529943024,93.5888180879491,[2-3[,>= 350,[1-1.25[,[0.1-0.2[,[0.2-0.4[
20120208T184732,JAC01,7823,usp2012cswi,[],P,ON,,HHZ,-24.81142,-48.102354,204.6796385964892,-24.56134415,-46.09851074,2000.0,2012-02-08T18:48:05.509094Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:47:54.509094Z,2012-02-08T18:48:54.509094Z,earthquake,2.598904622,known,20120208T184732/ON_JAC01_20120208T184732.mseed,"['E', 'N', 'Z']",[],0.0,1.0,0.0,Natural,0,0.749,0.251,Natural,0,1.3319291728252032,2.3881620666794783,8.992504016367329,11.977378436147454,18,"[-24.56134415, -46.09851074]",,1.1201224648985084,[1-1.25[,283.1251023704342,[275-300[,10,0.3674488577904965,0.890583529943024,93.5888180879491,[2-3[,[200-225[,[1.25-1.5[,>=0.9,[0.2-0.4[
20120208T184732,MAN01,7825,usp2012cswi,[],P,ON,,HHZ,-22.86516,-43.964094,287.5071378137774,-24.56134415,-46.09851074,2000.0,2012-02-08T18:48:16.061279Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:48:05.061279Z,2012-02-08T18:49:05.061279Z,earthquake,2.598904622,known,20120208T184732/ON_MAN01_20120208T184732.mseed,"['1', '2', 'Z']",[],0.0,0.9959999918937684,0.0040000001899898,Natural,0,0.749,0.251,Natural,0,1.1278837305361933,2.05922061749234,5.823865528806365,6.568643178771263,18,"[-24.56134415, -46.09851074]",,1.1201224648985084,[1-1.25[,283.1251023704342,[275-300[,10,0.3674488577904965,0.890583529943024,93.5888180879491,[2-3[,[275-300[,[1-1.25[,>=0.9,[0.2-0.4[
20120208T184732,PET01,7824,usp2012cswi,[],P,ON,,HHZ,-24.290108,-47.275344,123.0704462191412,-24.56134415,-46.09851074,2000.0,2012-02-08T18:47:54.173156Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:47:43.173156Z,2012-02-08T18:48:43.173156Z,earthquake,2.598904622,known,20120208T184732/ON_PET01_20120208T184732.mseed,"['E', 'N', 'Z']",[],0.0,0.9959999918937684,0.0040000001899898,Natural,0,0.749,0.251,Natural,0,3.729536510495505,17.007202602886732,7.159675079575617,26.702269612562073,18,"[-24.56134415, -46.09851074]",,1.1201224648985084,[1-1.25[,283.1251023704342,[275-300[,10,0.3674488577904965,0.890583529943024,93.5888180879491,[2-3[,[100-125[,[3-4[,>=0.9,[0.2-0.4[
20120208T184732,RCLB,7817,usp2012cswi,[],P,BL,1.0,HHZ,-22.4191,-47.531,278.74306692709104,-24.56134415,-46.09851074,2000.0,2012-02-08T18:48:14.627777Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:48:03.627777Z,2012-02-08T18:49:03.627777Z,earthquake,2.598904622,known,20120208T184732/BL_RCLB_20120208T184732.mseed,"['E', 'N', 'Z']",[],0.0,0.7760000228881836,0.2240000069141388,Natural,0,0.749,0.251,Natural,0,0.7928384639208976,0.9273731317473337,129.090541113223,102.34794632292521,18,"[-24.56134415, -46.09851074]",,1.1201224648985084,[1-1.25[,283.1251023704342,[275-300[,10,0.3674488577904965,0.890583529943024,93.5888180879491,[2-3[,[275-300[,< 1,[0.6-0.8[,[0.2-0.4[
20120208T184732,SICB,7820,usp2012cswi,[],P,BL,,HHZ,-23.62495,-49.87701,397.9269691987657,-24.56134415,-46.09851074,2000.0,2012-02-08T18:48:28.487121Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:48:17.487121Z,2012-02-08T18:49:17.487121Z,earthquake,2.598904622,known,20120208T184732/BL_SICB_20120208T184732.mseed,"['E', 'N', 'Z']",[],1.0,0.0340000018477439,0.9660000205039978,Anthropogenic,0,0.749,0.251,Natural,0,1.1123611992608233,0.8505833898577735,9.689893174058039,10.778661191804465,18,"[-24.56134415, -46.09851074]",,1.1201224648985084,[1-1.25[,283.1251023704342,[275-300[,10,0.3674488577904965,0.890583529943024,93.5888180879491,[2-3[,>= 350,[1-1.25[,,[0.2-0.4[
20120208T184732,SLP01,7819,usp2012cswi,[],P,ON,,HHZ,-23.3243,-45.1559,167.26903719007134,-24.56134415,-46.09851074,2000.0,2012-02-08T18:48:00.424285Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:47:49.424285Z,2012-02-08T18:48:49.424285Z,earthquake,2.598904622,known,20120208T184732/ON_SLP01_20120208T184732.mseed,"['E', 'N', 'Z']",[],0.0,1.0,0.0,Natural,0,0.749,0.251,Natural,0,2.234825615460905,12.503706962429126,6.14261671875773,13.72767718903819,18,"[-24.56134415, -46.09851074]",,1.1201224648985084,[1-1.25[,283.1251023704342,[275-300[,10,0.3674488577904965,0.890583529943024,93.5888180879491,[2-3[,[150-175[,[2-3[,>=0.9,[0.2-0.4[
20120208T184732,TIJ01,7816,usp2012cswi,[],P,ON,,HHZ,-25.908848,-49.024241,330.4119294138942,-24.56134415,-46.09851074,2000.0,2012-02-08T18:48:18.183349Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:48:07.183349Z,2012-02-08T18:49:07.183349Z,earthquake,2.598904622,known,20120208T184732/ON_TIJ01_20120208T184732.mseed,"['E', 'N', 'Z']",[],0.0,0.6330000162124634,0.367000013589859,Natural,0,0.749,0.251,Natural,0,1.284545091858806,1.483138518823531,9.739852022113174,12.511279110436544,18,"[-24.56134415, -46.09851074]",,1.1201224648985084,[1-1.25[,283.1251023704342,[275-300[,10,0.3674488577904965,0.890583529943024,93.5888180879491,[2-3[,[325-350[,[1.25-1.5[,[0.6-0.8[,[0.2-0.4[
20120208T184732,VAS01,7822,usp2012cswi,[],P,ON,,HHZ,-22.280081,-43.442624,370.8002342580351,-24.56134415,-46.09851074,2000.0,2012-02-08T18:48:25.084289Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:48:14.084289Z,2012-02-08T18:49:14.084289Z,earthquake,2.598904622,known,20120208T184732/ON_VAS01_20120208T184732.mseed,"['E', 'N', 'Z']",[],0.0,0.9449999928474426,0.0549999997019767,Natural,0,0.749,0.251,Natural,0,0.9245328823732212,1.0636793001980203,9.432736226787226,8.720874812417897,18,"[-24.56134415, -46.09851074]",,1.1201224648985084,[1-1.25[,283.1251023704342,[275-300[,10,0.3674488577904965,0.890583529943024,93.5888180879491,[2-3[,>= 350,< 1,>=0.9,[0.2-0.4[
