,Event,Station,index,EventID,Error,Pick,Network,Location,Channel,Latitude,Longitude,Distance,Origem Latitude,Origem Longitude,Depth/km,Pick Time,Origin Time,Start Time,End Time,Cat,MLv,Certainty,Path,Compo,Warning,Pick Pred,Pick Prob_Nat,Pick Prob_Ant,Pick Pred_final,Event Pred,Event Prob_Nat,Event Prob_Ant,Event Pred_final,Label,SNR_P,SNR_S,Noise,p,Hora,Coord Origem,Região Origem,SNR_P_Q2,SNR_P_Q2_cat,Distance_Q2,Distance_Q2_cat,Num_Estacoes,Pick Prob_Nat_std,SNRP_std,Distance_std,Magnitude_cat,Distance_cat,SNR_P_cat,Pick Prob_Nat_cat,Prob_Nat_std_cat,Cat Hora
0,20120122T071034,PEXB,7830,usp2012bmxt,[],P,BL,,HHZ,-12.10584,-48.30085,200.2207626790815,-13.79467964,-48.9642067,0.0,2012-01-22T07:11:06.883163Z,2012-01-22T07:10:34.672572Z,2012-01-22T07:10:55.883163Z,2012-01-22T07:11:55.883163Z,earthquake,3.040306742,known,20120122T071034/BL_PEXB_20120122T071034.mseed,"['E', 'N', 'Z']",[],0.0,0.996999979019165,0.003000000026077,Natural,0,0.997,0.003,Natural,0,14.311789308524952,17.69378815005145,6.041864518701911,86.46989202231427,7,"[-13.79467964, -48.9642067]",Centro-Oeste,14.311789308524952,[14-15[,200.2207626790815,[200-225[,1,,,,>=3,[200-225[,[14-15[,>=0.9,,7
1,20120124T044152,NBCL,7826,usp2012bqjw,[],P,NB,,HHZ,-4.224377,-38.291041,255.53729100794988,-3.604427576,-40.50757217,0.0,2012-01-24T04:42:29.833709Z,2012-01-24T04:41:52.047056Z,2012-01-24T04:42:18.833709Z,2012-01-24T04:43:18.833709Z,earthquake,1.618614238,known,20120124T044152/NB_NBCL_20120124T044152.mseed,"['E', 'N', 'Z']",[],0.0,1.0,0.0,Natural,0,0.998,0.002,Natural,0,1.1682788787725844,2.3755668163624883,76.83591241049969,89.76577360040707,4,"[-3.604427576, -40.50757217]",Nordeste,22.011665926168167,>= 15,186.7837941042292,[175-200[,4,0.0023629047188742,22.954994660863456,91.11545517468684,[1-2[,[250-275[,[1-1.25[,>=0.9,,4
2,20120124T044152,NBMO,7829,usp2012bqjw,[],P,NB,,HHZ,-3.310348,-40.042927,61.017880699636095,-3.604427576,-40.50757217,0.0,2012-01-24T04:42:02.644592Z,2012-01-24T04:41:52.047056Z,2012-01-24T04:41:51.644592Z,2012-01-24T04:42:51.644592Z,earthquake,1.618614238,known,20120124T044152/NB_NBMO_20120124T044152.mseed,"['E', 'N', 'Z']",[],0.0,0.9980000257492064,0.0020000000949949,Natural,0,0.998,0.002,Natural,0,41.60853947040245,32.63338686128603,47.37515135579245,1971.21085510378,4,"[-3.604427576, -40.50757217]",Nordeste,22.011665926168167,>= 15,186.7837941042292,[175-200[,4,0.0023629047188742,22.954994660863456,91.11545517468684,[1-2[,[50-75[,>= 15,>=0.9,,4
3,20120124T044152,NBPB,7827,usp2012bqjw,[],P,NB,,HHZ,-5.543242,-39.583619,237.64917581373177,-3.604427576,-40.50757217,0.0,2012-01-24T04:42:29.833709Z,2012-01-24T04:41:52.047056Z,2012-01-24T04:42:18.833709Z,2012-01-24T04:43:18.833709Z,earthquake,1.618614238,known,20120124T044152/NB_NBPB_20120124T044152.mseed,"['E', 'N', 'Z']",[],0.0,1.0,0.0,Natural,0,0.998,0.002,Natural,0,2.48348689812061,4.833537564411576,47.59273170756792,118.19592564151424,4,"[-3.604427576, -40.50757217]",Nordeste,22.011665926168167,>= 15,186.7837941042292,[175-200[,4,0.0023629047188742,22.954994660863456,91.11545517468684,[1-2[,[225-250[,[2-3[,>=0.9,,4
4,20120124T044152,NBPS,7828,usp2012bqjw,[],P,NB,,HHZ,-4.393969,-41.445618,135.91841239472657,-3.604427576,-40.50757217,0.0,2012-01-24T04:42:14.840240Z,2012-01-24T04:41:52.047056Z,2012-01-24T04:42:03.840240Z,2012-01-24T04:43:03.840240Z,earthquake,1.618614238,known,20120124T044152/NB_NBPS_20120124T044152.mseed,"['E', 'N', 'Z']",[],0.0,0.9950000047683716,0.0049999998882412,Natural,0,0.998,0.002,Natural,0,41.53984495421573,80.02834415209378,66.03490554437741,2743.079737879718,4,"[-3.604427576, -40.50757217]",Nordeste,22.011665926168167,>= 15,186.7837941042292,[175-200[,4,0.0023629047188742,22.954994660863456,91.11545517468684,[1-2[,[125-150[,>= 15,>=0.9,,4
5,20120217T071112,NBCL,7812,usp2012dikw,[],P,NB,,HHZ,-4.224377,-38.291041,336.8739443668028,-3.154339075,-41.13030624,0.0,2012-02-17T07:12:01.606658Z,2012-02-17T07:11:12.441178Z,2012-02-17T07:11:50.606658Z,2012-02-17T07:12:50.606658Z,earthquake,2.346405154,known,20120217T071112/NB_NBCL_20120217T071112.mseed,"['E', 'N', 'Z']",[],0.0,0.8870000243186951,0.1129999980330467,Natural,0,0.961,0.039,Natural,0,5.569734872361478,4.63973318315397,63.486547594766165,353.6032380644058,7,"[-3.154339075, -41.13030624]",Nordeste,45.85141303296983,>= 15,228.26441129280136,[225-250[,4,0.0505074175070596,169.77206727759065,112.74219498995043,[2-3[,[325-350[,[5-6[,[0.8-0.9[,,7
6,20120217T071112,NBMO,7815,usp2012dikw,[],P,NB,,HHZ,-3.310348,-40.042927,122.0801950992448,-3.154339075,-41.13030624,0.0,2012-02-17T07:11:33.520782Z,2012-02-17T07:11:12.441178Z,2012-02-17T07:11:22.520782Z,2012-02-17T07:12:22.520782Z,earthquake,2.346405154,known,20120217T071112/NB_NBMO_20120217T071112.mseed,"['E', 'N', 'Z']",[],0.0,0.9700000286102296,0.0299999993294477,Natural,0,0.961,0.039,Natural,0,361.87995161370094,165.94026418003727,31.87968012168617,11536.617099896055,7,"[-3.154339075, -41.13030624]",Nordeste,45.85141303296983,>= 15,228.26441129280136,[225-250[,4,0.0505074175070596,169.77206727759065,112.74219498995043,[2-3[,[100-125[,>= 15,>=0.9,,7
7,20120217T071112,NBPB,7813,usp2012dikw,[],P,NB,,HHZ,-5.543242,-39.583619,315.047934183832,-3.154339075,-41.13030624,0.0,2012-02-17T07:12:03.830566Z,2012-02-17T07:11:12.441178Z,2012-02-17T07:11:52.830566Z,2012-02-17T07:12:52.830566Z,earthquake,2.346405154,known,20120217T071112/NB_NBPB_20120217T071112.mseed,"['E', 'N', 'Z']",[],0.0,1.0,0.0,Natural,0,0.961,0.039,Natural,0,2.2435030361474064,3.0613003306197863,87.88204900451815,197.1636437644916,7,"[-3.154339075, -41.13030624]",Nordeste,45.85141303296983,>= 15,228.26441129280136,[225-250[,4,0.0505074175070596,169.77206727759065,112.74219498995043,[2-3[,[300-325[,[2-3[,>=0.9,,7
8,20120217T071112,NBPS,7814,usp2012dikw,[],P,NB,,HHZ,-4.393969,-41.445618,141.4808884017707,-3.154339075,-41.13030624,0.0,2012-02-17T07:11:35.529479Z,2012-02-17T07:11:12.441178Z,2012-02-17T07:11:24.529479Z,2012-02-17T07:12:24.529479Z,earthquake,2.346405154,known,20120217T071112/NB_NBPS_20120217T071112.mseed,"['E', 'N', 'Z']",[],0.0,0.9850000143051147,0.0149999996647238,Natural,0,0.961,0.039,Natural,0,86.13309119357818,249.57082299712488,62.57829922102829,5390.062353543852,7,"[-3.154339075, -41.13030624]",Nordeste,45.85141303296983,>= 15,228.26441129280136,[225-250[,4,0.0505074175070596,169.77206727759065,112.74219498995043,[2-3[,[125-150[,>= 15,>=0.9,,7
9,20120221T063526,BSCB,7805,bsb20120221063625,[],P,BL,,HHZ,-20.9984,-44.7635,284.6994950894399,-23.48016167,-45.48500061,0.0,2012-02-21T06:36:09.269496Z,2012-02-21T06:35:26.308713Z,2012-02-21T06:35:58.269496Z,2012-02-21T06:36:58.269496Z,earthquake,3.072478086,suspected,20120221T063526/BL_BSCB_20120221T063526.mseed,"['Z', 'N', 'E']",[],0.0,0.99099999666214,0.0089999996125698,Natural,0,0.884,0.116,Natural,0,3.413819679369713,7.577037597348624,5.615720822589555,19.171058258002496,6,"[-23.48016167, -45.48500061]",Sudeste,14.319840667947664,[14-15[,240.49369824523228,[225-250[,9,0.1907057770575528,97.0690641413468,98.09065380708417,>=3,[275-300[,[3-4[,>=0.9,[0.1-0.2[,6
