index,EventID,Error,Pick,Network,Location,Channel,Latitude,Longitude,Distance,Origem Latitude,Origem Longitude,Depth/km,Pick Time,Origin Time,Start Time,End Time,Cat,MLv,Certainty,Path,Compo,Warning
118,usp2015hhim,"["" - Error! len(compo) != 3 (['Z'])""]",P,ON,,HHZ,-22.86516,-43.964094,333.2361611217735,-20.10749054,-45.25223541,0.0,2015-04-14T14:59:56.643524Z,2015-04-14T14:59:08.021184Z,2015-04-14T14:59:45.643524Z,2015-04-14T15:00:45.643524Z,earthquake,2.254227869,suspected,20150414T145908/ON_MAN01_20150414T145908.mseed,[],[]
70,usp2016dkpq,"["" - Error! len(compo) != 3 (['Z'])""]",P,ON,,HHZ,-28.531839,-49.129072,278.2050835751048,-27.18205452,-51.51086044,0.0,2016-02-18T11:52:42.794822Z,2016-02-18T11:52:01.033857Z,2016-02-18T11:52:31.794822Z,2016-02-18T11:53:31.794822Z,earthquake,2.257516451,suspected,20160218T115201/ON_TER01_20160218T115201.mseed,[],[]
127,usp2016fooj,"["" - Error! len(compo) != 3 (['Z'])""]",P,ON,,HHZ,-13.72,-39.575278,110.24783401735692,-12.82451534,-39.12890625,0.0,2016-03-20T02:51:05.919067Z,2016-03-20T02:50:46.697961Z,2016-03-20T02:50:54.919067Z,2016-03-20T02:51:54.919067Z,earthquake,1.284617825,known,20160320T025046/ON_GDU01_20160320T025046.mseed,[],[]
15,usp2016hdlg,"["" - Error! len(compo) != 3 (['Z'])""]",P,ON,,HHZ,-21.825656,-41.657401,369.1967305646836,-19.44933333,-44.143,0.0,2016-04-11T11:56:14.746004Z,2016-04-11T11:55:22.449999Z,2016-04-11T11:56:03.746004Z,2016-04-11T11:57:03.746004Z,earthquake,3.281836033,known,20160411T115522/ON_CAM01_20160411T115522.mseed,[],[]
13,usp2016hdlg,"["" - Error! len(compo) != 3 (['Z'])""]",P,ON,,HHZ,-22.86516,-43.964094,378.6540065983141,-19.44933333,-44.143,0.0,2016-04-11T11:56:16.094540Z,2016-04-11T11:55:22.449999Z,2016-04-11T11:56:05.094540Z,2016-04-11T11:57:05.094540Z,earthquake,3.281836033,known,20160411T115522/ON_MAN01_20160411T115522.mseed,[],[]
144,usp2016smxv, - Error! pick.shape[0] != 1 (2),P,BR,,HHZ,-12.4085,-44.903,239.33417303788175,-10.47552776,-43.91759872,0.0,2016-09-20T05:19:26.639579Z,2016-09-20T05:18:49.665648Z,2016-09-20T05:19:15.639579Z,2016-09-20T05:20:15.639579Z,earthquake,2.240455035,suspected,20160920T051849/BR_SDBA_20160920T051849.mseed,[],[]
145,usp2016smxv, - Error! pick.shape[0] != 1 (2),P,BR,,HHZ,-12.4085,-44.903,239.33417303788175,-10.47552776,-43.91759872,0.0,2016-09-20T05:19:54.546554Z,2016-09-20T05:18:49.665648Z,2016-09-20T05:19:43.546554Z,2016-09-20T05:20:43.546554Z,earthquake,2.240455035,suspected,20160920T051849/BR_SDBA_20160920T051849.mseed,[],[]
169,usp2019xvje,"["" - Error! len(compo) != 3 (['E', 'N', 'Z', 'Z'])""]",P,BL,,HHZ,-16.8467,-41.9597,377.6265753379313,-18.994,-44.72966667,0.0,2019-12-05T23:49:31.652496Z,2019-12-05T23:48:36.679999Z,2019-12-05T23:49:20.652496Z,2019-12-05T23:50:20.652496Z,earthquake,2.702045276,suspected,20191205T234836/BL_ARCA_20191205T234836.mseed,[],[]
68,usp2021gayn,"['fft_list.shape != (237,50) ((223, 50))', 'fft_list.shape != (237,50) ((226, 50))', 'fft_list.shape != (237,50) ((216, 50))', 'find is False and len(spectro) == 0']",P,NB,,HHZ,-6.417527,-35.290516,254.08882246774127,-5.870241642,-37.52006912,0.0,2021-03-27T21:36:15.400981Z,2021-03-27T21:35:36.414292Z,2021-03-27T21:36:04.400981Z,2021-03-27T21:37:04.400981Z,earthquake,2.490423531,known,20210327T213536/NB_NBPV_20210327T213536.mseed,[],[]
213,usp2023kdrt,"['fft_list.shape != (237,50) ((236, 50))', 'fft_list.shape != (237,50) ((236, 50))', 'fft_list.shape != (237,50) ((236, 50))', 'find is False and len(spectro) == 0']",P,NB,,HHZ,-4.224377,-38.291041,315.6816864794484,-2.974648952,-40.84575653,0.0,2023-05-25T07:44:35.500000Z,2023-05-25T07:43:48.994366Z,2023-05-25T07:44:24.500000Z,2023-05-25T07:45:24.500000Z,earthquake,1.933751592,known,20230525T074348/NB_NBCL_20230525T074348.mseed,[],[]
