Event,Station,index,EventID,Error,Pick,Network,Location,Channel,Latitude,Longitude,Distance,Origem Latitude,Origem Longitude,Depth/km,Pick Time,Origin Time,Start Time,End Time,Cat,MLv,Certainty,Path,Compo,CFT,Warning,Pick Pred,Pick Prob_Nat,Pick Prob_Ant,Pick Pred_final,Event Pred,Event Prob_Nat,Event Prob_Ant,Event Pred_final,Label,SNR_P,SNR_S,Noise,p,Hora,Coord Origem,Região Origem,SNR_P_Q2,SNR_P_Q2_cat,Distance_Q2,Distance_Q2_cat,Num_Estacoes,Pick Prob_Nat_std,SNRP_std,Distance_std,CFT_std,Magnitude_cat,Distance_cat,SNR_P_cat,Pick Prob_Nat_cat,Prob_Nat_std_cat,Cat Hora
20120122T071034,PEXB,8302,usp2012bmxt,[],P,BL,,HHZ,-12.10584,-48.30085,200.2207626790815,-13.79467964,-48.9642067,0.0,2012-01-22T07:11:06.883163Z,2012-01-22T07:10:34.672572Z,2012-01-22T07:10:55.883163Z,2012-01-22T07:11:55.883163Z,earthquake,3.040306742,known,20120122T071034/BL_PEXB_20120122T071034.mseed,"[['E', 'N', 'Z']]",9.74437243218188,[],0.0,0.996999979019165,0.003000000026077,Natural,0,0.997,0.003,Natural,0,29.66347034937274,19.57406785075494,3.6269810866130374,107.58884592048156,7,"[-13.79467964, -48.9642067]",Centro-Oeste,29.66347034937274,>= 15,200.2207626790815,[200-225[,1,,,,,>=3,[200-225[,>= 15,>=0.9,>=0.9,7
20120217T071112,NBMO,8291,usp2012dikw,[],P,NB,,HHZ,-3.310348,-40.042927,122.0801950992448,-3.154339075,-41.13030624,0.0,2012-02-17T07:11:33.520782Z,2012-02-17T07:11:12.441178Z,2012-02-17T07:11:22.520782Z,2012-02-17T07:12:22.520782Z,earthquake,2.346405154,known,20120217T071112/NB_NBMO_20120217T071112.mseed,"[['E', 'N', 'Z']]",9.9997181036665,[],0.0,0.9700000286102296,0.0299999993294477,Natural,0,0.97,0.03,Natural,0,303.9122294628614,70.61106238652742,49.98018849072241,15189.590513189494,7,"[-3.154339075, -41.13030624]",Nordeste,303.9122294628614,>= 15,122.0801950992448,[100-125[,1,,,,,[2-3[,[100-125[,>= 15,>=0.9,>=0.9,7
20120221T063526,BSCB,8284,bsb20120221063625,[],P,BL,,HHZ,-20.9984,-44.7635,284.6994950894399,-23.48016167,-45.48500061,0.0,2012-02-21T06:36:09.269496Z,2012-02-21T06:35:26.308713Z,2012-02-21T06:35:58.269496Z,2012-02-21T06:36:58.269496Z,earthquake,3.072478086,suspected,20120221T063526/BL_BSCB_20120221T063526.mseed,"[['Z', 'N', 'E']]",8.689261317810935,[],0.0,0.99099999666214,0.0089999996125698,Natural,0,0.914,0.086,Natural,0,1.6615035698904193,6.78105903654044,5.584661257459252,9.278934615897265,6,"[-23.48016167, -45.48500061]",Sudeste,15.077977202544435,>= 15,244.3239234797981,[225-250[,8,0.17926198133852134,85.99508379594405,103.08126844320263,1.1047936917085552,>=3,[275-300[,[1.5-1.75[,>=0.9,[0.1-0.2[,6
20120221T063526,DUB01,8282,bsb20120221063625,[],P,ON,,HHZ,-22.080966,-42.374182,355.02226478660333,-23.48016167,-45.48500061,0.0,2012-02-21T06:36:17.565151Z,2012-02-21T06:35:26.308713Z,2012-02-21T06:36:06.565151Z,2012-02-21T06:37:06.565151Z,earthquake,3.072478086,suspected,20120221T063526/ON_DUB01_20120221T063526.mseed,"[['E', 'N', 'Z']]",8.468562474671442,[],1.0,0.4779999852180481,0.5220000147819519,Anthropogenic,0,0.914,0.086,Natural,0,2.7024366360740317,5.268819613346598,4.505286712389061,12.175251867577728,6,"[-23.48016167, -45.48500061]",Sudeste,15.077977202544435,>= 15,244.3239234797981,[225-250[,8,0.17926198133852134,85.99508379594405,103.08126844320263,1.1047936917085552,>=3,>= 350,[2-3[,[0.4-0.6[,[0.1-0.2[,6
20120221T063526,ESAR,8290,bsb20120221063625,[],P,BL,,HHZ,-23.0207,-44.4403,118.3981216879752,-23.48016167,-45.48500061,0.0,2012-02-21T06:35:46.417344Z,2012-02-21T06:35:26.308713Z,2012-02-21T06:35:35.417344Z,2012-02-21T06:36:35.417344Z,earthquake,3.072478086,suspected,20120221T063526/BL_ESAR_20120221T063526.mseed,"[['E', 'N', 'Z']]",9.937778820273508,[],0.0,0.9810000061988832,0.0189999993890523,Natural,0,0.914,0.086,Natural,0,43.3107131095116,75.14587687100655,174.66901610882363,7565.03964580992,6,"[-23.48016167, -45.48500061]",Sudeste,15.077977202544435,>= 15,244.3239234797981,[225-250[,8,0.17926198133852134,85.99508379594405,103.08126844320263,1.1047936917085552,>=3,[100-125[,>= 15,>=0.9,[0.1-0.2[,6
20120221T063526,JAC01,8283,bsb20120221063625,[],P,ON,,HHZ,-24.81142,-48.102354,304.1396011932612,-23.48016167,-45.48500061,0.0,2012-02-21T06:36:11.069499Z,2012-02-21T06:35:26.308713Z,2012-02-21T06:36:00.069499Z,2012-02-21T06:37:00.069499Z,earthquake,3.072478086,suspected,20120221T063526/ON_JAC01_20120221T063526.mseed,"[['E', 'N', 'Z']]",9.733547065444728,[],0.0,0.99099999666214,0.0089999996125698,Natural,0,0.914,0.086,Natural,0,14.272938630791625,9.27803150102257,5.063383993545861,72.26936900401269,6,"[-23.48016167, -45.48500061]",Sudeste,15.077977202544435,>= 15,244.3239234797981,[225-250[,8,0.17926198133852134,85.99508379594405,103.08126844320263,1.1047936917085552,>=3,[300-325[,[14-15[,>=0.9,[0.1-0.2[,6
20120221T063526,PET01,8287,bsb20120221063625,[],P,ON,,HHZ,-24.290108,-47.275344,203.2017259832037,-23.48016167,-45.48500061,0.0,2012-02-21T06:35:58.626022Z,2012-02-21T06:35:26.308713Z,2012-02-21T06:35:47.626022Z,2012-02-21T06:36:47.626022Z,earthquake,3.072478086,suspected,20120221T063526/ON_PET01_20120221T063526.mseed,"[['E', 'N', 'Z']]",9.962364820130142,[],0.0,0.9929999709129332,0.0070000002160668,Natural,0,0.914,0.086,Natural,0,95.96731594044917,55.40570569324168,3.379449938306941,324.31673993443366,6,"[-23.48016167, -45.48500061]",Sudeste,15.077977202544435,>= 15,244.3239234797981,[225-250[,8,0.17926198133852134,85.99508379594405,103.08126844320263,1.1047936917085552,>=3,[200-225[,>= 15,>=0.9,[0.1-0.2[,6
20120221T063526,RCLB,8286,bsb20120221063625,[],P,BL,1.0,HHZ,-22.4191,-47.531,240.49369824523228,-23.48016167,-45.48500061,0.0,2012-02-21T06:36:03.712976Z,2012-02-21T06:35:26.308713Z,2012-02-21T06:35:52.712976Z,2012-02-21T06:36:52.712976Z,earthquake,3.072478086,suspected,20120221T063526/BL_RCLB_20120221T063526.mseed,"[['E', 'N', 'Z']]",6.876536874579235,[],0.0,0.9950000047683716,0.0049999998882412,Natural,0,0.914,0.086,Natural,0,2.9794391486735847,4.817668761138329,78.96392208760949,235.26820080063447,6,"[-23.48016167, -45.48500061]",Sudeste,15.077977202544435,>= 15,244.3239234797981,[225-250[,8,0.17926198133852134,85.99508379594405,103.08126844320263,1.1047936917085552,>=3,[225-250[,[2-3[,>=0.9,[0.1-0.2[,6
20120221T063526,SLP01,8289,bsb20120221063625,[],P,ON,,HHZ,-23.3243,-45.1559,37.80969946921774,-23.48016167,-45.48500061,0.0,2012-02-21T06:35:33.191236Z,2012-02-21T06:35:26.308713Z,2012-02-21T06:35:22.191236Z,2012-02-21T06:36:22.191236Z,earthquake,3.072478086,suspected,20120221T063526/ON_SLP01_20120221T063526.mseed,"[['E', 'N', 'Z']]",9.997980800051089,[],0.0,0.8989999890327454,0.101000003516674,Natural,0,0.914,0.086,Natural,0,251.1993615726091,230.8056075678724,3.4715155227096863,872.0424829940755,6,"[-23.48016167, -45.48500061]",Sudeste,15.077977202544435,>= 15,244.3239234797981,[225-250[,8,0.17926198133852134,85.99508379594405,103.08126844320263,1.1047936917085552,>=3,[25-50[,>= 15,[0.8-0.9[,[0.1-0.2[,6
20120221T063526,VAS01,8285,bsb20120221063625,[],P,ON,,HHZ,-22.280081,-43.442624,248.1541487143639,-23.48016167,-45.48500061,0.0,2012-02-21T06:36:04.417324Z,2012-02-21T06:35:26.308713Z,2012-02-21T06:35:53.417324Z,2012-02-21T06:36:53.417324Z,earthquake,3.072478086,suspected,20120221T063526/ON_VAS01_20120221T063526.mseed,"[['E', 'N', 'Z']]",9.753841242536677,[],0.0,0.9879999756813048,0.0120000001043081,Natural,0,0.914,0.086,Natural,0,15.883015774297244,16.028905843495775,3.779969088535629,60.037308659567366,6,"[-23.48016167, -45.48500061]",Sudeste,15.077977202544435,>= 15,244.3239234797981,[225-250[,8,0.17926198133852134,85.99508379594405,103.08126844320263,1.1047936917085552,>=3,[225-250[,>= 15,>=0.9,[0.1-0.2[,6
