Event,Station,file_name,station,label_cat,prob_nat,prob_ant,pred,nature,EventID,Error,Pick,Network,Location,Channel,Latitude,Longitude,Distance,Origem Latitude,Origem Longitude,Pick Time,Origin Time,Start Time,End Time,Cat,MLv,Certainty,Path,SNR_P,SNR_S,Noise,p,Região Origem,Mean SNR_P,Mean SNR_P_cat,Mean Mag,Mean Mag_cat,Mean Distance,Mean Distance_cat,prob_nat_cat,Distance_cat,Magnitude_cat,SNR_P_cat,Hora,Coord Origem
20120122T071034,PEXB,BL_PEXB_20120122T071034,PEXB,0,0.987,0.013,0,Natural,usp2012bmxt,,P,BL,,HHZ,-12.10584,-48.30085,200.2207626790815,-13.79467964,-48.9642067,2012-01-22T07:11:06.883163Z,2012-01-22T07:10:34.672572Z,2012-01-22T07:10:56.883163Z,2012-01-22T07:11:56.883163Z,earthquake,3.040306742,known,./arquivos/mseed/20120122T071034/BL_PEXB_20120122T071034.mseed,14.311789984162235,17.693788985347307,6.041864233475019,86.46989202231582,Centro-Oeste,14.311789984162235,[14-15[,3.040306742,>=3,200.2207626790815,[200-250[,>=0.9,[200-250[,>=3,[14-15[,7,"[-13.79467964, -48.9642067]"
20120124T044152,NBCL,NB_NBCL_20120124T044152,NBCL,0,1.0,0.0,0,Natural,usp2012bqjw,,P,NB,,HHZ,-4.224377,-38.291041,255.53729100794988,-3.604427576,-40.50757217,2012-01-24T04:42:29.833709Z,2012-01-24T04:41:52.047056Z,2012-01-24T04:42:19.833709Z,2012-01-24T04:43:19.833709Z,earthquake,1.618614238,known,./arquivos/mseed/20120124T044152/NB_NBCL_20120124T044152.mseed,1.1682788551700323,2.3755667683691857,76.83591396280681,89.76577360041104,Nordeste,28.105552687912965,>= 15,1.618614238,[1-2[,150.8245280341042,[150-200[,>=0.9,[250-300[,[1-2[,[1-2[,4,"[-3.604427576, -40.50757217]"
20120124T044152,NBMO,NB_NBMO_20120124T044152,NBMO,0,0.997,0.003,0,Natural,usp2012bqjw,,P,NB,,HHZ,-3.310348,-40.042927,61.017880699636095,-3.604427576,-40.50757217,2012-01-24T04:42:02.644592Z,2012-01-24T04:41:52.047056Z,2012-01-24T04:41:52.644592Z,2012-01-24T04:42:52.644592Z,earthquake,1.618614238,known,./arquivos/mseed/20120124T044152/NB_NBMO_20120124T044152.mseed,41.6085394771276,32.63338686656051,47.37515134813532,1971.2108551037832,Nordeste,28.105552687912965,>= 15,1.618614238,[1-2[,150.8245280341042,[150-200[,>=0.9,[50-100[,[1-2[,>= 15,4,"[-3.604427576, -40.50757217]"
20120124T044152,NBPS,NB_NBPS_20120124T044152,NBPS,0,0.992,0.008,0,Natural,usp2012bqjw,,P,NB,,HHZ,-4.393969,-41.445618,135.91841239472657,-3.604427576,-40.50757217,2012-01-24T04:42:14.840240Z,2012-01-24T04:41:52.047056Z,2012-01-24T04:42:04.840240Z,2012-01-24T04:43:04.840240Z,earthquake,1.618614238,known,./arquivos/mseed/20120124T044152/NB_NBPS_20120124T044152.mseed,41.53983973144127,80.02833409018716,66.03491384690003,2743.079737879759,Nordeste,28.105552687912965,>= 15,1.618614238,[1-2[,150.8245280341042,[150-200[,>=0.9,[100-150[,[1-2[,>= 15,4,"[-3.604427576, -40.50757217]"
20120217T071112,NBCL,NB_NBCL_20120217T071112,NBCL,0,0.942,0.058,0,Natural,usp2012dikw,,P,NB,,HHZ,-4.224377,-38.291041,336.8739443668028,-3.154339075,-41.13030624,2012-02-17T07:12:01.606658Z,2012-02-17T07:11:12.441178Z,2012-02-17T07:11:51.606658Z,2012-02-17T07:12:51.606658Z,earthquake,2.346405154,known,./arquivos/mseed/20120217T071112/NB_NBCL_20120217T071112.mseed,5.569734861520939,4.639733174123529,63.48654771833176,353.60323806440505,Nordeste,113.95657313580062,>= 15,2.346405154,[2-3[,228.87074051291256,[200-250[,>=0.9,>=300,[2-3[,[5-6[,7,"[-3.154339075, -41.13030624]"
20120217T071112,NBMO,NB_NBMO_20120217T071112,NBMO,0,0.9,0.1,0,Natural,usp2012dikw,,P,NB,,HHZ,-3.310348,-40.042927,122.0801950992448,-3.154339075,-41.13030624,2012-02-17T07:11:33.520782Z,2012-02-17T07:11:12.441178Z,2012-02-17T07:11:23.520782Z,2012-02-17T07:12:23.520782Z,earthquake,2.346405154,known,./arquivos/mseed/20120217T071112/NB_NBMO_20120217T071112.mseed,361.87995735909897,165.94026681459334,31.87967961554739,11536.617099896026,Nordeste,113.95657313580062,>= 15,2.346405154,[2-3[,228.87074051291256,[200-250[,>=0.9,[100-150[,[2-3[,>= 15,7,"[-3.154339075, -41.13030624]"
20120217T071112,NBPB,NB_NBPB_20120217T071112,NBPB,0,1.0,0.0,0,Natural,usp2012dikw,,P,NB,,HHZ,-5.543242,-39.583619,315.047934183832,-3.154339075,-41.13030624,2012-02-17T07:12:03.830566Z,2012-02-17T07:11:12.441178Z,2012-02-17T07:11:53.830566Z,2012-02-17T07:12:53.830566Z,earthquake,2.346405154,known,./arquivos/mseed/20120217T071112/NB_NBPB_20120217T071112.mseed,2.243503051312125,3.0613003513122665,87.88204841049036,197.163643764495,Nordeste,113.95657313580062,>= 15,2.346405154,[2-3[,228.87074051291256,[200-250[,>=0.9,>=300,[2-3[,[2-3[,7,"[-3.154339075, -41.13030624]"
20120217T071112,NBPS,NB_NBPS_20120217T071112,NBPS,0,0.971,0.029,0,Natural,usp2012dikw,,P,NB,,HHZ,-4.393969,-41.445618,141.4808884017707,-3.154339075,-41.13030624,2012-02-17T07:11:35.529479Z,2012-02-17T07:11:12.441178Z,2012-02-17T07:11:25.529479Z,2012-02-17T07:12:25.529479Z,earthquake,2.346405154,known,./arquivos/mseed/20120217T071112/NB_NBPS_20120217T071112.mseed,86.1330972712705,249.5708406072517,62.5782948054011,5390.062353543854,Nordeste,113.95657313580062,>= 15,2.346405154,[2-3[,228.87074051291256,[200-250[,>=0.9,[100-150[,[2-3[,>= 15,7,"[-3.154339075, -41.13030624]"
20120221T063526,BSCB,BL_BSCB_20120221T063526,BSCB,0,0.992,0.008,0,Natural,bsb20120221063625,,P,BL,,HHZ,-20.9984,-44.7635,284.6994950894399,-23.48016167,-45.48500061,2012-02-21T06:36:09.269496Z,2012-02-21T06:35:26.308713Z,2012-02-21T06:35:59.269496Z,2012-02-21T06:36:59.269496Z,earthquake,3.072478086,suspected,./arquivos/mseed/20120221T063526/BL_BSCB_20120221T063526.mseed,3.413819750147241,7.577037754440729,5.615720706160757,19.171058258002404,Sudeste,58.8302339886798,>= 15,3.072478086,>=3,217.98755827221015,[200-250[,>=0.9,[250-300[,>=3,[3-4[,6,"[-23.48016167, -45.48500061]"
20120221T063526,DUB01,ON_DUB01_20120221T063526,DUB01,0,0.773,0.227,0,Natural,bsb20120221063625,,P,ON,,HHZ,-22.080966,-42.374182,355.02226478660333,-23.48016167,-45.48500061,2012-02-21T06:36:17.565151Z,2012-02-21T06:35:26.308713Z,2012-02-21T06:36:07.565151Z,2012-02-21T06:37:07.565151Z,earthquake,3.072478086,suspected,./arquivos/mseed/20120221T063526/ON_DUB01_20120221T063526.mseed,1.7231342043195061,4.779581711041217,3.609029233868149,6.21884171726723,Sudeste,58.8302339886798,>= 15,3.072478086,>=3,217.98755827221015,[200-250[,[0.6-0.8[,>=300,>=3,[1-2[,6,"[-23.48016167, -45.48500061]"
