Event,Station,index,EventID,Error,Pick,Network,Location,Channel,Latitude,Longitude,Distance,Origem Latitude,Origem Longitude,Depth/km,Pick Time,Origin Time,Start Time,End Time,Cat,MLv,Certainty,Path,Compo,CFT,Warning
20120122T071034,PEXB,8116,usp2012bmxt,[],P,BL,,HHZ,-12.10584,-48.30085,200.2207626790815,-13.79467964,-48.9642067,0.0,2012-01-22T07:11:06.883163Z,2012-01-22T07:10:34.672572Z,2012-01-22T07:10:55.883163Z,2012-01-22T07:11:55.883163Z,earthquake,3.040306742,known,20120122T071034/BL_PEXB_20120122T071034.mseed,"[['E', 'N', 'Z']]",4.913191047917924,[]
20120208T184732,ESAR,8108,usp2012cswi,[],P,BL,,HHZ,-23.0207,-44.4403,240.15230585028144,-24.56134415,-46.09851074,2000.0,2012-02-08T18:48:09.886932Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:47:58.886932Z,2012-02-08T18:48:58.886932Z,earthquake,2.598904622,known,20120208T184732/BL_ESAR_20120208T184732.mseed,"[['E', 'N', 'Z']]",2.416427060312363,[]
20120208T184732,FRTB,8111,usp2012cswi,[],P,BL,,HHZ,-23.3439,-49.564,377.6242218356404,-24.56134415,-46.09851074,2000.0,2012-02-08T18:48:26.919464Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:48:15.919464Z,2012-02-08T18:49:15.919464Z,earthquake,2.598904622,known,20120208T184732/BL_FRTB_20120208T184732.mseed,"[['E', 'N', 'Z']]",3.0753056562841508,[]
20120208T184732,JAC01,8113,usp2012cswi,[],P,ON,,HHZ,-24.81142,-48.102354,204.6796385964892,-24.56134415,-46.09851074,2000.0,2012-02-08T18:48:05.509094Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:47:54.509094Z,2012-02-08T18:48:54.509094Z,earthquake,2.598904622,known,20120208T184732/ON_JAC01_20120208T184732.mseed,"[['E', 'N', 'Z']]",2.7510327130990713,[]
20120208T184732,PET01,8114,usp2012cswi,[],P,ON,,HHZ,-24.290108,-47.275344,123.0704462191412,-24.56134415,-46.09851074,2000.0,2012-02-08T18:47:54.173156Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:47:43.173156Z,2012-02-08T18:48:43.173156Z,earthquake,2.598904622,known,20120208T184732/ON_PET01_20120208T184732.mseed,"[['E', 'N', 'Z']]",4.125355586929846,[]
20120208T184732,RCLB,8107,usp2012cswi,[],P,BL,1.0,HHZ,-22.4191,-47.531,278.74306692709104,-24.56134415,-46.09851074,2000.0,2012-02-08T18:48:14.627777Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:48:03.627777Z,2012-02-08T18:49:03.627777Z,earthquake,2.598904622,known,20120208T184732/BL_RCLB_20120208T184732.mseed,"[['E', 'N', 'Z']]",2.821781204155671,[]
20120208T184732,SICB,8110,usp2012cswi,[],P,BL,,HHZ,-23.62495,-49.87701,397.9269691987657,-24.56134415,-46.09851074,2000.0,2012-02-08T18:48:28.487121Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:48:17.487121Z,2012-02-08T18:49:17.487121Z,earthquake,2.598904622,known,20120208T184732/BL_SICB_20120208T184732.mseed,"[['E', 'N', 'Z']]",2.749814733453366,[]
20120208T184732,SLP01,8109,usp2012cswi,[],P,ON,,HHZ,-23.3243,-45.1559,167.26903719007134,-24.56134415,-46.09851074,2000.0,2012-02-08T18:48:00.424285Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:47:49.424285Z,2012-02-08T18:48:49.424285Z,earthquake,2.598904622,known,20120208T184732/ON_SLP01_20120208T184732.mseed,"[['E', 'N', 'Z']]",4.8196387919751995,[]
20120208T184732,TIJ01,8106,usp2012cswi,[],P,ON,,HHZ,-25.908848,-49.024241,330.4119294138942,-24.56134415,-46.09851074,2000.0,2012-02-08T18:48:18.183349Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:48:07.183349Z,2012-02-08T18:49:07.183349Z,earthquake,2.598904622,known,20120208T184732/ON_TIJ01_20120208T184732.mseed,"[['E', 'N', 'Z']]",2.2221852024545057,[]
20120208T184732,VAS01,8112,usp2012cswi,[],P,ON,,HHZ,-22.280081,-43.442624,370.8002342580351,-24.56134415,-46.09851074,2000.0,2012-02-08T18:48:25.084289Z,2012-02-08T18:47:32.534268Z,2012-02-08T18:48:14.084289Z,2012-02-08T18:49:14.084289Z,earthquake,2.598904622,known,20120208T184732/ON_VAS01_20120208T184732.mseed,"[['E', 'N', 'Z']]",2.0858045550435826,[]
