year,mm,dd,hh,min,ss.s,L,latit,longit,depth,err(km),mag,tm,CAT,Io,Area,ST,Localities,(source) comments
1720,11,23,,,,,-13.000,-38.500,  0.0,0, 0.0,-1,"C",,,"BA","Salvador",""
1724,01,04,07,30,,L,-13.000,-38.500,  0.0,0, 2.8,4,"C","3-4",,"BA","Salvador",""
1744,09,24,12,,,L,-15.300,-58.000,  0.0,0, 2.8,4,"C","3-4",,"MT","CUIABA","EFEITO DE SISMO ANDINO ?"
1789,05,09,,,,,-25.010,-47.940,  0.0,0, 3.7,4,"C","5-6",,"SP","CANANEIA","(SANTOS 1850)"
1807,08,08,08,,,L,-5.700,-37.700,  0.0,100, 4.8,3,"B","6",230.000000,"RN","Assu","(Veloso 2012) Ano corrigido"
1810,04,19,,,,,-3.100,-40.840,  0.0,0, 0.0,-1,"C",,,"CE","GRANJA",""
1811,,,20,,,L,-30.040,-51.300,  0.0,0, 3.5,4,"C","5",,"RS","PORTO ALEGRE","EPIC. DUVIDOSO"
1811,10,28,19,30,,L,-8.080,-34.870,  0.0,50, 3.8,3,"C","5",0.600000,"PE","RECIFE","AREA IV APROX."
1815,06,,,,,,-12.760,-38.490,  0.0,0, 0.0,-1,"C",,,"BA","CABOTO",""
1824,,,,,,,-7.590,-39.280,  0.0,0, 0.0,-1,"C",,,"CE","JARDIM","FRATURA DE 30 KM ??"
1824,,,,,,,-21.980,-44.880,  0.0,0, 3.2,4,"C","4-5",,"MG","CAXAMBU",""
1826,,,,,,,-11.710,-47.770,  0.0,0, 2.6,4,"C","3",,"GO","NATIVIDADE",""
1832,,,,,,,-20.820,-45.720,  0.0,0, 3.5,4,"C","5",,"MG","Guapeh","(Passos Maia: 'Guapé'; UnB: Furnas)"
1832,09,18,14,,,L,-12.400,-64.400,  0.0,0, 0.0,-1,"C",,,"RO","PR.DA BEIRA",""
1834,,,,,,,-11.710,-47.770,  0.0,0, 2.6,4,"C","3",,"GO","NATIVIDADE",""
1839,07,15,23,,,L,-21.840,-45.390,  0.0,0, 3.0,4,"C","4",,"MG","CAMPANHA",""
1840,,,,,,,-21.030,-44.750,  0.0,0, 3.0,4,"C","4",,"MG","BOM SUCESSO","VARIOS EVENTOS"
1845,04,19,23,,,L,-25.520,-48.510,  0.0,0, 0.0,-1,"C",,,"PR","PARANAGUA","(VIEIRA DOS SANTOS 1850)"
1845,10,19,16,,,L,-35.100,-59.800,  0.0,0, 3.5,4,"C","5",,"AR","Saladillo Buenos_Aires","(INPRES)"
