timestamp,filename,size_bytes,line_count,stage_combo,status,event_headers,pick_lines,saved_eventos_csv,saved_erros_csv,meta_no_match,meta_unbound,over_400km,pwave_zero,sem_picks,last_exception,prev_commit,prev_commit_datetime,prev_commit_subject
2024-06-08 16:25:14,20240608162514_Sismo_Pipeline.log,80133,2195,OMT,partial,0,0,0,0,0,0,0,0,0,,b7fd2fe,2024-06-08 16:22:52,corrigindo pequenas coisas
2024-06-08 16:26:12,20240608162612_Sismo_Pipeline.log,729,16,-,trace,0,0,0,0,0,0,0,0,0,UnboundLocalError: cannot access local variable 'DATA_CLIENT_BKP' where it is not associated with a value,b7fd2fe,2024-06-08 16:22:52,corrigindo pequenas coisas
2024-06-08 16:27:29,20240608162729_Sismo_Pipeline.log,510,13,-,partial,0,0,0,0,0,0,0,0,0,,b7fd2fe,2024-06-08 16:22:52,corrigindo pequenas coisas
2024-06-08 16:28:00,20240608162800_Sismo_Pipeline.log,722,16,-,trace,0,0,0,0,0,0,0,0,0,TypeError: main() takes from 0 to 1 positional arguments but 3 were given,b7fd2fe,2024-06-08 16:22:52,corrigindo pequenas coisas
2024-06-08 16:28:30,20240608162830_Sismo_Pipeline.log,722,16,-,trace,0,0,0,0,0,0,0,0,0,TypeError: main() takes from 0 to 1 positional arguments but 3 were given,b7fd2fe,2024-06-08 16:22:52,corrigindo pequenas coisas
2024-06-08 16:35:13,20240608163513_Sismo_Pipeline.log,2401,56,E,partial,0,0,0,0,0,0,0,0,0,,b7fd2fe,2024-06-08 16:22:52,corrigindo pequenas coisas
2024-06-08 18:24:36,20240608182436_Sismo_Pipeline.log,236943,3918,E,partial,0,0,0,0,0,0,0,0,0,,b7fd2fe,2024-06-08 16:22:52,corrigindo pequenas coisas
2024-07-31 13:31:14,Sismo_Pipeline.log.20240731133114,645,20,-,ok,0,0,0,0,0,0,0,0,0,,782e40e,2024-07-31 13:01:12,commit!
2024-07-31 13:31:46,Sismo_Pipeline.log.20240731133146,645,20,-,ok,0,0,0,0,0,0,0,0,0,,782e40e,2024-07-31 13:01:12,commit!
2024-07-31 13:32:16,Sismo_Pipeline.log.20240731133216,1190,41,P,partial,0,0,0,0,0,0,0,0,0,,782e40e,2024-07-31 13:01:12,commit!
2024-07-31 13:37:51,Sismo_Pipeline.log.20240731133751,1190,41,P,partial,0,0,0,0,0,0,0,0,0,,782e40e,2024-07-31 13:01:12,commit!
2024-07-31 13:53:10,Sismo_Pipeline.log.20240731135310,1217,42,P,partial,0,0,0,0,0,0,0,0,0,,782e40e,2024-07-31 13:01:12,commit!
2024-07-31 13:56:27,Sismo_Pipeline.log.20240731135627,1216,42,P,partial,0,0,0,0,0,0,0,0,0,,782e40e,2024-07-31 13:01:12,commit!
2024-07-31 13:59:04,Sismo_Pipeline.log.20240731135904,1247,43,P,partial,0,0,0,0,0,0,0,0,0,,782e40e,2024-07-31 13:01:12,commit!
2024-07-31 13:59:38,Sismo_Pipeline.log.20240731135938,1802,53,P,trace,0,0,0,0,0,0,0,0,0,UnboundLocalError: cannot access local variable 'DATA_CLIENT' where it is not associated with a value,782e40e,2024-07-31 13:01:12,commit!
2024-07-31 14:00:43,Sismo_Pipeline.log.20240731140043,1766,53,P,trace,0,0,0,0,0,0,0,0,0,AttributeError: 'str' object has no attribute 'base_url',782e40e,2024-07-31 13:01:12,commit!
2024-07-31 14:21:32,Sismo_Pipeline.log.20240731142132,1813440,31655,PE,trace,0,0,0,0,0,0,0,0,0,UnboundLocalError: cannot access local variable 'DATA_CLIENT' where it is not associated with a value,782e40e,2024-07-31 13:01:12,commit!
2024-07-31 14:34:58,Sismo_Pipeline.log.20240731143458,1813370,31654,PE,trace,0,0,0,0,0,0,0,0,0,UnboundLocalError: cannot access local variable 'DATA_CLIENT' where it is not associated with a value,782e40e,2024-07-31 13:01:12,commit!
2024-07-31 14:36:14,Sismo_Pipeline.log.20240731143614,1813370,31654,PE,trace,0,0,0,0,0,0,0,0,0,UnboundLocalError: cannot access local variable 'DATA_CLIENT' where it is not associated with a value,782e40e,2024-07-31 13:01:12,commit!
2024-08-02 13:58:09,Sismo_Pipeline.log.20240802135809,1813444,31655,PE,trace,0,0,0,0,0,0,0,0,0,UnboundLocalError: cannot access local variable 'DATA_CLIENT' where it is not associated with a value,d3036fa,2024-08-02 13:56:29,commit
2024-08-02 13:58:30,Sismo_Pipeline.log.20240802135830,631,21,P,partial,0,0,0,0,0,0,0,0,0,,d3036fa,2024-08-02 13:56:29,commit
2024-08-02 13:59:35,Sismo_Pipeline.log.20240802135935,631,21,P,partial,0,0,0,0,0,0,0,0,0,,d3036fa,2024-08-02 13:56:29,commit
2024-08-02 14:00:35,Sismo_Pipeline.log.20240802140035,645,20,-,ok,0,0,0,0,0,0,0,0,0,,d3036fa,2024-08-02 13:56:29,commit
2024-08-02 14:00:40,Sismo_Pipeline.log.20240802140040,1060,27,-,partial,0,0,0,0,0,0,0,0,0,,d3036fa,2024-08-02 13:56:29,commit
2024-08-02 14:01:17,Sismo_Pipeline.log.20240802140117,1060,27,-,partial,0,0,0,0,0,0,0,0,0,,d3036fa,2024-08-02 13:56:29,commit
2024-08-02 14:01:45,Sismo_Pipeline.log.20240802140145,1022,29,-,trace,0,0,0,0,0,0,0,0,0,FileNotFoundError: [Errno 2] No such file or directory: 'arquivos/catalogo/catalogo_jul',d3036fa,2024-08-02 13:56:29,commit
2024-08-02 14:02:33,Sismo_Pipeline.log.20240802140233,1022,29,-,trace,0,0,0,0,0,0,0,0,0,FileNotFoundError: [Errno 2] No such file or directory: 'arquivos/catalogo/catalogo_jul',d3036fa,2024-08-02 13:56:29,commit
2024-08-02 14:03:14,Sismo_Pipeline.log.20240802140314,736,26,-,trace,0,0,0,0,0,0,0,0,0,IndexError: list index out of range,d3036fa,2024-08-02 13:56:29,commit
2024-08-02 14:03:45,Sismo_Pipeline.log.20240802140345,1022,29,-,trace,0,0,0,0,0,0,0,0,0,FileNotFoundError: [Errno 2] No such file or directory: 'arquivos/catalogo/catalogo_jul',d3036fa,2024-08-02 13:56:29,commit
2024-08-02 14:07:03,Sismo_Pipeline.log.20240802140703,1022,29,-,trace,0,0,0,0,0,0,0,0,0,FileNotFoundError: [Errno 2] No such file or directory: 'arquivos/catalogo/catalogo_jul',d3036fa,2024-08-02 13:56:29,commit
2024-08-02 14:08:08,Sismo_Pipeline.log.20240802140808,1484,49,P,trace,0,0,0,0,0,0,0,0,0,FileNotFoundError: [Errno 2] No such file or directory: 'arquivos/catalogo/catalogo_jul',d3036fa,2024-08-02 13:56:29,commit
2024-08-02 14:09:10,Sismo_Pipeline.log.20240802140910,1511,50,P,trace,0,0,0,0,0,0,0,0,0,FileNotFoundError: [Errno 2] No such file or directory: 'arquivos/catalogo/catalogo_jul',d3036fa,2024-08-02 13:56:29,commit
2024-08-02 14:09:58,Sismo_Pipeline.log.20240802140958,1233,47,P,trace,0,0,0,0,0,0,0,0,0,IndexError: list index out of range,d3036fa,2024-08-02 13:56:29,commit
2024-08-02 14:11:40,Sismo_Pipeline.log.20240802141140,1192,46,P,trace,0,0,0,0,0,0,0,0,0,IndexError: list index out of range,d3036fa,2024-08-02 13:56:29,commit
2024-08-02 14:28:49,Sismo_Pipeline.log.20240802142849,1494,47,P,partial,0,0,0,0,0,0,0,0,0,,d3036fa,2024-08-02 13:56:29,commit
2024-08-02 14:59:45,Sismo_Pipeline.log.20240802145945,1494,47,P,partial,0,0,0,0,0,0,0,0,0,,d3036fa,2024-08-02 13:56:29,commit
2024-08-02 15:00:06,Sismo_Pipeline.log.20240802150006,1494,47,P,partial,0,0,0,0,0,0,0,0,0,,d3036fa,2024-08-02 13:56:29,commit
2024-08-02 15:00:44,Sismo_Pipeline.log.20240802150044,1494,47,P,partial,0,0,0,0,0,0,0,0,0,,d3036fa,2024-08-02 13:56:29,commit
2024-08-02 15:13:14,Sismo_Pipeline.log.20240802151314,1494,47,P,partial,0,0,0,0,0,0,0,0,0,,d3036fa,2024-08-02 13:56:29,commit
2024-08-02 15:30:44,Sismo_Pipeline.log.20240802153044,1494,47,P,partial,0,0,0,0,0,0,0,0,0,,d3036fa,2024-08-02 13:56:29,commit
2024-08-02 15:58:57,Sismo_Pipeline.log.20240802155857,1494,47,P,partial,0,0,0,0,0,0,0,0,0,,d3036fa,2024-08-02 13:56:29,commit
2024-08-03 00:41:46,Sismo_Pipeline.log.20240803004146,1452,48,P,trace,0,0,0,0,0,0,0,0,0,FileNotFoundError: [Errno 2] No such file or directory: 'arquivos/catalogo/Catalog_jul',52f81a9,2024-08-02 16:35:44,commit
2024-08-05 10:46:07,Sismo_Pipeline.log.20240805104607,764,24,-,trace,0,0,0,0,0,0,0,0,0,ModuleNotFoundError: No module named 'nucleo',52f81a9,2024-08-02 16:35:44,commit
2024-08-05 14:10:37,Sismo_Pipeline.log.20240805141037,61758616,1904864,PE,ok,10381,254044,1,1,842,0,244968,21,1,,5b3ee71,2024-08-05 13:24:57,commit
2024-08-05 14:11:01,Sismo_Pipeline.log.20240805141101,631,21,P,partial,0,0,0,0,0,0,0,0,0,,5b3ee71,2024-08-05 13:24:57,commit
