event,label_cat,mag,lat,lon,pred,prob_nat
20230929145625,0,-0.3982877275,-27.5585165,-51.42541585,1,0.025
20230929111457,0,-0.07837959668,-27.56978745,-51.4354568,1,0.21
20230929103129,0,-0.1389727834,-27.58137236,-51.43303499,1,0.029
20230929100122,0,-0.03192099577,-27.581413,-51.42582953,1,0.005
20230927124624,0,-0.418325393,-27.68949821,-51.32953211,0,0.849
20230926204946,1,1.8740167,-28.57951464,-51.66659319,1,0.012
20230926175326,0,0.7638207915,-27.35208245,-52.36624567,0,0.884
20230926164356,0,0.05671678653,-27.24889839,-52.04598661,0,0.839
20230926115317,0,-0.6161925349,-27.22627589,-52.14320039,1,0.202
20230926004239,0,-1.194081089,-27.24236139,-52.12649749,0,0.737
20230921102418,0,-0.4170737093,-27.24227074,-52.13278427,0,0.668
20230921100544,0,-0.6707895841,-27.24104786,-52.12918537,0,0.555
20230919120542,0,-0.4435295076,-27.23976671,-52.12718355,0,0.523
20230919025258,0,-1.036706251,-27.70851725,-51.32564906,1,0.081
20230918191802,0,0.0163496888,-27.20029822,-52.17683732,0,0.586
20230916152149,1,1.062057642,-27.92842716,-50.58962222,1,0.012
20230916042829,0,-0.4556494931,-27.24563668,-52.14915826,0,0.751
20230906151824,1,1.672180949,-28.04893999,-51.84438792,0,0.99
20230906121305,0,-0.5867789287,-27.71357192,-51.33758625,0,0.765
20230904002008,0,-0.8064168563,-27.71331694,-51.32983492,0,0.943
20230902081604,0,-0.7451518089,-27.70436958,-51.30068909,1,0.227
20230831155622,0,-0.509901561,-27.24207198,-52.12158055,0,0.592
20230830183917,1,1.257274682,-27.12330734,-49.72530887,1,0.178
20230829223229,0,-0.7146010919,-27.25348787,-52.12673085,0,0.867
20230829051603,0,1.608954538,-27.2438902,-52.12477881,0,0.561
20230826033100,0,-0.1517917603,-27.252065,-52.11330148,0,0.674
20230824152934,1,1.470976601,-27.14917904,-49.80278883,1,0.018
20230824120837,0,-0.3414166752,-27.22556984,-52.14673619,1,0.438
20230824105740,0,-0.5990367932,-27.22211555,-52.14903791,1,0.24
20230822160656,1,0.3963230079,-27.25605543,-52.07977723,0,0.525
20230822153204,1,1.713267551,-26.87692269,-49.88027357,1,0.034
20230821122338,0,-0.408191437,-27.22380216,-52.15228066,1,0.133
20230821120934,0,0.1072969596,-27.22715732,-52.15407906,1,0.032
20230821120548,0,0.4113984378,-27.25928701,-52.10370806,1,0.016
20230821111316,0,-0.1123973339,-27.22775848,-52.15436265,1,0.083
20230818154804,1,1.541540544,-27.26960594,-49.74295979,1,0.039
20230818115628,0,-0.2615878728,-27.22257393,-52.14630142,1,0.145
20230818113723,0,-0.05904198515,-27.2245285,-52.15078133,1,0.035
20230818110409,0,-0.3517765807,-27.21530177,-52.15155564,0,0.642
20230818105254,0,-0.464826368,-27.22567191,-52.1506848,1,0.367
20230818105158,0,-0.4766092897,-27.22186662,-52.14943254,1,0.207
20230818105114,0,-0.5738206672,-27.23020844,-52.15428448,1,0.207
