evid,origin,longitude,latitude,depth,magnitude,magnitudet,region,author,mode
usp2014gyqn,2014-04-09T20:49:40.000Z,-48530,-21070,0.0,0.0,,Taiacu/SP,JRoberto,M
usp2021ezmw,2021-03-12T21:02:20.000Z,-56890,-25800,0.0,0.0,,Paraguay,jroberto,M
usp2020hkyw,2020-04-15T14:40:20.000Z,-56732,-11612,0.0,0.2,MLv,Novo Horizonte do Norte/MT,jroberto,M
usp2022gpbs,2022-04-04T15:07:42.000Z,-40037,-3312,0.0,0.3,MLv,Morrinhos/CE,jroberto,M
usp2014oaxt,2014-07-19T17:30:30.000Z,-55363,-7050,0.0,0.5,MLv,Novo Progresso/PA,JRoberto,M
usp2015rxwc,2015-09-12T23:24:35.000Z,-36122,-9407,0.0,0.6,MLv,Cajueiro/AL,jroberto@vitoria,M
usp2018cdft,2018-01-31T05:22:34.000Z,-51195,-23351,0.0,0.6,MLv,Londrina/PR,jroberto,M
usp2019dmvk,2019-02-19T17:08:54.000Z,-51200,-23324,0.0,0.6,MLv,Londrina/PR,jroberto,M
usp2014kloc,2014-05-29T14:58:30.000Z,-41660,-21848,0.0,0.7,MLv,Sao Fidelis/RJ,JRoberto,M
usp2015cjmh,2015-02-03T15:30:35.694Z,-35992,-8359,0.0,0.7,mR,Caruaru/PE,JRoberto,M
usp2015phgr,2015-08-06T10:21:28.000Z,-48500,-21048,0.0,0.7,MLv,Bebedouro/SP,JRoberto,M
usp2016fwub,2016-03-24T14:48:15.000Z,-55704,-20478,0.0,0.7,MLv,Aquidauana/MS,jroberto,M
usp2017espk,2017-03-09T02:22:56.463Z,-48581,-21288,0.0,0.7,MLv,Jurupema/SP,jroberto,M
usp2018bojv,2018-01-23T02:23:50.000Z,-51190,-23350,0.0,0.7,MLv,Londrina/PR,massumpcao,M
usp2019ianq,2019-04-25T03:10:02.000Z,-50850,-29332,0.0,0.7,MLv,Canela/RS,jroberto,M
usp2019nstm,2019-07-15T06:15:50.000Z,-56733,-11611,0.0,0.7,MLv,Novo Horizonte do Norte/MT,jroberto,M
usp2014jybg,2014-05-22T05:42:56.000Z,-44656,-21053,0.0,0.8,MLv,Bom Sucesso/MG,JRoberto,M
usp2014lafu,2014-06-06T15:48:44.000Z,-55609,-15800,0.0,0.8,MLv,Chapada dos Guimaraes/MT,JRoberto,M
usp2019dkga,2019-02-18T07:00:46.000Z,-51286,-11972,0.0,0.8,MLv,Serra Nova Dourada/MT,jroberto,M
usp2020qlqm,2020-08-22T01:23:44.000Z,-50882,-29379,0.0,0.8,MLv,Gramado/RS,marcelo,M
usp2022havu,2022-04-11T01:45:55.332Z,-48678,-20941,0.0,0.8,MLv,MonteA.Paulista/rg.zona rural,jroberto,M
usp2022jzyj,2022-05-23T06:31:43.000Z,-48651,-20964,0.0,0.8,MLv,MonteA.Paulista/rg.zona rural,jroberto,M
usp2023fcfe,2023-03-14T08:34:12.000Z,-48665,-21091,0.0,0.8,MLv,Pirangi/SP,jroberto,M
usp2016bhtr,2016-01-19T11:26:09.439Z,-51169,-23337,0.0,0.9,MLv,Londrina/PR,jroberto,M
usp2017qdbb,2017-08-18T08:31:22.994Z,-44943,-21180,0.0,0.9,MLv,Ijaci/MG,jroberto,M
usp2019ulpl,2019-10-18T23:00:47.000Z,-35597,-5622,0.0,0.9,MLv,Taipu/RN,jroberto,M
usp2019unma,2019-10-19T23:33:52.000Z,-35597,-5622,0.0,0.9,MLv,Taipu/RN,jroberto,M
usp2021reil,2021-09-02T06:54:55.000Z,-52126,-27233,0.0,0.9,MLv,Arabuta/SC,jroberto,M
usp2014klix,2014-05-29T12:20:54.000Z,-44665,-21065,0.0,1.0,MLv,Bom Sucesso/MG,JRoberto,M
usp2014pgna,2014-08-06T00:26:23.000Z,-50864,-29469,0.0,1.0,MLv,Gramado/RS,JRoberto,M
usp2016asmh,2016-01-11T02:39:34.799Z,-51169,-23278,0.0,1.0,M,Londrina/PR,jroberto,M
usp2017gagp,2017-03-27T12:33:15.000Z,-51815,-15710,0.0,1.0,MLv,Araguaiana/MT,jroberto,M
usp2018pubu,2018-08-13T10:39:11.000Z,-43948,-22891,0.0,1.0,MLv,Mangaratiba/RJ,jroberto,M
usp2018purz,2018-08-13T18:50:54.897Z,-44046,-22872,0.0,1.0,M,Mangaratiba/RJ,jroberto,M
usp2019wlmi,2019-11-16T08:31:25.943Z,-38245,-4239,0.0,1.0,mR,Cascavel/CE,jroberto,M
