evid,origin,longitude,latitude,depth,magnitude,magnitudet,region,author,mode,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
usp2024eite,2024-03-02 16:54:41.687000+00:00,-44292,-19397,0.0,2.7,mR,Sete Lagoas/MG,bruno,M,,,,,
usp2024dyve,2024-02-26 06:34:40.071000+00:00,-48618,-20902,0.0,1.9,MLv,Monte Azul Paulista/SP,jroberto,M,,,,,
usp2024dxus,2024-02-25 17:12:10.595000+00:00,-48647,-21034,0.0,1.4,MLv,Pirangi/SP,jroberto,M,,,,,
usp2024cypp,2024-02-11 22:13:02+00:00,-48845,-20013,0.0,2.2,mR,Frutal/MG,jroberto,M,,,,,
usp2024cxhs,2024-02-11 05:05:51.864000+00:00,-39585,-12974,0.0,2.7,mR,Amargosa/BA,bruno,M,,,,,
usp2024ckwu,2024-02-04 09:56:50.899000+00:00,-48891,-20047,0.0,2.1,mR,Frutal/MG,jroberto,M,,,,,
usp2024cgyk,2024-02-02 06:12:37.906000+00:00,-48787,-19994,0.0,2.1,mR,Pirajuba/MG,jroberto,M,,,,,
usp2024cfxj,2024-02-01 16:33:09.782000+00:00,-40481,-10566,0.0,2.4,mR,Campo Formoso/BA,jroberto,M,,,,,
usp2024cbde,2024-01-30 01:48:53.003000+00:00,-45672,-23327,0.0,2.3,mR,Paraibuna/SP,bruno,M,,,,,
usp2024carh,2024-01-29 19:48:05.798000+00:00,-35908,-9382,0.0,2.3,mR,Messias/AL,jroberto,M,,,,,
usp2024bybr,2024-01-28 09:38:59.367000+00:00,-71257,-8439,651.7,6.2,mb,Western Brazil,bruno,M,,,,,
usp2024btkh,2024-01-25 20:19:35.898000+00:00,-38655,-14605,0.0,2.9,mR,Margem Continental/BA,jroberto,M,,,,,
usp2024bmay,2024-01-21 19:38:51.277000+00:00,-39543,-3998,0.0,2.3,mR,Tejucuoca/CE,jroberto,M,,,,,
usp2024bkjd,2024-01-20 21:31:07.317000+00:00,-71528,-7414,638.1,6.6,Mw(mB),Western Brazil,bruno,M,,,,,
usp2024bchq,2024-01-16 11:40:26.488000+00:00,-44304,-19583,0.0,2.3,mR,Sete Lagoas/MG,bruno,M,,,,,
usp2024bbzt,2024-01-16 07:41:07.057000+00:00,-44231,-19532,0.0,2.4,mR,Sete Lagoas/MG,bruno,M,,,,,
