ID,Error,Pick,Network,Station,Latitude,Longitude,Channel,Location,Distance,Pick Time,Origin Time,Start Time,End Time
usp2020hkyw,"pick.phase_hint not in [P, Pg, Pn]",S,,,-11.6123,-56.7317,,,,,2020-04-15T14:40:20.000000Z,,
usp2022gpbs,"pick.phase_hint not in [P, Pg, Pn]",S,,,-3.3116,-40.0374,,,,,2022-04-04T15:07:42.000000Z,,
usp2022gpbs,sta_lat or sta_lon is None,P,NB,NBMO,,,HHZ,,,,,,
usp2014oaxt,"pick.phase_hint not in [P, Pg, Pn]",S,,,-7.05,-55.3633,,,,,2014-07-19T17:30:30.000000Z,,
usp2015rxwc,"pick.phase_hint not in [P, Pg, Pn]",S,,,-9.4065,-36.1218,,,,,2015-09-12T23:24:35.000000Z,,
usp2015rxwc,sta_lat or sta_lon is None,P,NB,NBAN,,,HHZ,,,,,,
usp2014kloc,"pick.phase_hint not in [P, Pg, Pn]",S,,,-21.8477,-41.6596,,,,,2014-05-29T14:58:30.000000Z,,
usp2014kloc,sta_lat or sta_lon is None,P,ON,CAM01,,,HHR,,,,,,
usp2015cjmh,sta_lat or sta_lon is None,P,NB,NBRF,,,HHZ,,,,,,
usp2015cjmh,"pick.phase_hint not in [P, Pg, Pn]",S,,,-8.358922005,-35.99222565,,,,,2015-02-03T15:30:35.694424Z,,
usp2015cjmh,"pick.phase_hint not in [P, Pg, Pn]",S,,,-8.358922005,-35.99222565,,,,,2015-02-03T15:30:35.694424Z,,
usp2015cjmh,sta_lat or sta_lon is None,P,NB,NBPA,,,HHZ,,,,,,
usp2015cjmh,sta_lat or sta_lon is None,P,IU,RCBR,,,BHZ,10,,,,,
usp2015cjmh,"pick.phase_hint not in [P, Pg, Pn]",S,,,-8.358922005,-35.99222565,,,,,2015-02-03T15:30:35.694424Z,,
usp2015cjmh,"pick.phase_hint not in [P, Pg, Pn]",S,,,-8.358922005,-35.99222565,,,,,2015-02-03T15:30:35.694424Z,,
usp2015cjmh,sta_lat or sta_lon is None,P,NB,NBLI,,,HHZ,,,,,,
usp2015phgr,"pick.phase_hint not in [P, Pg, Pn]",S,,,-21.0476,-48.5,,,,,2015-08-06T10:21:28.000000Z,,
usp2016fwub,"pick.phase_hint not in [P, Pg, Pn]",S,,,-20.4778,-55.7038,,,,,2016-03-24T14:48:15.000000Z,,
usp2019ianq,"pick.phase_hint not in [P, Pg, Pn]",S,,,-29.3323,-50.8499,,,,,2019-04-25T03:10:02.000000Z,,
usp2019nstm,"pick.phase_hint not in [P, Pg, Pn]",S,,,-11.6112,-56.7327,,,,,2019-07-15T06:15:50.000000Z,,
usp2014jybg,"pick.phase_hint not in [P, Pg, Pn]",S,,,-21.053,-44.6555,,,,,2014-05-22T05:42:56.000000Z,,
usp2014jybg,sta_lat or sta_lon is None,P,BL,BSCB,,,HHR,,,,,,
usp2014lafu,"pick.phase_hint not in [P, Pg, Pn]",S,,,-15.8001,-55.6093,,,,,2014-06-06T15:48:44.000000Z,,
usp2019dkga,"pick.phase_hint not in [P, Pg, Pn]",S,,,-11.9723,-51.2855,,,,,2019-02-18T07:00:46.000000Z,,
usp2020qlqm,"pick.phase_hint not in [P, Pg, Pn]",S,,,-29.379,-50.882,,,,,2020-08-22T01:23:44.000000Z,,
usp2022havu,"pick.phase_hint not in [P, Pg, Pn]",S,,,-20.94091988,-48.67777252,,,,,2022-04-11T01:45:55.332847Z,,
usp2022havu,"pick.phase_hint not in [P, Pg, Pn]",S,,,-20.94091988,-48.67777252,,,,,2022-04-11T01:45:55.332847Z,,
usp2022havu,"pick.phase_hint not in [P, Pg, Pn]",Sg,,,-20.94091988,-48.67777252,,,,,2022-04-11T01:45:55.332847Z,,
usp2017qdbb,"pick.phase_hint not in [P, Pg, Pn]",S,,,-21.17993736,-44.9434166,,,,,2017-08-18T08:31:22.994525Z,,
usp2017qdbb,"pick.phase_hint not in [P, Pg, Pn]",S,,,-21.17993736,-44.9434166,,,,,2017-08-18T08:31:22.994525Z,,
