ID;Hora de Origem (UTC);Longitude;Latitude;UTM X;UTM Y;MLv;Energia;Cat
;;(°);(°);(m);(m);;(J);
MC_20220430_133041;2022-04-30T13:30:41;-51.3182;-27.7051;468629.5694257176;6935422.969429263;-0.9;14.9445;I
MC_20220429_182505;2022-04-29T18:25:05;-51.3240;-27.7065;468056.78118350846;6935266.7659341395;-0.1;503.62;I
MC_20220429_180955;2022-04-29T18:09:55;-51.2820;-27.6802;472194.69408889185;6938190.814162128;0.2;1565.81;I
MC_20220429_065341;2022-04-29T06:53:41;-51.3371;-27.7150;466769.38131067343;6934325.215663598;-0.6;58.665;I
MC_20220426_161029;2022-04-26T16:10:29;-49.7634;-27.3407;622324.6169058238;6975226.77195864;1.0;63391.9;Q
MC_20220425_021659;2022-04-25T02:16:59;-50.9193;-27.9633;507935.085024227;6906858.976999763;1.6;878539;I
MC_20220422_152652;2022-04-22T15:26:52;-49.8663;-27.0360;612445.5532272684;7009066.672735535;1.7;1.34418e+06;Q
MC_20220417_194139;2022-04-17T19:41:39;-51.3359;-27.6748;466870.4793796656;6938772.088110244;-1.3;2.77096;I
MC_20220412_160008;2022-04-12T16:00:08;-49.7312;-27.2862;625572.7864227082;6981229.651271769;1.9;3.55962e+06;Q
MC_20220405_153446;2022-04-05T15:34:46;-49.7604;-27.1759;622799.4934133096;6993479.485848838;1.6;919296;Q
MC_20220403_051501;2022-04-03T05:15:01;-51.3208;-27.6735;468368.04247555294;6938923.746078685;-0.4;136.881;I
