ID;Hora de Origem (UTC);Longitude;Latitude;UTM X;UTM Y;MLv;Energia;Cat
;;(°);(°);(m);(m);;(J);
IT_20230731_161723;2023-07-31T16:17:23;-52.1287;-27.2434;388252.14761;6986104.10677;-0.6;47.3333;I
IT_20230731_125529;2023-07-31T12:55:29;-52.1322;-27.2561;387917.49243;6984692.2052;-0.6;51.0854;I
IT_20230727_193328;2023-07-27T19:33:28;-52.1392;-27.2626;387235.858593;6983962.37853;-0.4;115.755;I
IT_20230727_154330;2023-07-27T15:43:30;-52.2863;-27.5091;372949.370445;6956512.03148;0.7;15319.1;Q
IT_20230727_130811;2023-07-27T13:08:11;-52.1350;-27.1946;387582.657691;6991507.08646;-0.2;317.264;I
IT_20230725_171337;2023-07-25T17:13:37;-52.1352;-27.2542;387625.855987;6984899.26606;-0.6;52.9933;I
IT_20230725_170213;2023-07-25T17:02:13;-52.3123;-27.1274;369940.843983;6998779.12977;0.1;1332.49;Q
IT_20230725_144848;2023-07-25T14:48:48;-52.1219;-27.2433;388930.833931;6986119.76231;0.3;2502.62;I
IT_20230725_094426;2023-07-25T09:44:26;-52.1217;-27.2435;388950.287562;6986101.40135;0.2;2179.51;I
IT_20230724_165951;2023-07-24T16:59:51;-52.1357;-27.2545;387567.967913;6984871.18508;-0.5;101.545;Q
IT_20230724_155534;2023-07-24T15:55:34;-51.9774;-27.2069;403198.588349;6990269.54311;0.4;4250.66;Q
IT_20230724_135651;2023-07-24T13:56:51;-52.3241;-27.1260;368766.612622;6998913.16396;0.5;6774.13;Q
IT_20230722_072955;2023-07-22T07:29:55;-52.3809;-27.3028;363350.843882;6979269.96793;-0.5;99.0324;I
IT_20230720_115503;2023-07-20T11:55:03;-52.1456;-27.2444;386581.480315;6985974.4062;-0.6;55.6199;I
IT_20230719_180523;2023-07-19T18:05:23;-52.1383;-27.2513;387314.498233;6985219.72456;-0.3;257.287;I
IT_20230718_103949;2023-07-18T10:39:49;-52.1297;-27.2396;388149.926513;6986526.20111;-0.6;56.41;I
IT_20230718_103709;2023-07-18T10:37:09;-52.1289;-27.2430;388229.834016;6986150.58571;-0.5;83.3089;I
IT_20230717_181232;2023-07-17T18:12:32;-52.1300;-27.2396;388121.41166;6986517.76337;-0.5;93.2767;I
IT_20230717_180816;2023-07-17T18:08:16;-52.1262;-27.2256;388484.587289;6988076.38064;-0.4;128.692;I
IT_20230717_174836;2023-07-17T17:48:36;-52.1300;-27.2399;388123.991145;6986492.10568;-0.2;360.664;I
IT_20230717_174539;2023-07-17T17:45:39;-52.1301;-27.2393;388110.815129;6986556.4822;-0.1;498.721;I
IT_20230717_173531;2023-07-17T17:35:31;-52.1304;-27.2395;388083.842831;6986528.21899;-0.3;216.865;I
IT_20230717_155337;2023-07-17T15:53:37;-52.1332;-27.2295;387796.150301;6987635.10582;-0.5;92.9498;I
IT_20230708_030112;2023-07-08T03:01:12;-52.1258;-27.2079;388504.892715;6990038.49861;-1.2;4.01431;I
gfz2023ndjd;2023-07-06T19:58:52;-52.0476;-27.2057;396249.577781;6990344.24733;1.0;63638.2;Q
IT_20230705_192418;2023-07-05T19:24:18;-51.7854;-28.4841;423122.110231;6848922.00037;1.5;470820;E
