ID;Hora de Origem (UTC);Longitude;Latitude;UTM X;UTM Y;MLv;Energia;Cat
;;(°);(°);(m);(m);;(J);
IT_20231128_195807;2023-11-28T19:58:07;-52.0499;-27.2012;396014.4497103398;6990845.480333859;1.1;78621.4;Q
IT_20231128_195714;2023-11-28T19:57:14;-52.0509;-27.2085;395921.612613513;6990035.82378243;0.2;1863.56;I
IT_20231128_123540;2023-11-28T12:35:40;-52.1233;-27.2468;388790.69054791273;6985727.67209917;-0.6;70.0235;I
IT_20231127_072707;2023-11-27T07:27:07;-52.1447;-27.2737;386696.4425133137;6982729.108817119;0.2;2028.23;I
IT_20231127_062632;2023-11-27T06:26:32;-52.1192;-27.2454;389195.38794030703;6985893.580859066;-0.7;34.5511;I
IT_20231127_031034;2023-11-27T03:10:34;-52.1445;-27.2617;386710.26862216514;6984059.056131689;-0.8;26.614;I
IT_20231125_233948;2023-11-25T23:39:48;-52.1118;-27.2235;389903.98583412543;6988317.080922317;-0.3;209.821;I
IT_20231125_025848;2023-11-25T02:58:48;-52.1217;-27.2435;388948.37876700424;6986094.517825987;0.6;11043.5;I
IT_20231122_093954;2023-11-22T09:39:54;-52.1511;-27.2252;386013.2026736314;6988100.995892528;-0.4;164.378;I
IT_20231121_144953;2023-11-21T14:49:53;-52.3568;-27.2352;365660.1507523784;6986790.602432067;0.8;21073.9;I
IT_20231120_183229;2023-11-20T18:32:29;-52.1297;-27.2250;388133.1021302998;6988134.720929807;-0.3;231.777;I
IT_20231120_092825;2023-11-20T09:28:25;-52.1236;-27.2451;388756.0099646937;6985919.759006834;-0.1;451.503;I
IT_20231118_231556;2023-11-18T23:15:56;-52.1712;-27.3020;384102.7424288091;6979573.907136555;-0.1;583.198;I
IT_20231109_062913;2023-11-09T06:29:13;-52.1224;-27.2427;388873.16946060257;6986179.188458075;-0.0;647.104;I
IT_20231107_184126;2023-11-07T18:41:26;-52.1546;-27.2258;385673.28262051113;6988031.013018697;-0.2;290.187;I
IT_20231107_160149;2023-11-07T16:01:49;-52.1511;-27.2241;386013.1280285688;6988220.084858872;-0.2;383.345;I
IT_20231107_113850;2023-11-07T11:38:50;-52.1426;-27.2225;386851.54258121183;6988401.743334627;-0.5;73.3949;I
IT_20231106_115339;2023-11-06T11:53:39;-52.1481;-27.2276;386315.81022405875;6987838.787105173;-0.3;222.629;I
IT_20231106_113616;2023-11-06T11:36:16;-52.1492;-27.2290;386209.6376980376;6987675.899482014;-0.4;124.734;I
IT_20231106_045950;2023-11-06T04:59:50;-52.1507;-27.2815;386118.8767716003;6981863.963288625;-0.5;89.7947;I
IT_20231105_144211;2023-11-05T14:42:11;-52.1541;-27.2854;385782.78464207385;6981421.718947088;1.2;126375;I
