ID,Event,Pick,Network,Station,Location,Channel,Latitude,Longitude,Distance,Origem Latitude,Origem Longitude,Pick Time,Origin Time,Start Time,End Time,Cat,MLv,Certainty,Path,Error
usp2014gyqn,20140409T204940,P,BL,BB19B,,HHZ,-21.0662,-48.5279,0.4739622562125565,,,2014-04-09T20:49:43.974670Z,2014-04-09T20:49:40.000000Z,2014-04-09T20:49:33.974670Z,2014-04-09T20:50:33.974670Z,,,,,Error getting magnitude: 'NoneType' object has no attribute 'mag'
usp2014gyqn,20140409T204940,S,BL,BB19B,,HHE,,,,-21.07,-48.53,,2014-04-09T20:49:40.000000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2021ezmw,20210312T210220,Sg,GT,CPUP,00,BHE,,,,-25.8,-56.89,,2021-03-12T21:02:20.000000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2021ezmw,20210312T210220,Pg,GT,CPUP,00,BHZ,,,,-25.8,-56.89,,2021-03-12T21:02:20.000000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2020hkyw,20200415T144020,S,BR,PDRB,,HHT,,,,-11.6123,-56.7317,,2020-04-15T14:40:20.000000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2022gpbs,20220404T150742,S,NB,NBMO,,HHT,,,,-3.3116,-40.0374,,2022-04-04T15:07:42.000000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2014oaxt,20140719T173030,S,BR,NPGB,,HHR,,,,-7.05,-55.3633,,2014-07-19T17:30:30.000000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2015rxwc,20150912T232435,S,NB,NBAN,,HHE,,,,-9.4065,-36.1218,,2015-09-12T23:24:35.000000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2018cdft,20180131T052234,S,BX,LDASE,,HHE,,,,-23.3511,-51.1948,,2018-01-31T05:22:34.000000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2019dmvk,20190219T170854,S,BX,LDASE,,HHT,,,,-23.3238,-51.1996,,2019-02-19T17:08:54.000000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2014kloc,20140529T145830,S,ON,CAM01,,HHT,,,,-21.8477,-41.6596,,2014-05-29T14:58:30.000000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2015cjmh,20150203T153035,S,NB,NBRF,,HHE,,,,-8.358922005,-35.99222565,,2015-02-03T15:30:35.694424Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2015cjmh,20150203T153035,S,NB,NBPA,,HHE,,,,-8.358922005,-35.99222565,,2015-02-03T15:30:35.694424Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2015cjmh,20150203T153035,P,IU,RCBR,10,BHZ,,,,-8.358922005,-35.99222565,,2015-02-03T15:30:35.694424Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2015cjmh,20150203T153035,S,IU,RCBR,10,BHE,,,,-8.358922005,-35.99222565,,2015-02-03T15:30:35.694424Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2015cjmh,20150203T153035,S,NB,NBLI,,HHN,,,,-8.358922005,-35.99222565,,2015-02-03T15:30:35.694424Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2015phgr,20150806T102128,S,BL,BB19B,,HHR,,,,-21.0476,-48.5,,2015-08-06T10:21:28.000000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2016fwub,20160324T144815,S,BL,AQDB,,HHR,,,,-20.4778,-55.7038,,2016-03-24T14:48:15.000000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2017espk,20170309T022256,S,BX,TQJ2B,,HHT,,,,-21.28777504,-48.58082199,,2017-03-09T02:22:56.463907Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2017espk,20170309T022256,P,BX,TQJ4A,,HHZ,,,,-21.28777504,-48.58082199,,2017-03-09T02:22:56.463907Z,,,,,,,Error getting channel metadata: No matching channel metadata found.
usp2017espk,20170309T022256,S,BX,TQJ4A,,HHR,,,,-21.28777504,-48.58082199,,2017-03-09T02:22:56.463907Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2018bojv,20180123T022350,S,BX,LDASE,,HHN,,,,-23.35,-51.19,,2018-01-23T02:23:50.000000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2019ianq,20190425T031002,S,BL,CNLB,,HHT,,,,-29.3323,-50.8499,,2019-04-25T03:10:02.000000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2019nstm,20190715T061550,S,BR,PDRB,,HHT,,,,-11.6112,-56.7327,,2019-07-15T06:15:50.000000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2014jybg,20140522T054256,S,BL,BSCB,,HHR,,,,-21.053,-44.6555,,2014-05-22T05:42:56.000000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2014lafu,20140606T154844,S,BR,SALV,,HHT,,,,-15.8001,-55.6093,,2014-06-06T15:48:44.000000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2019dkga,20190218T070046,S,BR,SNDB,,HHT,,,,-11.9723,-51.2855,,2019-02-18T07:00:46.000000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2020qlqm,20200822T012344,S,BL,CNLB,,HHZ,,,,-29.379,-50.882,,2020-08-22T01:23:44.000000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
