ID,Event,Error,Pick,Network,Station,Location,Channel,Latitude,Longitude,Distance,Origem Latitude,Origem Longitude,Pick Time,Origin Time,Start Time,End Time,Cat,MLv,Certainty,Path
usp2024eite,20240302T165442,None,P,BL,ARCA,,HHZ,-16.8467,-41.9597,376.58823914427154,-19.41266667,-44.29683333,2024-03-02T16:55:36.259685Z,2024-03-02T16:54:42.479999Z,2024-03-02T16:55:26.259685Z,2024-03-02T16:56:26.259685Z,earthquake,2.717841097,known,./files/mseed/20240302T165442/BL_ARCA_20240302T165442.mseed
usp2024eite,20240302T165442,None,P,BL,SJMB,,HHZ,-18.702916,-41.184694,336.85286216340444,-19.41266667,-44.29683333,2024-03-02T16:55:31.298221Z,2024-03-02T16:54:42.479999Z,2024-03-02T16:55:21.298221Z,2024-03-02T16:56:21.298221Z,earthquake,2.717841097,known,./files/mseed/20240302T165442/BL_SJMB_20240302T165442.mseed
usp2024eite,20240302T165442,None,P,BL,PMNB,,HHZ,-18.54,-46.44,245.48951383666883,-19.41266667,-44.29683333,2024-03-02T16:55:20.371856Z,2024-03-02T16:54:42.479999Z,2024-03-02T16:55:10.371856Z,2024-03-02T16:56:10.371856Z,earthquake,2.717841097,known,./files/mseed/20240302T165442/BL_PMNB_20240302T165442.mseed
usp2024eite,20240302T165442,None,P,BL,BSCB,,HHZ,-20.9984,-44.7635,182.19999306340327,-19.41266667,-44.29683333,2024-03-02T16:55:11.625989Z,2024-03-02T16:54:42.479999Z,2024-03-02T16:55:01.625989Z,2024-03-02T16:56:01.625989Z,earthquake,2.717841097,known,./files/mseed/20240302T165442/BL_BSCB_20240302T165442.mseed
usp2024eite,20240302T165442,None,P,VL,AGLP,,HHZ,-19.9381,-43.2278,126.29017198290492,-19.41266667,-44.29683333,2024-03-02T16:55:04.693152Z,2024-03-02T16:54:42.479999Z,2024-03-02T16:54:54.693152Z,2024-03-02T16:55:54.693152Z,earthquake,2.717841097,known,./files/mseed/20240302T165442/VL_AGLP_20240302T165442.mseed
usp2024eite,20240302T165442,None,P,VL,CHCR,,HHZ,-19.6133,-43.2403,113.10104475312713,-19.41266667,-44.29683333,2024-03-02T16:55:01.281331Z,2024-03-02T16:54:42.479999Z,2024-03-02T16:54:51.281331Z,2024-03-02T16:55:51.281331Z,earthquake,2.717841097,known,./files/mseed/20240302T165442/VL_CHCR_20240302T165442.mseed
usp2024eite,20240302T165442,None,P,VL,FJAO,,HHZ,-20.1001,-44.1283,78.12275628337642,-19.41266667,-44.29683333,2024-03-02T16:54:55.620474Z,2024-03-02T16:54:42.479999Z,2024-03-02T16:54:45.620474Z,2024-03-02T16:55:45.620474Z,earthquake,2.717841097,known,./files/mseed/20240302T165442/VL_FJAO_20240302T165442.mseed
usp2024dyve,20240226T063440,None,P,BL,FRTB,,HHZ,-23.3439,-49.564,287.5103741185706,-20.90156364,-48.61810684,2024-02-26T06:35:23.053408Z,2024-02-26T06:34:40.071637Z,2024-02-26T06:35:13.053408Z,2024-02-26T06:36:13.053408Z,earthquake,1.858042018,suspected,./files/mseed/20240226T063440/BL_FRTB_20240226T063440.mseed
usp2024dyve,20240226T063440,None,P,BL,ITRB,,HHZ,-19.7042,-50.359,225.01369810199628,-20.90156364,-48.61810684,2024-02-26T06:35:15.274359Z,2024-02-26T06:34:40.071637Z,2024-02-26T06:35:05.274359Z,2024-02-26T06:36:05.274359Z,earthquake,1.858042018,suspected,./files/mseed/20240226T063440/BL_ITRB_20240226T063440.mseed
usp2024dyve,20240226T063440,None,P,BL,BB19B,,HHZ,-21.0662,-48.5279,20.499803681493145,-20.90156364,-48.61810684,2024-02-26T06:34:43.803714Z,2024-02-26T06:34:40.071637Z,2024-02-26T06:34:33.803714Z,2024-02-26T06:35:33.803714Z,earthquake,1.858042018,suspected,./files/mseed/20240226T063440/BL_BB19B_20240226T063440.mseed
usp2024dxus,20240225T171210,None,P,BL,BB19B,,HHZ,-21.0662,-48.5279,12.836548932763492,-21.03433418,-48.64664841,2024-02-25T17:12:12.938553Z,2024-02-25T17:12:10.595783Z,2024-02-25T17:12:02.938553Z,2024-02-25T17:13:02.938553Z,earthquake,1.35116125,suspected,./files/mseed/20240225T171210/BL_BB19B_20240225T171210.mseed
usp2024cypp,20240211T221302,None,P,BL,CANS,,HHZ,-20.2896,-46.3921,258.22954989434066,-20.01290703,-48.84467697,2024-02-11T22:13:42.298794Z,2024-02-11T22:13:02.887000Z,2024-02-11T22:13:32.298794Z,2024-02-11T22:14:32.298794Z,earthquake,2.184808073,suspected,./files/mseed/20240211T221302/BL_CANS_20240211T221302.mseed
usp2024cypp,20240211T221302,None,P,BR,IPMB,,HHZ,-17.982956,-48.211734,234.37319942747598,-20.01290703,-48.84467697,2024-02-11T22:13:39.310815Z,2024-02-11T22:13:02.887000Z,2024-02-11T22:13:29.310815Z,2024-02-11T22:14:29.310815Z,earthquake,2.184808073,suspected,./files/mseed/20240211T221302/BR_IPMB_20240211T221302.mseed
usp2024cypp,20240211T221302,None,P,BL,ITRB,,HHZ,-19.7042,-50.359,162.24969283612953,-20.01290703,-48.84467697,2024-02-11T22:13:29.625641Z,2024-02-11T22:13:02.887000Z,2024-02-11T22:13:19.625641Z,2024-02-11T22:14:19.625641Z,earthquake,2.184808073,suspected,./files/mseed/20240211T221302/BL_ITRB_20240211T221302.mseed
usp2024cypp,20240211T221302,None,P,BL,BB19B,,HHZ,-21.0662,-48.5279,121.2001435481899,-20.01290703,-48.84467697,2024-02-11T22:13:23.417853Z,2024-02-11T22:13:02.887000Z,2024-02-11T22:13:13.417853Z,2024-02-11T22:14:13.417853Z,earthquake,2.184808073,suspected,./files/mseed/20240211T221302/BL_BB19B_20240211T221302.mseed
usp2024ckwu,20240204T095650,None,P,BL,CANS,,HHZ,-20.2896,-46.3921,262.5783432324476,-20.04706192,-48.89081955,2024-02-04T09:57:30.813960Z,2024-02-04T09:56:50.899161Z,2024-02-04T09:57:20.813960Z,2024-02-04T09:58:20.813960Z,earthquake,2.06526827,suspected,./files/mseed/20240204T095650/BL_CANS_20240204T095650.mseed
