Network,Station,Location,Channel,Latitude,Longitude,Elevation,Depth,Azimuth,Dip,SensorDescription,Scale,ScaleFreq,ScaleUnits,SampleRate,StartTime,EndTime
Y4,ADRB,,None,-24.6541,-49.0381,None,0.0,None,None,None,None,None,None,None,None,None
Y4,ADRB,,None,-24.6541,-49.0381,None,0.0,None,None,None,None,None,None,None,None,None
Y4,ADRB,,None,-24.6541,-49.0381,None,0.0,None,None,None,None,None,None,None,None,None
Y4,CAPB,,None,-22.7102,-51.1107,None,0.0,None,None,None,None,None,None,None,None,None
Y4,CAPB,,None,-22.7102,-51.1107,None,0.0,None,None,None,None,None,None,None,None,None
Y4,CAPB,,None,-22.7102,-51.1107,None,0.0,None,None,None,None,None,None,None,None,None
Y4,FORT,,None,-21.44659,-46.82822,None,0.0,None,None,None,None,None,None,None,None,None
Y4,FORT,,None,-21.44659,-46.82822,None,0.0,None,None,None,None,None,None,None,None,None
Y4,FORT,,None,-21.44659,-46.82822,None,0.0,None,None,None,None,None,None,None,None,None
Y4,JUQB,,None,-24.0929,-47.7163,None,0.0,None,None,None,None,None,None,None,None,None
Y4,JUQB,,None,-24.0929,-47.7163,None,0.0,None,None,None,None,None,None,None,None,None
Y4,JUQB,,None,-24.0929,-47.7163,None,0.0,None,None,None,None,None,None,None,None,None
Y4,PSMB,,None,-23.8619,-46.46778,None,0.0,None,None,None,None,None,None,None,None,None
Y4,PSMB,,None,-23.8619,-46.46778,None,0.0,None,None,None,None,None,None,None,None,None
Y4,PSMB,,None,-23.8619,-46.46778,None,0.0,None,None,None,None,None,None,None,None,None
BL,AGVB,,None,-19.7393,-50.233101,None,0.0,None,None,None,None,None,None,None,None,None
BL,AGVB,,None,-19.7393,-50.233101,None,0.0,None,None,None,None,None,None,None,None,None
BL,AGVB,,None,-19.7393,-50.233101,None,0.0,None,None,None,None,None,None,None,None,None
BL,AMBA,,None,-22.92694,-54.9905,None,0.0,None,None,None,None,None,None,None,None,None
BL,AMBA,,None,-22.92694,-54.9905,None,0.0,None,None,None,None,None,None,None,None,None
BL,AMBA,,None,-22.92694,-54.9905,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB,10,None,-18.54711,-52.02507,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB,10,None,-18.54711,-52.02507,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB,10,None,-18.54711,-52.02507,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB,10,None,-18.54711,-52.02507,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB,10,None,-18.54711,-52.02507,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB,10,None,-18.54711,-52.02507,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB,50,None,-18.54711,-52.02507,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB,50,None,-18.54711,-52.02507,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB,50,None,-18.54711,-52.02507,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB,50,None,-18.54711,-52.02507,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB,50,None,-18.54711,-52.02507,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB,50,None,-18.54711,-52.02507,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB2,10,None,-18.50813,-52.07398,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB2,10,None,-18.50813,-52.07398,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB2,10,None,-18.50813,-52.07398,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB2,10,None,-18.50813,-52.07398,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB2,10,None,-18.50813,-52.07398,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB2,10,None,-18.50813,-52.07398,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB2,50,None,-18.50813,-52.07398,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB2,50,None,-18.50813,-52.07398,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB2,50,None,-18.50813,-52.07398,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB2,50,None,-18.50813,-52.07398,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB2,50,None,-18.50813,-52.07398,None,0.0,None,None,None,None,None,None,None,None,None
BL,APOB2,50,None,-18.50813,-52.07398,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,02,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,02,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,02,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,02,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,02,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,02,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,10,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,10,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,10,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,10,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,10,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,10,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,10,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,10,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,10,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,10,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,10,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,10,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,10,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,10,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,10,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,10,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,10,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,10,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,50,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,50,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,50,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,50,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,50,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,50,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,50,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,50,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,50,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,50,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,50,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,50,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,50,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,50,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,50,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,50,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,50,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
BL,AQDA,50,None,-20.48,-55.7,None,0.0,None,None,None,None,None,None,None,None,None
