#Network,Station,Location,Channel,Latitude,Longitude,Elevation,Depth,Azimuth,Dip,SensorDescription,Scale,ScaleFreq,ScaleUnits,SampleRate,StartTime,EndTime
Y4,ADRB,None,HHE,-24.6541,-49.0381,186.0,0.0,90.0,0.0,Trillium 120PA,480400000.0,1.0,M/S,100.0,2013-10-25T11:59:25.9559,2013-11-13T11:11:08.18
Y4,ADRB,None,HHN,-24.6541,-49.0381,186.0,0.0,0.0,0.0,Trillium 120PA,480400000.0,1.0,M/S,100.0,2013-10-25T11:59:25.8659,2013-11-13T11:11:08.54
Y4,ADRB,None,HHZ,-24.6541,-49.0381,186.0,0.0,0.0,-90.0,Trillium 120PA,480400000.0,1.0,M/S,100.0,2013-10-25T11:59:24.1859,2013-11-13T11:11:09.15
Y4,CAPB,None,HHE,-22.7102,-51.1107,329.0,0.0,90.0,0.0,Trillium 120PA,480400000.0,1.0,M/S,100.0,2013-10-13T20:10:27.64,2014-03-22T12:59:55.52
Y4,CAPB,None,HHN,-22.7102,-51.1107,329.0,0.0,0.0,0.0,Trillium 120PA,480400000.0,1.0,M/S,100.0,2013-10-13T20:10:26.1,2014-03-22T12:59:56.04
Y4,CAPB,None,HHZ,-22.7102,-51.1107,329.0,0.0,0.0,-90.0,Trillium 120PA,480400000.0,1.0,M/S,100.0,2013-10-13T20:10:26.7,2014-03-22T12:59:57.74
Y4,FORT,None,HHE,-21.44659,-46.82822,907.0,0.0,90.0,0.0,Trillium 120PA,480400000.0,1.0,M/S,100.0,2013-10-24T20:15:09.6485,2013-11-03T12:46:32.28
Y4,FORT,None,HHN,-21.44659,-46.82822,907.0,0.0,0.0,0.0,Trillium 120PA,480400000.0,1.0,M/S,100.0,2013-10-24T20:15:10.5285,2013-11-03T12:46:31.61
Y4,FORT,None,HHZ,-21.44659,-46.82822,907.0,0.0,0.0,-90.0,Trillium 120PA,480400000.0,1.0,M/S,100.0,2013-10-24T20:15:10.6285,2013-11-03T12:46:31.99
Y4,JUQB,None,HHE,-24.0929,-47.7163,482.0,0.0,90.0,0.0,Trillium 120PA,480400000.0,1.0,M/S,100.0,2013-10-22T14:52:06.29,2013-11-12T12:32:41.35
Y4,JUQB,None,HHN,-24.0929,-47.7163,482.0,0.0,0.0,0.0,Trillium 120PA,480400000.0,1.0,M/S,100.0,2013-10-22T14:52:06.27,2013-11-12T12:32:41.76
Y4,JUQB,None,HHZ,-24.0929,-47.7163,482.0,0.0,0.0,-90.0,Trillium 120PA,480400000.0,1.0,M/S,100.0,2013-10-22T14:52:06.29,2013-11-12T12:32:42.02
Y4,PSMB,None,HHE,-23.8619,-46.46778,731.0,0.0,90.0,0.0,Trillium 120PA,480400000.0,1.0,M/S,100.0,2013-10-24T18:20:57.6261,2013-11-07T13:24:40.82
Y4,PSMB,None,HHN,-23.8619,-46.46778,731.0,0.0,0.0,0.0,Trillium 120PA,480400000.0,1.0,M/S,100.0,2013-10-24T18:20:57.8561,2013-11-07T13:24:41.36
Y4,PSMB,None,HHZ,-23.8619,-46.46778,731.0,0.0,0.0,-90.0,Trillium 120PA,480400000.0,1.0,M/S,100.0,2013-10-24T18:20:57.2461,2013-11-07T13:24:40.97
BL,AGVB,None,BHE,-19.7393,-50.233101,450.0,0.0,90.0,0.0,STS-2,1500000000000.0,1.0,M/S,10.0,1992-11-12T00:00:00,1995-02-12T23:59:59
BL,AGVB,None,BHN,-19.7393,-50.233101,450.0,0.0,0.0,0.0,STS-2,1500000000000.0,1.0,M/S,10.0,1992-11-12T00:00:00,1995-02-12T23:59:59
BL,AGVB,None,BHZ,-19.7393,-50.233101,450.0,0.0,0.0,-90.0,STS-2,1500000000000.0,1.0,M/S,10.0,1992-11-12T00:00:00,1995-02-12T23:59:59
BL,AMBA,None,HHE,-22.92694,-54.9905,330.0,0.0,90.0,0.0,"Trillium 120Q, 120 s, 1202 V/m/s-Centaur, 40 vpp (",481000000.0,1.0,M/S,100.0,2023-09-23T00:00:00,None
BL,AMBA,None,HHN,-22.92694,-54.9905,330.0,0.0,0.0,0.0,"Trillium 120Q, 120 s, 1202 V/m/s-Centaur, 40 vpp (",481000000.0,1.0,M/S,100.0,2023-09-23T00:00:00,None
BL,AMBA,None,HHZ,-22.92694,-54.9905,330.0,0.0,0.0,-90.0,"Trillium 120Q, 120 s, 1202 V/m/s-Centaur, 40 vpp (",481000000.0,1.0,M/S,100.0,2023-09-23T00:00:00,None
BL,APOB,10.0,BHE,-18.54711,-52.02507,580.0,0.0,90.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/10/32),419580000.0,1.0,M/S,10.0,2005-10-26T19:34:44.577,2006-04-27T18:27:53.026
BL,APOB,10.0,BHN,-18.54711,-52.02507,580.0,0.0,0.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/10/32),419580000.0,1.0,M/S,10.0,2005-10-26T19:34:44.577,2006-04-27T18:27:53.026
BL,APOB,10.0,BHZ,-18.54711,-52.02507,580.0,0.0,0.0,-90.0,STS2 G1(ST2G1)/REFTEK(RT16/10/32),419580000.0,1.0,M/S,10.0,2005-10-26T19:34:44.577,2006-04-27T18:27:53.026
BL,APOB,10.0,BLE,-18.54711,-52.02507,580.0,0.0,90.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/10/1),13111900.0,1.0,M/S,10.0,2005-10-30T11:20:32.592,2006-04-27T18:27:53.241
BL,APOB,10.0,BLN,-18.54711,-52.02507,580.0,0.0,0.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/10/1),13111900.0,1.0,M/S,10.0,2005-10-30T11:20:32.592,2006-04-27T18:27:53.241
BL,APOB,10.0,BLZ,-18.54711,-52.02507,580.0,0.0,0.0,-90.0,STS2 G1(ST2G1)/REFTEK(RT16/10/1),13111900.0,1.0,M/S,10.0,2005-10-30T11:20:32.592,2006-04-27T18:27:53.241
BL,APOB,50.0,BHE,-18.54711,-52.02507,580.0,0.0,90.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/50/32),419580000.0,1.0,M/S,50.0,2005-10-26T20:02:40.117,2006-04-27T18:28:05.326
BL,APOB,50.0,BHN,-18.54711,-52.02507,580.0,0.0,0.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/50/32),419580000.0,1.0,M/S,50.0,2005-10-26T20:02:40.117,2006-04-27T18:28:05.326
BL,APOB,50.0,BHZ,-18.54711,-52.02507,580.0,0.0,0.0,-90.0,STS2 G1(ST2G1)/REFTEK(RT16/50/32),419580000.0,1.0,M/S,50.0,2005-10-26T20:02:40.117,2006-04-27T18:28:05.326
BL,APOB,50.0,BLE,-18.54711,-52.02507,580.0,0.0,90.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/50/1),13111900.0,1.0,M/S,50.0,2005-11-17T19:29:59.622,2006-04-25T19:00:06.586
BL,APOB,50.0,BLN,-18.54711,-52.02507,580.0,0.0,0.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/50/1),13111900.0,1.0,M/S,50.0,2005-11-17T19:29:59.622,2006-04-25T19:00:06.586
