Station,Latitude,Longitude
Y4.ADRB,-24.6541,                    -49.0381
Y4.CAPB,-22.7102,                    -51.1107
Y4.FORT,-21.44659,                    -46.82822
Y4.JUQB,-24.0929,                    -47.7163
Y4.PSMB,-23.8619,                    -46.46778
BL.AGVB,-19.7393,                    -50.233101
BL.AMBA,-22.92694,                    -54.9905
BL.APOB,-18.54711,                    -52.02507
BL.APOB2,-18.50813,                    -52.07398
BL.AQDA,-20.48,                    -55.7
BL.AQDB,-20.47579,                    -55.69971
BL.ARCA,-16.8467,                    -41.9597
BL.AREB,-21.3625,                    -46.12336
BL.ATDB,-21.290001,                    -42.8606
BL.BAMB,-20.03976,                    -46.03085
BL.BARB,-21.222,                    -43.800968
BL.BB15B,-21.04133,                    -48.53083
BL.BB16B,-21.03367,                    -48.58567
BL.BB19B,-21.0662,                    -48.5279
BL.BB22B,-21.0541,                    -48.5045
BL.BEB,-1.45034,                    -48.44432
BL.BEB1,-21.058,                    -48.502
BL.BEB10,-21.063,                    -48.52183
BL.BEB11,-21.06867,                    -48.5015
BL.BEB12,-21.06867,                    -48.488
BL.BEB13,-21.04862,                    -48.5645
BL.BEB14,-21.02799,                    -48.5688
BL.BEB15,-21.04133,                    -48.53083
BL.BEB16,-21.03367,                    -48.58567
BL.BEB17,-21.038,                    -48.49433
BL.BEB18,-21.04567,                    -48.55617
BL.BEB19,-21.06633,                    -48.5275
BL.BEB2,-21.04167,                    -48.47867
BL.BEB20,-21.04333,                    -48.50367
BL.BEB21,-21.0365,                    -48.49267
BL.BEB22,-21.054,                    -48.504
BL.BEB3,-21.02483,                    -48.5215
BL.BEB4,-21.0755,                    -48.503
BL.BEB4A,-21.078,                    -48.5145
BL.BEB4B,-21.082,                    -48.50733
BL.BEB6,-21.08617,                    -48.4815
BL.BEB7,-21.06633,                    -48.49883
BL.BEB8,-21.05783,                    -48.50733
BL.BEB9,-21.0685,                    -48.51367
BL.BEB9A,-21.066,                    -48.51333
BL.BEB9B,-21.05983,                    -48.52817
BL.BESB,-6.657,                    -43.558
BL.BRSB,-22.535299,                    -45.5854
BL.BSCB,-20.9984,                    -44.7635
BL.BSFB,-18.83133,                    -40.84653
BL.C2SB,-18.7688,                    -52.8377
BL.CACB,-21.680201,                    -46.732601
BL.CAM1,-22.39778,                    -41.83375
BL.CAM3,-20.7288,                    -40.5222
BL.CAM4,-22.3568,                    -42.5653
BL.CAMB,-21.784,                    -41.429001
BL.CANB,-22.96814,                    -50.37785
BL.CANS,-20.2896,                    -46.3921
BL.CAPB,-22.8125,                    -51.015499
BL.CAUB,-8.17683,                    -36.01017
BL.CCUB,-18.425,                    -51.212
BL.CDCB,-20.2365,                    -44.718201
BL.CDSB,-18.76547,                    -52.83926
BL.CLDB,-10.8732,                    -55.7965
BL.CMPA,-19.57917,                    -54.16883
BL.CNLB,-29.3148,                    -50.8533
BL.COIM,-19.9092,                    -57.7889
BL.COR2,-17.7433,                    -48.6892
BL.CORB,-17.7433,                    -48.6892
BL.CPSB,-30.4123,                    -53.4432
BL.CRJB,-6.1702,                    -50.1546
BL.CRTA,-13.43211,                    -44.58189
BL.CRTB,-13.43211,                    -44.58189
BL.CS6B,-5.49448,                    -38.67087
BL.DIAM,-18.2952,                    -43.6648
BL.ESAR,-23.0207,                    -44.4403
BL.FRMB,-20.4876,                    -45.638901
BL.FRTB,-23.3439,                    -49.564
BL.FURB,-20.6782,                    -46.277901
BL.GNSA,-15.2644,                    -49.0855
BL.GNSB,-15.2644,                    -49.0855
BL.IBIB,-21.777201,                    -48.8139
BL.IBTB,-23.8528,                    -50.2697
BL.IGAB,-23.2524,                    -46.1164
BL.IGCB,-1.1272,                    -47.6085
BL.IPNA,-22.36417,                    -47.71633
BL.IT1,-27.3082,                    -52.3411
BL.ITAB,-27.2349,                    -52.1313
BL.ITPB,-15.9887,                    -39.6282
BL.ITQB,-29.6638,                    -56.6275
BL.ITRB,-19.7042,                    -50.359
BL.JATB,-17.89293,                    -51.49294
BL.JFOB,-21.7278,                    -43.325802
BL.JNRB,-15.46783,                    -44.50517
BL.JUQB,-24.093,                    -47.7163
BL.LDASE,-23.3932,                    -51.1177
BL.MAP01,-20.9472,                    -48.6995
BL.MARB,-24.4521,                    -51.5036
BL.MCI6,-16.80705,                    -43.8933
BL.MCI7,-16.7785,                    -43.8213
BL.MCI8,-16.65967,                    -43.92041
BL.MCI9,-16.69806,                    -43.89328
BL.MURT,-21.6592,                    -57.61
BL.NATB,-21.055,                    -42.004002
BL.NAVB,-21.433599,                    -54.1842
BL.NOVB,-28.6105,                    -49.5582
BL.NUPA,-20.66278,                    -47.68594
BL.NUPB,-20.66278,                    -47.68594
BL.OLIB,-20.879299,                    -48.930599
BL.PACB,-21.6074,                    -51.2618
BL.PARB,-23.3421,                    -45.6246
BL.PAZB,-15.1369,                    -50.8634
BL.PCBA,-22.64483,                    -47.7075
BL.PCMB,-21.6074,                    -51.2619
BL.PDCB,-12.5306,                    -39.1238
BL.PEXB,-12.10584,                    -48.30085
BL.PLTB,-31.76367,                    -53.60445
BL.PMNA,-18.5373,                    -46.438
BL.PMNB,-18.54,                    -46.44
BL.POPB,-22.4565,                    -52.8368
BL.PORB,-13.33043,                    -49.07874
BL.PP1A,-17.6003,                    -54.8796
BL.PP1B,-17.6003,                    -54.8796
BL.PPDB,-22.0326,                    -51.313599
BL.PRB1,-23.361875,                    -45.644806
BL.PRCB,-17.2702,                    -46.81883
BL.PTGB,-24.72095,                    -52.01182
BL.PTMB,-21.4631,                    -57.4756
BL.RCLB,-22.4191,                    -47.531
BL.RIFB,-20.0737,                    -47.5019
BL.ROIB,-24.2955,                    -51.1353
BL.RVDE,-19.0286,                    -54.9389
BL.SICB,-23.62495,                    -49.87701
BL.SJI1,-21.1823,                    -49.1989
BL.SJMB,-18.702916,                    -41.184694
BL.SLMB,-16.5705,                    -50.3455
BL.SNVB,0.9051,                    -51.8771
BL.STMB,-2.7515,                    -54.9572
BL.STP02,-9.775364,                    -56.656485
BL.TLMB,-24.0726,                    -50.6996
BL.TRCB,-22.79461,                    -52.63569
BL.TRIB,-20.67266,                    -51.32581
BL.TRMB,-18.0922,                    -44.929
BL.TRRB,-22.1541,                    -43.195499
BL.TRSB,-4.873,                    -42.7059
BL.UNIA,-16.23217,                    -46.79167
BL.VABB,-23.0021,                    -46.9657
BL.VAO,-23.00213,                    -46.965763
BL.VAO2,-23.2961,                    -46.4026
BL.VAO3,-22.6525,                    -46.4343
BR.AGBLB,-9.03868,                    -37.045358
BR.ARAG,-15.706,                    -51.812
BR.BOAV,2.3953,                    -60.5225
BR.CZSB,-7.7299,                    -72.7049
BR.ETMB,-9.81684,                    -66.21368
BR.IPMB,-17.982956,                    -48.211734
BR.ITTB,-4.3672,                    -55.7343
BR.JAN7,-15.058097,                    -44.311197
BR.JANB,-15.058097,                    -44.311197
BR.LABB,-9.3166,                    -65.6758
BR.MACA,-3.1615,                    -60.6838
BR.MAL2,-2.0184,                    -54.1807
BR.MALB,-1.8529,                    -54.2649
BR.MC01,-16.70744,                    -43.94167
BR.MCPB,-0.3602,                    -52.0567
BR.NPGB,-7.0454,                    -55.3579
BR.NTVD,-11.7105,                    -47.68007
BR.PDRB,-11.612297,                    -56.729597
BR.PRPB,-6.1724,                    -49.815
BR.PTLB,-15.44874,                    -59.13676
BR.ROSB,-2.8967,                    -44.1246
BR.SALB,-15.90118,                    -55.69356
BR.SALV,-15.90118,                    -55.69356
BR.SDBA,-12.4085,                    -44.903
BR.SGC2,-0.1514,                    -66.9776
BR.SGCB,-0.1223,                    -67.0306
BR.SMTB,-8.8617,                    -47.5886
BR.SNDB,-11.9742,                    -51.2943
BR.TBTG,-4.1868,                    -69.909
BR.TEFE,-3.50905,                    -64.6347
BR.TMAB,-2.3704,                    -48.0957
BR.VILB,-12.9528,                    -60.2002
ON.ABR01,-17.96461,                    -38.69586
ON.ALF01,-20.616865,                    -40.725213
ON.ANA01,-14.531001,                    -40.74522
ON.CAJ01,-24.85013,                    -48.24335
ON.CAM01,-21.825656,                    -41.657401
ON.CAR01,-17.06417,                    -41.35397
ON.CMC01,-15.360055,                    -39.519089
