Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
BL|AGVB||BHE|-19.7393|-50.233101|450.0|0.0|90.0|0.0|STS-2|1500000000000.0|1.0|M/S|10.0|1992-11-12T00:00:00|1995-02-12T23:59:59
BL|AGVB||BHN|-19.7393|-50.233101|450.0|0.0|0.0|0.0|STS-2|1500000000000.0|1.0|M/S|10.0|1992-11-12T00:00:00|1995-02-12T23:59:59
BL|AGVB||BHZ|-19.7393|-50.233101|450.0|0.0|0.0|-90.0|STS-2|1500000000000.0|1.0|M/S|10.0|1992-11-12T00:00:00|1995-02-12T23:59:59
BL|AMBA||HHE|-22.92694|-54.9905|330.0|0.0|90.0|0.0|Trillium 120Q, 120 s, 1202 V/m/s-Centaur, 40 vpp (|481000000.0|1.0|M/S|100.0|2023-09-23T00:00:00|
BL|AMBA||HHN|-22.92694|-54.9905|330.0|0.0|0.0|0.0|Trillium 120Q, 120 s, 1202 V/m/s-Centaur, 40 vpp (|481000000.0|1.0|M/S|100.0|2023-09-23T00:00:00|
BL|AMBA||HHZ|-22.92694|-54.9905|330.0|0.0|0.0|-90.0|Trillium 120Q, 120 s, 1202 V/m/s-Centaur, 40 vpp (|481000000.0|1.0|M/S|100.0|2023-09-23T00:00:00|
BL|APOB|10|BHE|-18.54711|-52.02507|580.0|0.0|90.0|0.0|STS2 G1(ST2G1)/REFTEK(RT16/10/32)|419580000.0|1.0|M/S|10.0|2005-10-26T19:34:44.577|2006-04-27T18:27:53.026
BL|APOB|10|BHN|-18.54711|-52.02507|580.0|0.0|0.0|0.0|STS2 G1(ST2G1)/REFTEK(RT16/10/32)|419580000.0|1.0|M/S|10.0|2005-10-26T19:34:44.577|2006-04-27T18:27:53.026
BL|APOB|10|BHZ|-18.54711|-52.02507|580.0|0.0|0.0|-90.0|STS2 G1(ST2G1)/REFTEK(RT16/10/32)|419580000.0|1.0|M/S|10.0|2005-10-26T19:34:44.577|2006-04-27T18:27:53.026
BL|APOB|10|BLE|-18.54711|-52.02507|580.0|0.0|90.0|0.0|STS2 G1(ST2G1)/REFTEK(RT16/10/1)|13111900.0|1.0|M/S|10.0|2005-10-30T11:20:32.592|2006-04-27T18:27:53.241
BL|APOB|10|BLN|-18.54711|-52.02507|580.0|0.0|0.0|0.0|STS2 G1(ST2G1)/REFTEK(RT16/10/1)|13111900.0|1.0|M/S|10.0|2005-10-30T11:20:32.592|2006-04-27T18:27:53.241
BL|APOB|10|BLZ|-18.54711|-52.02507|580.0|0.0|0.0|-90.0|STS2 G1(ST2G1)/REFTEK(RT16/10/1)|13111900.0|1.0|M/S|10.0|2005-10-30T11:20:32.592|2006-04-27T18:27:53.241
BL|APOB|50|BHE|-18.54711|-52.02507|580.0|0.0|90.0|0.0|STS2 G1(ST2G1)/REFTEK(RT16/50/32)|419580000.0|1.0|M/S|50.0|2005-10-26T20:02:40.117|2006-04-27T18:28:05.326
BL|APOB|50|BHN|-18.54711|-52.02507|580.0|0.0|0.0|0.0|STS2 G1(ST2G1)/REFTEK(RT16/50/32)|419580000.0|1.0|M/S|50.0|2005-10-26T20:02:40.117|2006-04-27T18:28:05.326
BL|APOB|50|BHZ|-18.54711|-52.02507|580.0|0.0|0.0|-90.0|STS2 G1(ST2G1)/REFTEK(RT16/50/32)|419580000.0|1.0|M/S|50.0|2005-10-26T20:02:40.117|2006-04-27T18:28:05.326
BL|APOB|50|BLE|-18.54711|-52.02507|580.0|0.0|90.0|0.0|STS2 G1(ST2G1)/REFTEK(RT16/50/1)|13111900.0|1.0|M/S|50.0|2005-11-17T19:29:59.622|2006-04-25T19:00:06.586
BL|APOB|50|BLN|-18.54711|-52.02507|580.0|0.0|0.0|0.0|STS2 G1(ST2G1)/REFTEK(RT16/50/1)|13111900.0|1.0|M/S|50.0|2005-11-17T19:29:59.622|2006-04-25T19:00:06.586
BL|APOB|50|BLZ|-18.54711|-52.02507|580.0|0.0|0.0|-90.0|STS2 G1(ST2G1)/REFTEK(RT16/50/1)|13111900.0|1.0|M/S|50.0|2005-11-17T19:29:59.622|2006-04-25T19:00:06.586
BL|APOB2|10|BHE|-18.50813|-52.07398|657.0|0.0|90.0|0.0|STS2 G1(ST2G1)/REFTEK(RT16/10/32)|419580000.0|1.0|M/S|10.0|2006-05-01T20:30:36.215|2006-09-06T17:56:01.843
BL|APOB2|10|BHN|-18.50813|-52.07398|657.0|0.0|0.0|0.0|STS2 G1(ST2G1)/REFTEK(RT16/10/32)|419580000.0|1.0|M/S|10.0|2006-05-01T20:30:36.215|2006-09-06T17:56:01.843
BL|APOB2|10|BHZ|-18.50813|-52.07398|657.0|0.0|0.0|-90.0|STS2 G1(ST2G1)/REFTEK(RT16/10/32)|419580000.0|1.0|M/S|10.0|2006-05-01T20:30:36.215|2006-09-06T17:56:01.843
BL|APOB2|10|BLE|-18.50813|-52.07398|657.0|0.0|90.0|0.0|STS2 G1(ST2G1)/REFTEK(RT16/10/1)|13111900.0|1.0|M/S|10.0|2006-05-01T23:59:46.031|2006-09-06T17:56:02.058
BL|APOB2|10|BLN|-18.50813|-52.07398|657.0|0.0|0.0|0.0|STS2 G1(ST2G1)/REFTEK(RT16/10/1)|13111900.0|1.0|M/S|10.0|2006-05-01T23:59:46.031|2006-09-06T17:56:02.058
BL|APOB2|10|BLZ|-18.50813|-52.07398|657.0|0.0|0.0|-90.0|STS2 G1(ST2G1)/REFTEK(RT16/10/1)|13111900.0|1.0|M/S|10.0|2006-05-01T23:59:46.031|2006-09-06T17:56:02.058
BL|APOB2|50|BHE|-18.50813|-52.07398|657.0|0.0|90.0|0.0|STS2 G1(ST2G1)/REFTEK(RT16/50/32)|419580000.0|1.0|M/S|50.0|2006-05-01T23:59:58.036|2006-09-06T17:56:10.823
BL|APOB2|50|BHN|-18.50813|-52.07398|657.0|0.0|0.0|0.0|STS2 G1(ST2G1)/REFTEK(RT16/50/32)|419580000.0|1.0|M/S|50.0|2006-05-01T23:59:58.036|2006-09-06T17:56:10.823
BL|APOB2|50|BHZ|-18.50813|-52.07398|657.0|0.0|0.0|-90.0|STS2 G1(ST2G1)/REFTEK(RT16/50/32)|419580000.0|1.0|M/S|50.0|2006-05-01T23:59:58.036|2006-09-06T17:56:10.823
BL|APOB2|50|BLE|-18.50813|-52.07398|657.0|0.0|90.0|0.0|STS2 G1(ST2G1)/REFTEK(RT16/50/1)|13111900.0|1.0|M/S|50.0|2006-05-01T23:59:59.696|2006-08-31T04:40:06.243
BL|APOB2|50|BLN|-18.50813|-52.07398|657.0|0.0|0.0|0.0|STS2 G1(ST2G1)/REFTEK(RT16/50/1)|13111900.0|1.0|M/S|50.0|2006-05-01T23:59:59.696|2006-08-31T04:40:06.243
BL|APOB2|50|BLZ|-18.50813|-52.07398|657.0|0.0|0.0|-90.0|STS2 G1(ST2G1)/REFTEK(RT16/50/1)|13111900.0|1.0|M/S|50.0|2006-05-01T23:59:59.696|2006-08-31T04:40:06.243
BL|AQDA|02|HHE|-20.48|-55.7|155.0|0.0|90.0|0.0|L4C(L4C)/REFTEK(RT24/200/1)|86785600.0|1.0|M/S|200.0|2004-10-19T22:20:00|2005-05-17T14:48:00
BL|AQDA|02|HHN|-20.48|-55.7|155.0|0.0|0.0|0.0|L4C(L4C)/REFTEK(RT24/200/1)|86785600.0|1.0|M/S|200.0|2004-10-19T22:20:00|2005-05-17T14:48:00
BL|AQDA|02|HHZ|-20.48|-55.7|155.0|0.0|0.0|-90.0|L4C(L4C)/REFTEK(RT24/200/1)|86785600.0|1.0|M/S|200.0|2004-10-19T22:20:00|2005-05-17T14:48:00
BL|AQDA|02|SHE|-20.48|-55.7|155.0|0.0|90.0|0.0|L4C(L4C)/REFTEK(RT24/200/1)|86785600.0|1.0|M/S|200.0|2004-10-19T22:20:00|2005-05-17T14:48:00
