#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
ON|ABR01||HHE|-17.96461|-38.69586|38.0|0.0|90.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2014-12-13T00:00:00|
ON|ABR01||HHN|-17.96461|-38.69586|38.0|0.0|0.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2014-12-13T00:00:00|
ON|ABR01||HHZ|-17.96461|-38.69586|38.0|0.0|0.0|-90.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2014-12-13T00:00:00|
ON|ALF01||HHE|-20.616865|-40.725213|22.0|0.0|90.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-08-13T00:00:00|2017-04-03T00:00:00
ON|ALF01||HHE|-20.616865|-40.725213|22.0|0.0|90.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330SR, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2017-04-03T00:00:01|
ON|ALF01||HHN|-20.616865|-40.725213|22.0|0.0|0.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-08-13T00:00:00|2017-04-03T00:00:00
ON|ALF01||HHN|-20.616865|-40.725213|22.0|0.0|0.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330SR, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2017-04-03T00:00:01|
ON|ALF01||HHZ|-20.616865|-40.725213|22.0|0.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-08-13T00:00:00|2017-04-03T00:00:00
ON|ALF01||HHZ|-20.616865|-40.725213|22.0|0.0|0.0|-90.0|STS-2.5, 120s, 1500 V/m/s-Q330SR, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2017-04-03T00:00:01|
ON|ANA01||HHE|-14.531001|-40.74522|740.7|0.0|90.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2018-06-01T00:00:00|
ON|ANA01||HHN|-14.531001|-40.74522|740.7|0.0|0.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2018-06-01T00:00:00|
ON|ANA01||HHZ|-14.531001|-40.74522|740.7|0.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2018-06-01T00:00:00|
ON|CAJ01||HHE|-24.85013|-48.24335|372.0|0.0|90.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330SR, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2019-04-17T00:00:00|
ON|CAJ01||HHN|-24.85013|-48.24335|372.0|0.0|0.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330SR, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2019-04-17T00:00:00|
ON|CAJ01||HHZ|-24.85013|-48.24335|372.0|0.0|0.0|-90.0|STS-2.5, 120s, 1500 V/m/s-Q330SR, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2019-04-17T00:00:00|
ON|CAM01||HH1|-21.825656|-41.657401|31.0|0.0|321.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2011-08-16T00:00:00|2016-12-05T13:00:00
ON|CAM01||HH1|-21.825656|-41.657401|31.0|0.0|0.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2016-12-05T13:00:01|
ON|CAM01||HH2|-21.825656|-41.657401|31.0|0.0|51.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2011-08-16T00:00:00|2016-12-05T13:00:00
ON|CAM01||HH2|-21.825656|-41.657401|31.0|0.0|90.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2016-12-05T13:00:01|
ON|CAM01||HHZ|-21.825656|-41.657401|31.0|0.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2011-08-16T00:00:00|
ON|CAR01||HHE|-17.06417|-41.35397|697.0|0.0|90.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330SR, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2018-07-13T00:00:00|
