#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
Y4|ADRB||HHE|-24.6541|-49.0381|186.0|0.0|90.0|0.0|Trillium 120PA|480400000.0|1.0|M/S|100.0|2013-10-25T11:59:25.9559|2013-11-13T11:11:08.18
Y4|ADRB||HHN|-24.6541|-49.0381|186.0|0.0|0.0|0.0|Trillium 120PA|480400000.0|1.0|M/S|100.0|2013-10-25T11:59:25.8659|2013-11-13T11:11:08.54
Y4|ADRB||HHZ|-24.6541|-49.0381|186.0|0.0|0.0|-90.0|Trillium 120PA|480400000.0|1.0|M/S|100.0|2013-10-25T11:59:24.1859|2013-11-13T11:11:09.15
Y4|CAPB||HHE|-22.7102|-51.1107|329.0|0.0|90.0|0.0|Trillium 120PA|480400000.0|1.0|M/S|100.0|2013-10-13T20:10:27.64|2014-03-22T12:59:55.52
Y4|CAPB||HHN|-22.7102|-51.1107|329.0|0.0|0.0|0.0|Trillium 120PA|480400000.0|1.0|M/S|100.0|2013-10-13T20:10:26.1|2014-03-22T12:59:56.04
Y4|CAPB||HHZ|-22.7102|-51.1107|329.0|0.0|0.0|-90.0|Trillium 120PA|480400000.0|1.0|M/S|100.0|2013-10-13T20:10:26.7|2014-03-22T12:59:57.74
Y4|FORT||HHE|-21.44659|-46.82822|907.0|0.0|90.0|0.0|Trillium 120PA|480400000.0|1.0|M/S|100.0|2013-10-24T20:15:09.6485|2013-11-03T12:46:32.28
Y4|FORT||HHN|-21.44659|-46.82822|907.0|0.0|0.0|0.0|Trillium 120PA|480400000.0|1.0|M/S|100.0|2013-10-24T20:15:10.5285|2013-11-03T12:46:31.61
Y4|FORT||HHZ|-21.44659|-46.82822|907.0|0.0|0.0|-90.0|Trillium 120PA|480400000.0|1.0|M/S|100.0|2013-10-24T20:15:10.6285|2013-11-03T12:46:31.99
Y4|JUQB||HHE|-24.0929|-47.7163|482.0|0.0|90.0|0.0|Trillium 120PA|480400000.0|1.0|M/S|100.0|2013-10-22T14:52:06.29|2013-11-12T12:32:41.35
Y4|JUQB||HHN|-24.0929|-47.7163|482.0|0.0|0.0|0.0|Trillium 120PA|480400000.0|1.0|M/S|100.0|2013-10-22T14:52:06.27|2013-11-12T12:32:41.76
Y4|JUQB||HHZ|-24.0929|-47.7163|482.0|0.0|0.0|-90.0|Trillium 120PA|480400000.0|1.0|M/S|100.0|2013-10-22T14:52:06.29|2013-11-12T12:32:42.02
Y4|PSMB||HHE|-23.8619|-46.46778|731.0|0.0|90.0|0.0|Trillium 120PA|480400000.0|1.0|M/S|100.0|2013-10-24T18:20:57.6261|2013-11-07T13:24:40.82
Y4|PSMB||HHN|-23.8619|-46.46778|731.0|0.0|0.0|0.0|Trillium 120PA|480400000.0|1.0|M/S|100.0|2013-10-24T18:20:57.8561|2013-11-07T13:24:41.36
Y4|PSMB||HHZ|-23.8619|-46.46778|731.0|0.0|0.0|-90.0|Trillium 120PA|480400000.0|1.0|M/S|100.0|2013-10-24T18:20:57.2461|2013-11-07T13:24:40.97
