ID,Error,Pick,Network,Station,Location,Channel,Latitude,Longitude,Distance,Start Time,End Time,Pick Time,Origin Time,Origem Latitude,Origem Longitude,Cat,Stream Count,Hora de Origem (UTC),Folder,MLv,Certainty
usp2019lemc,"pick.phase_hint not in [P, Pg, Pn]",S,ON,SLP01,,HHE,,,,,,,2019-06-08T23:32:24.846403Z,-19.97064018,-44.19019699,,,,,,
usp2019lemc,"pick.phase_hint not in [P, Pg, Pn]",S,BL,SJMB,,HHE,,,,,,,2019-06-08T23:32:24.846403Z,-19.97064018,-44.19019699,,,,,,
usp2019lemc,"pick.phase_hint not in [P, Pg, Pn]",S,ON,MAN01,,HH2,,,,,,,2019-06-08T23:32:24.846403Z,-19.97064018,-44.19019699,,,,,,
usp2019lemc,"pick.phase_hint not in [P, Pg, Pn]",S,ON,DUB01,,HHT,,,,,,,2019-06-08T23:32:24.846403Z,-19.97064018,-44.19019699,,,,,,
usp2019lemc,"pick.phase_hint not in [P, Pg, Pn]",S,BL,PMNB,,HHT,,,,,,,2019-06-08T23:32:24.846403Z,-19.97064018,-44.19019699,,,,,,
usp2019lemc,"pick.phase_hint not in [P, Pg, Pn]",S,BL,CANS,,HHT,,,,,,,2019-06-08T23:32:24.846403Z,-19.97064018,-44.19019699,,,,,,
usp2019lemc,"pick.phase_hint not in [P, Pg, Pn]",S,BL,DIAM,,HHT,,,,,,,2019-06-08T23:32:24.846403Z,-19.97064018,-44.19019699,,,,,,
usp2019lemc,"pick.phase_hint not in [P, Pg, Pn]",S,BL,BSCB,,HHE,,,,,,,2019-06-08T23:32:24.846403Z,-19.97064018,-44.19019699,,,,,,
usp2019nvvm,"pick.phase_hint not in [P, Pg, Pn]",S,BL,CLDB,,HHT,,,,,,,2019-07-16T22:40:43.880790Z,-11.59843636,-56.82671738,,,,,,
usp2019nvvm,"pick.phase_hint not in [P, Pg, Pn]",S,BR,PDRB,,HHT,,,,,,,2019-07-16T22:40:43.880790Z,-11.59843636,-56.82671738,,,,,,
usp2019oqvn,"pick.phase_hint not in [P, Pg, Pn]",S,BR,PDRB,,HHT,,,,,,,2019-07-28T10:33:34.200124Z,-10.93611622,-56.81662369,,,,,,
usp2019oqvn,"pick.phase_hint not in [P, Pg, Pn]",S,BL,CLDB,,HHT,,,,,,,2019-07-28T10:33:34.200124Z,-10.93611622,-56.81662369,,,,,,
usp2019rvwb,dist_km > 400 km,P,BL,SJMB,,HHZ,-18.702916,-41.184694,425.88171970136733,,,,,,,,,,,,
usp2019rvwb,"pick.phase_hint not in [P, Pg, Pn]",S,BL,SJMB,,HHE,,,,,,,2019-09-11T21:07:06.649725Z,-16.21601295,-44.24456787,,,,,,
usp2019rvwb,dist_km > 400 km,P,ON,ANA01,,HHZ,-14.531001,-40.74522,419.39875437972483,,,,,,,,,,,,
usp2019rvwb,"pick.phase_hint not in [P, Pg, Pn]",S,ON,ANA01,,HHE,,,,,,,2019-09-11T21:07:06.649725Z,-16.21601295,-44.24456787,,,,,,
usp2019rvwb,"pick.phase_hint not in [P, Pg, Pn]",S,BL,DIAM,,HHE,,,,,,,2019-09-11T21:07:06.649725Z,-16.21601295,-44.24456787,,,,,,
usp2019rvwb,"pick.phase_hint not in [P, Pg, Pn]",S,BR,JANB,,HHE,,,,,,,2019-09-11T21:07:06.649725Z,-16.21601295,-44.24456787,,,,,,
usp2019vxxz,"pick.phase_hint not in [P, Pg, Pn]",S,BR,SNDB,,HHE,,,,,,,2019-11-08T22:29:39.948410Z,-10.56621552,-48.62162781,,,,,,
usp2019vxxz,"pick.phase_hint not in [P, Pg, Pn]",S,BR,SMTB,,HHE,,,,,,,2019-11-08T22:29:39.948410Z,-10.56621552,-48.62162781,,,,,,
usp2019yked,dist_km > 400 km,P,BR,ARAG,,HHZ,-15.706,-51.812,486.0717652690216,,,,,,,,,,,,
usp2019yked,"pick.phase_hint not in [P, Pg, Pn]",S,BR,ARAG,,HHT,,,,,,,2019-12-14T02:18:46.681210Z,-13.01586628,-48.24888229,,,,,,
usp2019yked,dist_km > 400 km,P,BR,SMTB,,HHZ,-8.8617,-47.5886,465.14299379457896,,,,,,,,,,,,
usp2019yked,"pick.phase_hint not in [P, Pg, Pn]",S,BR,SMTB,,HHT,,,,,,,2019-12-14T02:18:46.681210Z,-13.01586628,-48.24888229,,,,,,
usp2019yked,"pick.phase_hint not in [P, Pg, Pn]",S,BR,SDBA,,HHT,,,,,,,2019-12-14T02:18:46.681210Z,-13.01586628,-48.24888229,,,,,,
usp2019yked,"pick.phase_hint not in [P, Pg, Pn]",S,BR,SNDB,,HHT,,,,,,,2019-12-14T02:18:46.681210Z,-13.01586628,-48.24888229,,,,,,
usp2020azmg,"pick.phase_hint not in [P, Pg, Pn]",S,BR,PDRB,,HHT,,,,,,,2020-01-14T22:34:46.671575Z,-8.775162697,-57.10798264,,,,,,
usp2020azmg,"pick.phase_hint not in [P, Pg, Pn]",S,BL,CLDB,,HHT,,,,,,,2020-01-14T22:34:46.671575Z,-8.775162697,-57.10798264,,,,,,
usp2020azmg,"pick.phase_hint not in [P, Pg, Pn]",S,BR,NPGB,,HHT,,,,,,,2020-01-14T22:34:46.671575Z,-8.775162697,-57.10798264,,,,,,
usp2020bkhq,"pick.phase_hint not in [P, Pg, Pn]",S,BR,ARAG,,HHT,,,,,,,2020-01-20T20:44:38.625033Z,-11.40318108,-47.48075485,,,,,,
usp2020bkhq,dist_km > 400 km,P,BR,SNDB,,HHZ,-11.9742,-51.2943,420.5414429840813,,,,,,,,,,,,
usp2020bkhq,"pick.phase_hint not in [P, Pg, Pn]",S,BR,SNDB,,HHT,,,,,,,2020-01-20T20:44:38.625033Z,-11.40318108,-47.48075485,,,,,,
usp2020bkhq,"pick.phase_hint not in [P, Pg, Pn]",S,BR,SDBA,,HHT,,,,,,,2020-01-20T20:44:38.625033Z,-11.40318108,-47.48075485,,,,,,
usp2020bkhq,"pick.phase_hint not in [P, Pg, Pn]",S,BR,SMTB,,HHT,,,,,,,2020-01-20T20:44:38.625033Z,-11.40318108,-47.48075485,,,,,,
usp2020brmm,"pick.phase_hint not in [P, Pg, Pn]",S,BR,IPMB,,HHT,,,,,,,2020-01-24T19:08:37.891916Z,-21.08305359,-48.66433334,,,,,,
usp2020brmm,"pick.phase_hint not in [P, Pg, Pn]",S,BL,ITRB,,HHT,,,,,,,2020-01-24T19:08:37.891916Z,-21.08305359,-48.66433334,,,,,,
usp2020brmm,"pick.phase_hint not in [P, Pg, Pn]",S,BL,RCLB,,HHT,,,,,,,2020-01-24T19:08:37.891916Z,-21.08305359,-48.66433334,,,,,,
