file_name,station,label_cat,prob_nat,prob_ant,pred,nature,ID,Event,Error,Pick,Network,Station,Location,Channel,Latitude,Longitude,Distance,Origem Latitude,Origem Longitude,Pick Time,Origin Time,Start Time,End Time,Cat,MLv,Certainty,Path
BL_BB19B_20140409T204940,BB19B,0,0.844,0.156,0,Natural,usp2014gyqn,20140409T204940,,P,BL,BB19B,,HHZ,-21.0662,-48.5279,0.4739622562125565,-21.07,-48.53,2014-04-09T20:49:43.974670Z,2014-04-09T20:49:40.000000Z,2014-04-09T20:49:33.974670Z,2014-04-09T20:50:33.974670Z,earthquake,,known,./files/mseed/20140409T204940/BL_BB19B_20140409T204940.mseed
BR_PDRB_20200415T144020,PDRB,0,0.936,0.064,0,Natural,usp2020hkyw,20200415T144020,,P,BR,PDRB,,HHZ,-11.612297,-56.729597,0.2293445910439172,-11.6123,-56.7317,2020-04-15T14:40:19.978417Z,2020-04-15T14:40:20.000000Z,2020-04-15T14:40:09.978417Z,2020-04-15T14:41:09.978417Z,earthquake,0.1755230295,suspected,./files/mseed/20200415T144020/BR_PDRB_20200415T144020.mseed
NB_NBMO_20220404T150742,NBMO,0,0.015,0.985,1,Anthropogenic,usp2022gpbs,20220404T150742,,P,NB,NBMO,,HHZ,-3.310348,-40.042927,0.6296512501624295,-3.3116,-40.0374,2022-04-04T15:07:54.334523Z,2022-04-04T15:07:42.000000Z,2022-04-04T15:07:44.334523Z,2022-04-04T15:08:44.334523Z,earthquake,0.2756655954,suspected,./files/mseed/20220404T150742/NB_NBMO_20220404T150742.mseed
BR_NPGB_20140719T173030,NPGB,0,0.02,0.98,1,Anthropogenic,usp2014oaxt,20140719T173030,,P,BR,NPGB,,HHZ,-7.0454,-55.3579,0.7840549447308719,-7.05,-55.3633,2014-07-19T17:41:08.185058Z,2014-07-19T17:30:30.000000Z,2014-07-19T17:40:58.185058Z,2014-07-19T17:41:58.185058Z,earthquake,0.4860355302,suspected,./files/mseed/20140719T173030/BR_NPGB_20140719T173030.mseed
BX_LDASE_20190219T170854,LDASE,0,0.184,0.816,1,Anthropogenic,usp2019dmvk,20190219T170854,,P,BX,LDASE,,HHZ,-23.3932,-51.1177,11.366728946851753,-23.3238,-51.1996,2019-02-19T17:08:54.749695Z,2019-02-19T17:08:54.000000Z,2019-02-19T17:08:44.749695Z,2019-02-19T17:09:44.749695Z,earthquake,0.5814063249,suspected,./files/mseed/20190219T170854/BX_LDASE_20190219T170854.mseed
ON_CAM01_20140529T145830,CAM01,0,0.439,0.561,1,Anthropogenic,usp2014kloc,20140529T145830,,P,ON,CAM01,,HHZ,-21.825656,-41.657401,2.4514531673196425,-21.8477,-41.6596,2014-05-29T14:58:33.841855Z,2014-05-29T14:58:30.000000Z,2014-05-29T14:58:23.841855Z,2014-05-29T14:59:23.841855Z,earthquake,0.7314322965,suspected,./files/mseed/20140529T145830/ON_CAM01_20140529T145830.mseed
NB_NBPA_20150203T153035,NBPA,0,0.742,0.258,0,Natural,usp2015cjmh,20150203T153035,,P,NB,NBPA,,HHZ,-5.75028,-37.112047,313.89829803256146,-8.358922005,-35.99222565,2015-02-03T15:31:21.921630Z,2015-02-03T15:30:35.694424Z,2015-02-03T15:31:11.921630Z,2015-02-03T15:32:11.921630Z,earthquake,0.744217381,suspected,./files/mseed/20150203T153035/NB_NBPA_20150203T153035.mseed
NB_NBRF_20150203T153035,NBRF,0,0.308,0.692,1,Anthropogenic,usp2015cjmh,20150203T153035,,P,NB,NBRF,,HHZ,-8.679466,-35.127172,101.62578000652093,-8.358922005,-35.99222565,2015-02-03T15:30:53.728118Z,2015-02-03T15:30:35.694424Z,2015-02-03T15:30:43.728118Z,2015-02-03T15:31:43.728118Z,earthquake,0.744217381,suspected,./files/mseed/20150203T153035/NB_NBRF_20150203T153035.mseed
NB_NBLI_20150203T153035,NBLI,0,0.999,0.001,0,Natural,usp2015cjmh,20150203T153035,,P,NB,NBLI,,HHZ,-7.364556,-36.949743,152.4593972818572,-8.358922005,-35.99222565,2015-02-03T15:31:00.986785Z,2015-02-03T15:30:35.694424Z,2015-02-03T15:30:50.986785Z,2015-02-03T15:31:50.986785Z,earthquake,0.744217381,suspected,./files/mseed/20150203T153035/NB_NBLI_20150203T153035.mseed
BL_AQDB_20160324T144815,AQDB,0,0.008,0.992,1,Anthropogenic,usp2016fwub,20160324T144815,,P,BL,AQDB,,HHZ,-20.47579,-55.69971,0.4812422953630468,-20.4778,-55.7038,2016-03-24T14:48:22.856567Z,2016-03-24T14:48:15.000000Z,2016-03-24T14:48:12.856567Z,2016-03-24T14:49:12.856567Z,earthquake,0.6683768326,known,./files/mseed/20160324T144815/BL_AQDB_20160324T144815.mseed
BR_SALV_20140606T154844,SALV,0,0.008,0.992,1,Anthropogenic,usp2014lafu,20140606T154844,,P,BR,SALV,,HHZ,-15.90118,-55.69356,14.372433624726874,-15.8001,-55.6093,2014-06-06T15:48:46.902175Z,2014-06-06T15:48:44.000000Z,2014-06-06T15:48:36.902175Z,2014-06-06T15:49:36.902175Z,earthquake,0.7576297893,suspected,./files/mseed/20140606T154844/BR_SALV_20140606T154844.mseed
BX_LDASE_20160119T112609,LDASE,0,0.851,0.149,0,Natural,usp2016bhtr,20160119T112609,,P,BX,LDASE,,HHZ,-23.3932,-51.1177,8.12081034713908,-23.33683333,-51.1685,2016-01-19T11:26:10.804312Z,2016-01-19T11:26:09.439999Z,2016-01-19T11:26:00.804312Z,2016-01-19T11:27:00.804312Z,earthquake,0.9190319765,known,./files/mseed/20160119T112609/BX_LDASE_20160119T112609.mseed
BL_BSCB_20140529T122054,BSCB,0,0.974,0.026,0,Natural,usp2014klix,20140529T122054,,P,BL,BSCB,,HHZ,-20.9984,-44.7635,12.685817125324002,-21.0654,-44.6645,2014-05-29T12:20:54.972869Z,2014-05-29T12:20:54.000000Z,2014-05-29T12:20:44.972869Z,2014-05-29T12:21:44.972869Z,earthquake,0.9599788345,suspected,./files/mseed/20140529T122054/BL_BSCB_20140529T122054.mseed
BR_ARAG_20170327T123315,ARAG,0,0.998,0.002,0,Natural,usp2017gagp,20170327T123315,,P,BR,ARAG,,HHZ,-15.706,-51.812,0.5460885214791668,-15.7103,-51.8145,2017-03-27T12:33:18.616333Z,2017-03-27T12:33:15.000000Z,2017-03-27T12:33:08.616333Z,2017-03-27T12:34:08.616333Z,earthquake,0.9569881438,suspected,./files/mseed/20170327T123315/BR_ARAG_20170327T123315.mseed
ON_VAS01_20180813T185054,VAS01,0,0.328,0.672,1,Anthropogenic,usp2018purz,20180813T185054,,P,ON,VAS01,,HHZ,-22.280081,-43.442624,90.20004123210062,-22.87168121,-44.04551697,2018-08-13T18:51:10.501556Z,2018-08-13T18:50:54.897879Z,2018-08-13T18:51:00.501556Z,2018-08-13T18:52:00.501556Z,earthquake,0.9631136714,known,./files/mseed/20180813T185054/ON_VAS01_20180813T185054.mseed
ON_CAM01_20180813T185054,CAM01,0,0.825,0.175,0,Natural,usp2018purz,20180813T185054,,P,ON,CAM01,,HHZ,-21.825656,-41.657401,271.89432622783943,-22.87168121,-44.04551697,2018-08-13T18:50:53.356276Z,2018-08-13T18:50:54.897879Z,2018-08-13T18:50:43.356276Z,2018-08-13T18:51:43.356276Z,earthquake,0.9631136714,known,./files/mseed/20180813T185054/ON_CAM01_20180813T185054.mseed
ON_MAN01_20180813T185054,MAN01,0,0.953,0.047,0,Natural,usp2018purz,20180813T185054,,P,ON,MAN01,,HHZ,-22.86516,-43.964094,8.386908422397308,-22.87168121,-44.04551697,2018-08-13T18:50:56.453156Z,2018-08-13T18:50:54.897879Z,2018-08-13T18:50:46.453156Z,2018-08-13T18:51:46.453156Z,earthquake,0.9631136714,known,./files/mseed/20180813T185054/ON_MAN01_20180813T185054.mseed
BR_ETMB_20150216T212501,ETMB,0,0.016,0.984,1,Anthropogenic,usp2015dhro,20150216T212501,,P,BR,ETMB,,HHZ,-9.81684,-66.21368,76.81607712989452,-9.394335747,-65.65827179,2015-02-16T21:25:14.444272Z,2015-02-16T21:25:01.201290Z,2015-02-16T21:25:04.444272Z,2015-02-16T21:26:04.444272Z,earthquake,1.092194925,known,./files/mseed/20150216T212501/BR_ETMB_20150216T212501.mseed
BX_LDASE_20180121T173624,LDASE,0,0.953,0.047,0,Natural,usp2018blwx,20180121T173624,,P,BX,LDASE,,HHZ,-23.3932,-51.1177,8.7493576732006,-23.354,-51.192,2018-01-21T17:36:26.216953Z,2018-01-21T17:36:24.000000Z,2018-01-21T17:36:16.216953Z,2018-01-21T17:37:16.216953Z,earthquake,1.123122719,known,./files/mseed/20180121T173624/BX_LDASE_20180121T173624.mseed
BR_PDRB_20180601T184528,PDRB,0,0.797,0.203,0,Natural,usp2018kric,20180601T184528,,P,BR,PDRB,,HHZ,-11.612297,-56.729597,0.7488490839993024,-11.6056,-56.7306,2018-06-01T18:46:28.160957Z,2018-06-01T18:45:28.000000Z,2018-06-01T18:46:18.160957Z,2018-06-01T18:47:18.160957Z,earthquake,1.119705585,known,./files/mseed/20180601T184528/BR_PDRB_20180601T184528.mseed
NB_NBAN_20181017T201145,NBAN,0,0.049,0.951,1,Anthropogenic,usp2018ujoj,20181017T201145,,P,NB,NBAN,,HHZ,-9.668656,-36.274726,90.04971921888213,-8.854492188,-36.2779808,2018-10-17T20:12:01.577820Z,2018-10-17T20:11:45.979450Z,2018-10-17T20:11:51.577820Z,2018-10-17T20:12:51.577820Z,earthquake,1.062365912,suspected,./files/mseed/20181017T201145/NB_NBAN_20181017T201145.mseed
