Event,Station,file_name,station,label_cat,prob_nat,prob_ant,pred,nature,ID,Error,Pick,Network,Location,Channel,Latitude,Longitude,Distance,Origem Latitude,Origem Longitude,Pick Time,Origin Time,Start Time,End Time,Cat,MLv,Certainty,Path,Hora,SNR_P,Noise,p,SNR_P_cat,prob_nat_cat,Distance_cat,Magnitude_cat,Cat Hora,Num_Estacoes
20120122T071034,PEXB,BL_PEXB_20120122T071034,PEXB,0,0.987,0.013,0,Natural,usp2012bmxt,,P,BL,,HHZ,-12.10584,-48.30085,200.2207626790815,-13.79467964,-48.9642067,2012-01-22T07:11:06.883163Z,2012-01-22T07:10:34.672572Z,2012-01-22T07:10:56.883163Z,2012-01-22T07:11:56.883163Z,earthquake,3.040306742,known,./files/mseed/20120122T071034/BL_PEXB_20120122T071034.mseed,7,14.980754792794066,6.423144070746887,96.22354632264822,[9-15[,>=0.9,[200-250[,>=3,7,1
20120124T044152,NBCL,NB_NBCL_20120124T044152,NBCL,0,1.0,0.0,0,Natural,usp2012bqjw,,P,NB,,HHZ,-4.224377,-38.291041,255.53729100794988,-3.604427576,-40.50757217,2012-01-24T04:42:29.833709Z,2012-01-24T04:41:52.047056Z,2012-01-24T04:42:19.833709Z,2012-01-24T04:43:19.833709Z,earthquake,1.618614238,known,./files/mseed/20120124T044152/NB_NBCL_20120124T044152.mseed,4,1.6892848214849647,79.25696784611615,133.88759277936592,[0-3[,>=0.9,[250-300[,[1-2[,4,3
20120124T044152,NBMO,NB_NBMO_20120124T044152,NBMO,0,0.997,0.003,0,Natural,usp2012bqjw,,P,NB,,HHZ,-3.310348,-40.042927,61.017880699636095,-3.604427576,-40.50757217,2012-01-24T04:42:02.644592Z,2012-01-24T04:41:52.047056Z,2012-01-24T04:41:52.644592Z,2012-01-24T04:42:52.644592Z,earthquake,1.618614238,known,./files/mseed/20120124T044152/NB_NBMO_20120124T044152.mseed,4,30.893452676532004,51.09441068121379,1578.4827584153695,>= 15,>=0.9,[50-100[,[1-2[,4,3
20120124T044152,NBPS,NB_NBPS_20120124T044152,NBPS,0,0.992,0.008,0,Natural,usp2012bqjw,,P,NB,,HHZ,-4.393969,-41.445618,135.91841239472657,-3.604427576,-40.50757217,2012-01-24T04:42:14.840240Z,2012-01-24T04:41:52.047056Z,2012-01-24T04:42:04.840240Z,2012-01-24T04:43:04.840240Z,earthquake,1.618614238,known,./files/mseed/20120124T044152/NB_NBPS_20120124T044152.mseed,4,36.6900905740269,67.55524929032728,2478.6082152130743,>= 15,>=0.9,[100-150[,[1-2[,4,3
20120217T071112,NBCL,NB_NBCL_20120217T071112,NBCL,0,0.942,0.058,0,Natural,usp2012dikw,,P,NB,,HHZ,-4.224377,-38.291041,336.8739443668028,-3.154339075,-41.13030624,2012-02-17T07:12:01.606658Z,2012-02-17T07:11:12.441178Z,2012-02-17T07:11:51.606658Z,2012-02-17T07:12:51.606658Z,earthquake,2.346405154,known,./files/mseed/20120217T071112/NB_NBCL_20120217T071112.mseed,7,4.74487872252848,64.6715782621889,306.85879564859545,[3-9[,>=0.9,>=300,[2-3[,7,4
20120217T071112,NBMO,NB_NBMO_20120217T071112,NBMO,0,0.9,0.1,0,Natural,usp2012dikw,,P,NB,,HHZ,-3.310348,-40.042927,122.0801950992448,-3.154339075,-41.13030624,2012-02-17T07:11:33.520782Z,2012-02-17T07:11:12.441178Z,2012-02-17T07:11:23.520782Z,2012-02-17T07:12:23.520782Z,earthquake,2.346405154,known,./files/mseed/20120217T071112/NB_NBMO_20120217T071112.mseed,7,262.6140922671346,32.86753241214909,8631.477189477158,>= 15,>=0.9,[100-150[,[2-3[,7,4
20120217T071112,NBPB,NB_NBPB_20120217T071112,NBPB,0,1.0,0.0,0,Natural,usp2012dikw,,P,NB,,HHZ,-5.543242,-39.583619,315.047934183832,-3.154339075,-41.13030624,2012-02-17T07:12:03.830566Z,2012-02-17T07:11:12.441178Z,2012-02-17T07:11:53.830566Z,2012-02-17T07:12:53.830566Z,earthquake,2.346405154,known,./files/mseed/20120217T071112/NB_NBPB_20120217T071112.mseed,7,3.3772938377228265,66.62682508944965,225.01836580163493,[3-9[,>=0.9,>=300,[2-3[,7,4
20120217T071112,NBPS,NB_NBPS_20120217T071112,NBPS,0,0.971,0.029,0,Natural,usp2012dikw,,P,NB,,HHZ,-4.393969,-41.445618,141.4808884017707,-3.154339075,-41.13030624,2012-02-17T07:11:35.529479Z,2012-02-17T07:11:12.441178Z,2012-02-17T07:11:25.529479Z,2012-02-17T07:12:25.529479Z,earthquake,2.346405154,known,./files/mseed/20120217T071112/NB_NBPS_20120217T071112.mseed,7,103.15710312973691,55.38283808091448,5713.133139530416,>= 15,>=0.9,[100-150[,[2-3[,7,4
20120221T063526,BSCB,BL_BSCB_20120221T063526,BSCB,0,0.992,0.008,0,Natural,bsb20120221063625,,P,BL,,HHZ,-20.9984,-44.7635,284.6994950894399,-23.48016167,-45.48500061,2012-02-21T06:36:09.269496Z,2012-02-21T06:35:26.308713Z,2012-02-21T06:35:59.269496Z,2012-02-21T06:36:59.269496Z,earthquake,3.072478086,suspected,./files/mseed/20120221T063526/BL_BSCB_20120221T063526.mseed,6,6.344070217790143,5.445533546129715,34.54684718997867,[3-9[,>=0.9,[250-300[,>=3,6,9
20120221T063526,DUB01,ON_DUB01_20120221T063526,DUB01,0,0.773,0.227,0,Natural,bsb20120221063625,,P,ON,,HHZ,-22.080966,-42.374182,355.02226478660333,-23.48016167,-45.48500061,2012-02-21T06:36:17.565151Z,2012-02-21T06:35:26.308713Z,2012-02-21T06:36:07.565151Z,2012-02-21T06:37:07.565151Z,earthquake,3.072478086,suspected,./files/mseed/20120221T063526/ON_DUB01_20120221T063526.mseed,6,2.0585249436596698,3.463814720898424,7.130349003184962,[0-3[,[0.6-0.8[,>=300,>=3,6,9
