EventID,Time,Depth/km,Author,Contributor,MagType,Magnitude,MagAuthor,EventLocationName,EventType,sigla,geometry
usp2024irzo,2024-05-03 16:30:44.333728,0.0,jroberto,USP,MLv,2.009864847,jroberto,Capim Branco/MG,earthquake,SE,POINT (-44.113544 -19.603025)
usp2024inou,2024-05-01 06:31:59.533132,0.0,jroberto,USP,mR,1.638432103,jroberto,Lagoa Santa/MG,earthquake,SE,POINT (-43.925129 -19.526876)
usp2024iavj,2024-04-24 07:04:42.820000,0.0,marcelo,USP,mR,3.164180377,marcelo,Ribeirao Cascalheira/MT,earthquake,CO,POINT (-52.110167 -12.858167)
usp2024hxyq,2024-04-22 17:19:45.740000,0.0,marcelo,USP,mR,2.780063978,marcelo,Lagoa Santa/MG,earthquake,SE,POINT (-43.806667 -19.653667)
usp2024hkcw,2024-04-15 03:33:54.810000,0.0,marcelo,USP,mR,1.942907082,marcelo,Matozinhos/MG,earthquake,SE,POINT (-44.063167 -19.528167)
usp2024hdrj,2024-04-11 14:56:09.736649,0.0,jroberto,USP,mR,2.829316768,jroberto,Pains/MG,earthquake,SE,POINT (-45.614407 -20.403524)
usp2024gwfi,2024-04-07 12:53:30.526598,0.0,jroberto,USP,mR,2.580606343,jroberto,Frutal/MG,earthquake,SE,POINT (-48.746529 -20.001778)
usp2024gvxw,2024-04-07 09:10:08.449999,0.0,marcelo,USP,mR,1.756631475,marcelo,Reg. de Sete Lagoas/MG,earthquake,SE,POINT (-44.256667 -19.5075)
usp2024gnqw,2024-04-02 20:30:43.486572,0.0,bruno,USP,mR,2.122416646,bruno,Sao Leopoldo/RS,earthquake,S,POINT (-51.05825 -29.774883)
usp2024gddh,2024-03-28 02:16:41.854985,0.0,cleusa,USP,mR,2.379672922,cleusa,Frutal/MG,earthquake,SE,POINT (-48.739967 -20.013845)
usp2024gdda,2024-03-28 02:09:23.888820,0.0,cleusa,USP,mR,2.573439944,cleusa,Frutal/MG,earthquake,SE,POINT (-48.788769 -20.01383)
usp2024gcfo,2024-03-27 14:16:13.255037,12.0,cleusa,USP,mb,4.972154046,cleusa,Peru-Brazil Border Region,earthquake,N,POINT (-72.573738 -8.545312)
usp2024gaxb,2024-03-26 20:51:53.155307,0.0,jroberto,USP,mR,2.097029106,jroberto,Uberaba/MG,earthquake,SE,POINT (-47.891453 -19.660812)
usp2024feuf,2024-03-14 18:26:11.855971,0.0,jroberto,USP,mR,2.592517891,jroberto,Nova Ponte/MG,earthquake,SE,POINT (-47.705761 -19.476217)
usp2024fdvr,2024-03-14 06:01:59.140000,0.0,marcelo,USP,mR,2.678168376,marcelo,Frutal/MG,earthquake,SE,POINT (-48.786667 -20.0025)
usp2024emkb,2024-03-04 16:51:17.510000,0.0,marcelo,USP,mR,2.287295943,marcelo,Sete Lagoas/MG,earthquake,SE,POINT (-44.223667 -19.525167)
usp2024eite,2024-03-02 16:54:42.479999,0.0,marcelo,USP,mR,2.717841097,marcelo,Sete Lagoas/MG,earthquake,SE,POINT (-44.296833 -19.412667)
usp2024efer,2024-02-29 18:10:36.472515,0.0,jroberto,USP,MLv,2.644839305,jroberto,Tabapora/MT,earthquake,CO,POINT (-56.615166 -10.289637)
usp2024dyve,2024-02-26 06:34:40.071637,0.0,jroberto,USP,MLv,1.858042018,jroberto,Monte Azul Paulista/SP,earthquake,SE,POINT (-48.618107 -20.901564)
usp2024dyhr,2024-02-25 23:44:31.917253,0.0,jroberto,USP,mR,2.102924911,jroberto,Frutal/MG,earthquake,SE,POINT (-48.783352 -20.007149)
usp2024dxus,2024-02-25 17:12:10.595783,0.0,jroberto,USP,MLv,1.35116125,jroberto,Frutal/MG,earthquake,SE,POINT (-48.646648 -21.034334)
usp2024duej,2024-02-23 17:32:28.894584,0.0,jroberto,USP,mR,2.510931748,jroberto,Frutal/MG,earthquake,SE,POINT (-48.789135 -20.001232)
usp2024dtop,2024-02-23 09:33:48.464197,0.0,jroberto,USP,mR,2.701124354,jroberto,Novo Sao Joaquim/MT,earthquake,CO,POINT (-52.939541 -14.923858)
usp2024dnyp,2024-02-20 07:48:41.519711,0.0,jroberto,USP,mR,2.9422201,jroberto,Bonopolis/GO,earthquake,CO,POINT (-49.651703 -13.613049)
usp2024dadj,2024-02-12 18:18:14.979331,0.0,jroberto,USP,mR,2.621127907,jroberto,Paracatu/MG,earthquake,SE,POINT (-46.848301 -17.011255)
usp2024cypp,2024-02-11 22:13:02.887000,0.0,jroberto,USP,mR,2.184808073,jroberto,Frutal/MG,earthquake,SE,POINT (-48.844677 -20.012907)
usp2024cxhs,2024-02-11 05:05:51.864122,0.0,bruno,USP,mR,2.668086608,bruno,Amargosa/BA,earthquake,NE,POINT (-39.584763 -12.973584)
usp2024cwfw,2024-02-10 15:02:09.886531,0.0,jroberto,USP,mR,2.341980463,jroberto,Cabeceira Grande/MG,earthquake,SE,POINT (-47.222137 -16.131454)
usp2024cuux,2024-02-09 20:20:51.979009,0.0,jroberto,USP,mR,2.279396225,jroberto,Maracas/BA,earthquake,NE,POINT (-40.668724 -13.611047)
usp2024cpeh,2024-02-06 18:16:58.160439,0.0,jroberto,USP,mR,2.313058186,jroberto,Itagiba/BA,earthquake,NE,POINT (-39.819138 -14.264158)
usp2024ckwu,2024-02-04 09:56:50.899161,0.0,jroberto,USP,mR,2.06526827,jroberto,Frutal/MG,earthquake,SE,POINT (-48.89082 -20.047062)
usp2024chaj,2024-02-02 07:12:45.474710,0.0,jroberto,USP,MLv,2.071983045,jroberto,Irai de Minas/MG,earthquake,SE,POINT (-47.393284 -19.060633)
usp2024cgyk,2024-02-02 06:12:37.906624,0.0,jroberto,USP,mR,2.063511759,jroberto,Frutal/MG,earthquake,SE,POINT (-48.786629 -19.994328)
usp2024cfxj,2024-02-01 16:33:09.782793,0.0,jroberto,USP,mR,2.44479823,jroberto,Campo Formoso/BA,earthquake,NE,POINT (-40.480911 -10.565859)
usp2024cehb,2024-01-31 19:11:14.866993,0.0,jroberto,USP,mR,2.612014956,jroberto,Irai de Minas/MG,earthquake,SE,POINT (-47.578106 -19.045553)
usp2024cbde,2024-01-30 01:48:53.031940,0.0,bruno,USP,mR,2.32854282,bruno,Paraibuna/SP,earthquake,SE,POINT (-45.671806 -23.32666)
usp2024carh,2024-01-29 19:48:05.798633,0.0,jroberto,USP,mR,2.270587219,jroberto,Messias/AL,earthquake,NE,POINT (-35.907852 -9.381844)
usp2024bybr,2024-01-28 09:38:59.367085,651.7073364,bruno,USP,mb,6.242767095,bruno,Western Brazil,earthquake,N,POINT (-71.257225 -8.438579)
usp2024bxfv,2024-01-27 22:35:58.937311,0.0,jroberto,USP,mR,2.136080906,jroberto,Frutal/MG,earthquake,SE,POINT (-48.855469 -20.01206)
usp2024boap,2024-01-22 21:43:14.495395,0.1000000015,bruno,USP,mR,1.939042373,bruno,Virmond/PR,earthquake,S,POINT (-52.276772 -25.327312)
usp2024bmay,2024-01-21 19:38:51.277599,0.0,jroberto,USP,mR,2.265549166,jroberto,Tejucuoca/CE,earthquake,NE,POINT (-39.542702 -3.998167)
usp2024bkjd,2024-01-20 21:31:07.317161,638.135376,bruno,USP,Mw(mB),6.604847245,bruno,Western Brazil,earthquake,N,POINT (-71.527695 -7.414479)
usp2024bchq,2024-01-16 11:40:26.488112,0.0,bruno,USP,mR,2.290991204,bruno,Sete Lagoas/MG,earthquake,SE,POINT (-44.303982 -19.582766)
usp2024bbzt,2024-01-16 07:41:07.057028,0.0,bruno,USP,mR,2.431861416,bruno,Sete Lagoas/MG,earthquake,SE,POINT (-44.230625 -19.532042)
usp2024bbvi,2024-01-16 05:26:39.407604,0.0,bruno,USP,mR,2.72043598,bruno,Sete Lagoas/MG,earthquake,SE,POINT (-44.22263 -19.513968)
usp2024bbax,2024-01-15 19:07:49.792795,0.0,jroberto,USP,mR,2.205354648,jroberto,Paracatu/MG,earthquake,SE,POINT (-46.938343 -17.183681)
usp2024azns,2024-01-14 23:19:31.300000,0.0,marcelo,USP,mR,2.30527597,marcelo,Sete Lagoas/MG,earthquake,SE,POINT (-44.225333 -19.526833)
usp2024avgb,2024-01-12 14:54:31.818130,0.0,jroberto,USP,mR,2.999488164,jroberto,Santo Antonio do Monte/MG,earthquake,SE,POINT (-45.37225 -20.086657)
usp2024alan,2024-01-07 00:45:13.800000,0.0,marcelo,USP,mR,4.463910535,marcelo,Pacaraima/RR,earthquake,N,POINT (-61.1645 4.407667)
usp2023zohi,2023-12-30 13:59:34.628619,0.0,jroberto,USP,mR,2.757705193,jroberto,Barao de Melgaco/MT,earthquake,CO,POINT (-55.638191 -16.696945)
usp2023zluw,2023-12-29 05:25:39.801307,0.0,jroberto,USP,mR,3.077826366,jroberto,Campos de Julio/MT,earthquake,CO,POINT (-58.882675 -13.707447)
usp2023ywir,2023-12-20 18:14:19.429640,0.0,jroberto,USP,mR,3.229439459,jroberto,Sao Felix do Xingu/PA,earthquake,N,POINT (-52.319351 -7.525276)
usp2023yope,2023-12-16 12:25:49.745589,0.0,jroberto,USP,mR,2.17701386,jroberto,Capim Branco/MG,earthquake,SE,POINT (-44.143017 -19.527651)
usp2023yokp,2023-12-16 10:06:48.763264,0.0,jroberto,USP,mR,2.775397919,jroberto,Pocos de Caldas/MG,earthquake,SE,POINT (-46.520519 -21.702272)
usp2023yncs,2023-12-15 17:06:03.707179,0.0,jroberto,USP,mR,2.763591015,jroberto,Pocone/MT,earthquake,CO,POINT (-56.518131 -17.20937)
usp2023ykkc,2023-12-14 05:19:03.626318,0.0,jroberto,USP,MLv,2.195614209,jroberto,Bezerros/PE,earthquake,NE,POINT (-35.775387 -8.22724)
usp2023ykeq,2023-12-14 02:33:58.480992,0.0,jroberto,USP,mR,2.919158841,jroberto,Caracol/MS,earthquake,CO,POINT (-57.258434 -21.399588)
usp2023ykbh,2023-12-14 00:52:18.908318,0.0,jroberto,USP,mR,2.291073941,jroberto,Frutal/MG,earthquake,SE,POINT (-48.86557 -20.048788)
usp2023ybeh,2023-12-09 04:10:03.905895,0.0,jroberto,USP,mR,1.836788679,jroberto,Uaua/BA,earthquake,NE,POINT (-39.909946 -9.757798)
usp2023xtqq,2023-12-05 01:18:27.989427,0.0,bruno,USP,mR,2.518986055,bruno,Saldanha Marinho/RS,earthquake,S,POINT (-53.074253 -28.479563)
usp2023xmoi,2023-12-01 04:12:00.900000,0.0,marcelo,USP,mR,3.147284317,marcelo,Morada Nova de Minas/MG,earthquake,SE,POINT (-45.144667 -18.580167)
usp2023xjvl,2023-11-29 16:22:59.923406,0.0,jroberto,USP,mR,1.670954677,jroberto,Arapiraca/AL,earthquake,NE,POINT (-36.680813 -9.681239)
usp2023xiin,2023-11-28 20:42:50.717432,0.0,jroberto,USP,mR,1.776429142,jroberto,Jaboatao dos Guararapes/PE,earthquake,NE,POINT (-34.97583 -8.096702)
usp2023xifn,2023-11-28 19:12:17.687176,0.0,cleusa,USP,mR,1.609113062,cleusa,Maceió/AL,earthquake,NE,POINT (-35.716331 -9.630353)
usp2023xhsr,2023-11-28 12:43:11.530221,0.0,jroberto,USP,MLv,2.177632195,jroberto,Belo Monte/AL,earthquake,NE,POINT (-37.264862 -9.749947)
usp2023xhfc,2023-11-28 05:50:40.406157,0.0,bruno,USP,mR,1.711881128,bruno,Maceio/AL,earthquake,NE,POINT (-35.752361 -9.612338)
usp2023xfhn,2023-11-27 04:48:16.460386,0.0,cleusa,USP,mR,1.447616419,cleusa,Maceió/AL,earthquake,NE,POINT (-35.734772 -9.651063)
usp2023xdio,2023-11-26 03:03:08.530944,0.0,jroberto,USP,mR,2.963823104,jroberto,Parauapebas/PA,earthquake,N,POINT (-50.604691 -5.879117)
usp2023wzwy,2023-11-24 05:46:13.688326,0.0,bruno,USP,mR,1.494810856,bruno,Arapiraca/AL,earthquake,NE,POINT (-36.673073 -9.74105)
usp2023wsrg,2023-11-20 06:57:13.957394,0.0,jroberto,USP,mR,2.819370972,jroberto,Cumaru do Norte/PA,earthquake,N,POINT (-50.811947 -7.542828)
usp2023wrav,2023-11-19 09:30:38.712379,0.0,jroberto,USP,mR,2.178710698,jroberto,Jaguari/RS,earthquake,S,POINT (-54.57106 -29.433561)
usp2023wqop,2023-11-19 03:20:20.870497,0.0,jroberto,USP,mR,2.035626276,jroberto,Jaguari/RS,earthquake,S,POINT (-54.574516 -29.430159)
usp2023woox,2023-11-18 01:13:38.148922,0.0,bruno,USP,mR,2.147104775,bruno,Palmacia/CE,earthquake,NE,POINT (-38.975513 -4.043596)
usp2023wmcn,2023-11-16 16:41:36.714038,0.0,jroberto,USP,mR,2.043944341,jroberto,Flores/PE,earthquake,NE,POINT (-37.866825 -8.015985)
usp2023wlob,2023-11-16 09:22:53.847286,0.0,jroberto,USP,mR,2.399970443,jroberto,Rubim/MG,earthquake,SE,POINT (-40.664055 -16.478655)
usp2023wksv,2023-11-15 22:39:38.426033,0.0,jroberto,USP,mR,2.412834554,jroberto,Monjolos/MG,earthquake,SE,POINT (-44.203926 -18.570667)
usp2023wccv,2023-11-11 05:29:09.512468,0.0,jroberto,USP,mR,2.380920148,jroberto,Frutal/MG,earthquake,SE,POINT (-49.049095 -20.068808)
usp2023vuzo,2023-11-07 07:52:51.678648,0.0,jroberto,USP,mR,2.092046918,jroberto,Itabirito/MG,earthquake,SE,POINT (-43.866581 -20.26372)
usp2023vrca,2023-11-05 04:35:23.611865,0.0,jroberto,USP,mR,2.73602357,jroberto,Sitio do Mato/BA,earthquake,NE,POINT (-43.470352 -13.071293)
usp2023vmsm,2023-11-02 19:13:12.499067,0.0,jroberto,USP,mR,2.009276369,jroberto,Guarani de Goias/GO,earthquake,CO,POINT (-46.511002 -14.002666)
usp2023vmkj,2023-11-02 15:07:14.418698,0.0,jroberto,USP,mR,2.311320234,jroberto,Colonia Leopoldina/AL,earthquake,NE,POINT (-35.766403 -8.962841)
usp2023vbkt,2023-10-27 14:48:41.845175,0.0,jroberto,USP,mR,2.50700687,jroberto,Arcos/MG,earthquake,SE,POINT (-45.575123 -20.35239)
usp2023vaxx,2023-10-27 08:20:13.939937,0.0,jroberto,USP,mR,2.217969679,jroberto,Matozinhos/MG,earthquake,SE,POINT (-44.069637 -19.513212)
usp2023uzxy,2023-10-26 19:12:47.492734,0.0,jroberto,USP,MLv,2.133620958,jroberto,Bodoquena/MS,earthquake,CO,POINT (-56.660702 -20.540815)
usp2023uzfa,2023-10-26 09:38:41.848424,0.0,jroberto,USP,mR,2.328737819,jroberto,Uaua/BA,earthquake,NE,POINT (-39.922634 -9.83085)
usp2023uyom,2023-10-26 01:18:06.709818,0.0,jroberto,USP,mR,2.475985954,jroberto,Sao Caitano/PE,earthquake,NE,POINT (-36.14819 -8.33296)
usp2023uxuf,2023-10-25 15:03:14.147298,0.0,jroberto,USP,mR,2.185516256,jroberto,Quijingue/BA,earthquake,NE,POINT (-39.258244 -10.949253)
usp2023udsb,2023-10-14 15:14:20.813650,0.0,jroberto,USP,mR,3.285867778,jroberto,Serra Dourada/BA,earthquake,NE,POINT (-43.843174 -12.913412)
