ID,Event,Pick,Network,Station,Location,Channel,Latitude,Longitude,Distance,Origem Latitude,Origem Longitude,Pick Time,Origin Time,Start Time,End Time,Cat,MLv,Certainty,Path,Error
usp2024eite,20240302T165442,P,BR,JANB,,HHZ,-15.058097,-44.311197,481.9325275217885,,,,,,,,,,,dist_km > 400 km
usp2024eite,20240302T165442,S,BR,JANB,,HHR,,,,-19.41266667,-44.29683333,,2024-03-02T16:54:42.479999Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024eite,20240302T165442,S,BL,BB19B,,HHR,,,,-19.41266667,-44.29683333,,2024-03-02T16:54:42.479999Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024eite,20240302T165442,P,BL,BB19B,,HHZ,-21.0662,-48.5279,478.4653256924609,,,,,,,,,,,dist_km > 400 km
usp2024eite,20240302T165442,S,BL,ARCA,,HHZ,,,,-19.41266667,-44.29683333,,2024-03-02T16:54:42.479999Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024eite,20240302T165442,S,BL,SJMB,,HHE,,,,-19.41266667,-44.29683333,,2024-03-02T16:54:42.479999Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024eite,20240302T165442,S,BL,PMNB,,HHN,,,,-19.41266667,-44.29683333,,2024-03-02T16:54:42.479999Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024eite,20240302T165442,S,BL,BSCB,,HHN,,,,-19.41266667,-44.29683333,,2024-03-02T16:54:42.479999Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024eite,20240302T165442,S,VL,AGLP,,HHT,,,,-19.41266667,-44.29683333,,2024-03-02T16:54:42.479999Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024eite,20240302T165442,S,VL,CHCR,,HHR,,,,-19.41266667,-44.29683333,,2024-03-02T16:54:42.479999Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024eite,20240302T165442,S,VL,FJAO,,HH2,,,,-19.41266667,-44.29683333,,2024-03-02T16:54:42.479999Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024dyve,20240226T063440,S,BL,FRTB,,HHT,,,,-20.90156364,-48.61810684,,2024-02-26T06:34:40.071637Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024dyve,20240226T063440,S,BL,ITRB,,HHT,,,,-20.90156364,-48.61810684,,2024-02-26T06:34:40.071637Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024dyve,20240226T063440,S,BL,BB19B,,HHT,,,,-20.90156364,-48.61810684,,2024-02-26T06:34:40.071637Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024dxus,20240225T171210,S,BL,FRTB,,HHE,,,,-21.03433418,-48.64664841,,2024-02-25T17:12:10.595783Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024dxus,20240225T171210,S,BL,BB19B,,HHE,,,,-21.03433418,-48.64664841,,2024-02-25T17:12:10.595783Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024cypp,20240211T221302,S,BL,CANS,,HHT,,,,-20.01290703,-48.84467697,,2024-02-11T22:13:02.887000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024cypp,20240211T221302,S,BR,IPMB,,HHT,,,,-20.01290703,-48.84467697,,2024-02-11T22:13:02.887000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024cypp,20240211T221302,S,BL,ITRB,,HHT,,,,-20.01290703,-48.84467697,,2024-02-11T22:13:02.887000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024cypp,20240211T221302,S,BL,BB19B,,HHT,,,,-20.01290703,-48.84467697,,2024-02-11T22:13:02.887000Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024cxhs,20240211T050551,S,BR,SDBA,,HHN,,,,-12.97358418,-39.58476257,,2024-02-11T05:05:51.864122Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024cxhs,20240211T050551,P,BR,SDBA,,HHZ,-12.4085,-44.903,581.013215681862,,,,,,,,,,,dist_km > 400 km
usp2024cxhs,20240211T050551,S,BR,JANB,,HHN,,,,-12.97358418,-39.58476257,,2024-02-11T05:05:51.864122Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024cxhs,20240211T050551,P,BR,JANB,,HHZ,-15.058097,-44.311197,560.2141163546349,,,,,,,,,,,dist_km > 400 km
usp2024cxhs,20240211T050551,S,NB,NBAN,,HHE,,,,-12.97358418,-39.58476257,,2024-02-11T05:05:51.864122Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024cxhs,20240211T050551,P,NB,NBAN,,HHZ,-9.668656,-36.274726,513.9859756048105,,,,,,,,,,,dist_km > 400 km
usp2024cxhs,20240211T050551,S,BL,ARCA,,HHE,,,,-12.97358418,-39.58476257,,2024-02-11T05:05:51.864122Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024cxhs,20240211T050551,P,BL,ARCA,,HHZ,-16.8467,-41.9597,498.9227144505156,,,,,,,,,,,dist_km > 400 km
usp2024ckwu,20240204T095650,S,BL,CANS,,HHT,,,,-20.04706192,-48.89081955,,2024-02-04T09:56:50.899161Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024ckwu,20240204T095650,S,BR,IPMB,,HHT,,,,-20.04706192,-48.89081955,,2024-02-04T09:56:50.899161Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024ckwu,20240204T095650,S,BL,ITRB,,HHT,,,,-20.04706192,-48.89081955,,2024-02-04T09:56:50.899161Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024ckwu,20240204T095650,S,BL,BB19B,,HHT,,,,-20.04706192,-48.89081955,,2024-02-04T09:56:50.899161Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024cgyk,20240202T061237,S,BL,CANS,,HHT,,,,-19.99432755,-48.78662872,,2024-02-02T06:12:37.906624Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024cgyk,20240202T061237,S,BR,IPMB,,HHT,,,,-19.99432755,-48.78662872,,2024-02-02T06:12:37.906624Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024cgyk,20240202T061237,S,BL,ITRB,,HHT,,,,-19.99432755,-48.78662872,,2024-02-02T06:12:37.906624Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024cgyk,20240202T061237,S,BL,BB19B,,HHT,,,,-19.99432755,-48.78662872,,2024-02-02T06:12:37.906624Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024cfxj,20240201T163309,P,NB,NBPA,,HHZ,-5.75028,-37.112047,649.1472946235548,,,,,,,,,,,dist_km > 400 km
usp2024cfxj,20240201T163309,S,NB,NBPA,,HHT,,,,-10.56585884,-40.48091125,,2024-02-01T16:33:09.782793Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024cfxj,20240201T163309,P,BR,JANB,,HHZ,-15.058097,-44.311197,647.9191234872532,,,,,,,,,,,dist_km > 400 km
usp2024cfxj,20240201T163309,S,BR,JANB,,HHT,,,,-10.56585884,-40.48091125,,2024-02-01T16:33:09.782793Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024cfxj,20240201T163309,P,NB,NBPB,,HHZ,-5.543242,-39.583619,564.2160908199556,,,,,,,,,,,dist_km > 400 km
usp2024cfxj,20240201T163309,S,NB,NBPB,,HHT,,,,-10.56585884,-40.48091125,,2024-02-01T16:33:09.782793Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024cfxj,20240201T163309,P,NB,NBCA,,HHZ,-8.225687,-36.013016,554.775490325682,,,,,,,,,,,dist_km > 400 km
usp2024cfxj,20240201T163309,S,NB,NBCA,,HHT,,,,-10.56585884,-40.48091125,,2024-02-01T16:33:09.782793Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
usp2024cfxj,20240201T163309,P,NB,NBLV,,HHZ,-7.357693,-36.921745,528.2543217454502,,,,,,,,,,,dist_km > 400 km
usp2024cfxj,20240201T163309,S,NB,NBLV,,HHT,,,,-10.56585884,-40.48091125,,2024-02-01T16:33:09.782793Z,,,,,,,"Pick diferente de P, Pg ou Pn ou Channel diferente de H"
