folder,match_status,sisbra_time,sisbra_lat,sisbra_lon,sisbra_mag,fdsn_event_id,fdsn_origin_time,picks_count
20220721T151925_row5073,no_match,2022-07-21T15:19:25Z,-7.41,-35.09,2.2,,,0
20220723T135709_row5074,no_match,2022-07-23T13:57:09Z,-11.27,-40.52,2.5,,,0
20220724T081708_usp2022ojja_row5075,matched,2022-07-24T08:17:08Z,-8.97,-71.3,4.3,usp2022ojja,2022-07-24T08:17:08.163716Z,2
20220725T145605_usp2022olrr_row5076,matched,2022-07-25T14:56:05Z,-19.49,-44.25,2.2,usp2022olrr,2022-07-25T14:56:05.887206Z,5
20220727T172907_usp2022opnt_row5077,matched,2022-07-27T17:29:07Z,-8.51,-35.7,2.1,usp2022opnt,2022-07-27T17:29:07.617258Z,4
20220729T204451_usp2022otlf_row5078,matched,2022-07-29T20:44:51Z,-19.5,-44.24,2.9,usp2022otlf,2022-07-29T20:44:51.612111Z,11
20220731T033446_usp2022ovug_row5079,matched,2022-07-31T03:34:46Z,-5.28,-35.29,2.4,usp2022ovug,2022-07-31T03:34:46.538653Z,2
20220731T190529_usp2022owyy_row5080,matched,2022-07-31T19:05:27Z,-5.05,-34.92,3.7,usp2022owyy,2022-07-31T19:05:29.227835Z,4
20220731T191954_usp2022owzk_row5081,matched,2022-07-31T19:19:54Z,-4.68,-34.44,2.1,usp2022owzk,2022-07-31T19:19:54.591806Z,0
20220731T193958_usp2022oxab_row5082,matched,2022-07-31T19:39:58Z,-5.26,-35.11,2.4,usp2022oxab,2022-07-31T19:39:58.880742Z,4
20220801T025933_usp2022oxoo_row5083,matched,2022-08-01T02:59:33Z,-5.34,-35.1,2.1,usp2022oxoo,2022-08-01T02:59:33.139439Z,1
20220801T033625_usp2022oxpu_row5084,matched,2022-08-01T03:36:25Z,-18.76,-44.9,1.9,usp2022oxpu,2022-08-01T03:36:25.917129Z,5
20220803T060200_usp2022pblp_row5085,matched,2022-08-03T06:02:00Z,-4.69,-35.18,2.0,usp2022pblp,2022-08-03T06:02:00.000000Z,1
20220803T073334_usp2022pboq_row5086,matched,2022-08-03T07:33:36Z,-8.59,-74.46,4.6,usp2022pboq,2022-08-03T07:33:34.834681Z,1
20220803T145915_usp2022pcdi_row5087,matched,2022-08-03T14:59:15Z,-3.91,-40.46,2.9,usp2022pcdi,2022-08-03T14:59:15.883180Z,2
20220804T103929_usp2022pdqg_row5088,matched,2022-08-04T10:39:29Z,-20.13,-44.83,2.5,usp2022pdqg,2022-08-04T10:39:29.626962Z,10
20220804T204453_row5089,no_match,2022-08-04T20:44:53Z,-24.32,-48.04,2.0,,,0
20220805T140127_usp2022pfsk_row5090,matched,2022-08-05T14:01:27Z,-7.29,-35.83,1.9,usp2022pfsk,2022-08-05T14:01:27.463124Z,5
20220805T194148_usp2022pgdq_row5091,matched,2022-08-05T19:41:48Z,-9.61,-36.76,1.5,usp2022pgdq,2022-08-05T19:41:48.797432Z,3
20220807T041426_usp2022piqb_row5092,matched,2022-08-07T04:14:26Z,-18.22,-41.56,1.9,usp2022piqb,2022-08-07T04:14:26.573980Z,3
20220807T041732_usp2022piqe_row5093,matched,2022-08-07T04:17:32Z,-9.85,-39.82,2.0,usp2022piqe,2022-08-07T04:17:32.867666Z,4
20220808T230947_usp2022plxa_row5094,matched,2022-08-08T23:09:46Z,-5.45,-35.79,2.1,usp2022plxa,2022-08-08T23:09:47.955148Z,5
20220812T211944_row5095,no_match,2022-08-12T21:19:44Z,-5.5,-36.16,2.0,,,0
20220814T123036_usp2022pway_row5096,matched,2022-08-14T12:30:36Z,-15.32,-51.65,3.3,usp2022pway,2022-08-14T12:30:36.508817Z,1
20220815T094103_usp2022pxqw_row5097,matched,2022-08-15T09:41:03Z,-8.64,-74.35,4.2,usp2022pxqw,2022-08-15T09:41:03.366445Z,1
20220815T133800_row5098,no_match,2022-08-15T13:38:00Z,-3.11,-40.62,2.0,,,0
20220819T093316_usp2022qeyq_row5099,matched,2022-08-19T09:33:16Z,-9.78,-39.86,2.5,usp2022qeyq,2022-08-19T09:33:16.619630Z,4
20220819T190648_usp2022qfro_row5100,matched,2022-08-19T19:06:52Z,-7.79,-74.63,4.5,usp2022qfro,2022-08-19T19:06:48.596315Z,2
20220819T201514_row5101,no_match,2022-08-19T20:15:14Z,-24.75,-50.12,1.8,,,0
20220822T145553_usp2022qkvt_row5102,matched,2022-08-22T14:55:53Z,-19.57,-44.08,2.2,usp2022qkvt,2022-08-22T14:55:53.884550Z,7
20220823T182210_row5103,no_match,2022-08-23T18:22:10Z,-13.1,-39.56,2.3,,,0
20220824T070800_usp2022qnxi_row5104,matched,2022-08-24T07:08:00Z,-6.19,-37.54,1.9,usp2022qnxi,2022-08-24T07:08:00.872491Z,3
20220825T221559_row5105,no_match,2022-08-25T22:15:59Z,-13.07,-39.55,2.2,,,0
20220828T115000_row5106,no_match,2022-08-28T11:50:00Z,-4.84,-36.06,2.0,,,0
20220831T150249_row5107,no_match,2022-08-31T15:02:49Z,-10.86,-39.4,2.1,,,0
20220831T160423_row5108,no_match,2022-08-31T16:04:23Z,-8.29,-36.03,2.0,,,0
20220901T071235_usp2022rcnn_row5109,matched,2022-09-01T07:12:36Z,-12.57,-55.69,2.9,usp2022rcnn,2022-09-01T07:12:35.975635Z,2
20220902T035742_usp2022recp_row5110,matched,2022-09-02T03:57:41Z,-16.48,-52.95,2.8,usp2022recp,2022-09-02T03:57:42.421429Z,3
20220905T191617_row5111,no_match,2022-09-05T19:16:17Z,-19.61,-44.29,2.3,,,0
20220907T082841_usp2022rnpb_row5112,matched,2022-09-07T08:28:41Z,-8.88,-40.36,2.4,usp2022rnpb,2022-09-07T08:28:41.480679Z,7
20220907T082841_usp2022rnpb_row5113,matched,2022-09-07T08:29:00Z,-8.79,-40.37,2.5,usp2022rnpb,2022-09-07T08:28:41.480679Z,7
20220908T142509_row5114,no_match,2022-09-08T14:25:09Z,-22.92,-47.71,2.6,,,0
20220909T150220_row5115,no_match,2022-09-09T15:02:20Z,-10.55,-40.6,2.1,,,0
20220912T192713_usp2022rxoh_row5116,matched,2022-09-12T19:27:13Z,-3.77,-40.64,2.1,usp2022rxoh,2022-09-12T19:27:13.473148Z,3
20220912T194539_usp2022rxox_row5117,matched,2022-09-12T19:45:39Z,-8.54,-37.08,2.0,usp2022rxox,2022-09-12T19:45:39.088413Z,7
20220914T014434_usp2022rzwg_row5118,matched,2022-09-14T01:44:35Z,-16.7,-59.04,3.5,usp2022rzwg,2022-09-14T01:44:34.878086Z,6
20220915T202132_usp2022sdcp_row5119,matched,2022-09-15T20:21:32Z,-18.75,-48.22,2.9,usp2022sdcp,2022-09-15T20:21:32.420000Z,4
20220919T034321_row5120,no_match,2022-09-19T03:43:21Z,-9.85,-39.9,2.1,,,0
20220919T215900_row5121,no_match,2022-09-19T21:59:00Z,-9.85,-39.91,2.0,,,0
20220920T191046_row5122,no_match,2022-09-20T19:10:46Z,-14.16,-39.8,2.2,,,0
20220920T210734_row5123,no_match,2022-09-20T21:07:34Z,-24.41,-48.05,2.6,,,0
20220921T085054_usp2022snev_row5124,matched,2022-09-21T08:50:54Z,-21.68,-46.7,2.7,usp2022snev,2022-09-21T08:50:54.189038Z,11
20220922T181516_row5125,no_match,2022-09-22T18:15:16Z,-11.24,-40.51,2.1,,,0
20220923T160120_row5126,no_match,2022-09-23T16:01:20Z,-14.16,-39.79,2.0,,,0
20220926T184214_row5127,no_match,2022-09-26T18:42:14Z,-14.18,-39.19,2.0,,,0
20220927T115839_usp2022syka_row5128,matched,2022-09-27T11:58:39Z,-30.77,-51.83,2.1,usp2022syka,2022-09-27T11:58:39.284173Z,3
20220927T152429_usp2022syqv_row5129,matched,2022-09-27T15:24:29Z,-25.01,-48.06,2.0,usp2022syqv,2022-09-27T15:24:29.068492Z,2
20220928T182049_usp2022tasd_row5130,matched,2022-09-28T18:20:49Z,-8.98,-35.78,2.1,usp2022tasd,2022-09-28T18:20:49.130612Z,4
20220928T211537_usp2022taxx_row5131,matched,2022-09-28T21:15:37Z,-25.82,-56.98,3.2,usp2022taxx,2022-09-28T21:15:37.724052Z,5
20220930T193449_row5132,no_match,2022-09-30T19:34:49Z,-5.61,-36.23,2.0,,,0
20221001T011641_usp2022teww_row5133,matched,2022-10-01T01:16:41Z,-12.62,-40.27,1.7,usp2022teww,2022-10-01T01:16:41.318828Z,3
20221001T062353_usp2022tfha_row5134,matched,2022-10-01T06:23:55Z,-7.95,-74.53,4.7,usp2022tfha,2022-10-01T06:23:53.649600Z,2
20221006T162924_row5135,no_match,2022-10-06T16:29:24Z,-14.82,-58.78,2.7,,,0
