agency,total,matched,no_match,ambiguous,error,no_match_rate_pct,matched_rate_pct,matched_zero_picks,matched_mean_picks
UNB,425,134,290,1,0,68.235,31.529,69,1.761
UFRN,239,25,214,0,0,89.54,10.46,6,2.6
RSVL-USP,69,5,64,0,0,92.754,7.246,0,5.6
ESAR,63,11,52,0,0,82.54,17.46,11,0.0
UNB; CARVALHO ETAL.2020,55,4,51,0,0,92.727,7.273,1,1.75
RSBR-USP,978,965,10,3,0,1.022,98.671,44,3.969
RSBR,450,440,10,0,0,2.222,97.778,58,3.766
DIAS ET AL. GJINT. 2018,23,13,10,0,0,43.478,56.522,0,1.615
USP,276,267,9,0,0,3.261,96.739,9,4.082
RSVL-USP; UNB,8,0,8,0,0,100.0,0.0,0,0.0
IAG,60,53,7,0,0,11.667,88.333,50,0.434
UFRN;UNB,12,6,6,0,0,50.0,50.0,6,0.0
UNB; USP,73,68,5,0,0,6.849,93.151,2,3.265
IAG;UNB,21,16,5,0,0,23.81,76.19,16,0.0
USGS,9,4,5,0,0,55.556,44.444,4,0.0
UNB NO=6,5,0,5,0,0,100.0,0.0,0,0.0
IAG;IPT,17,12,4,1,0,23.529,70.588,11,0.25
IPT,7,3,4,0,0,57.143,42.857,1,8.667
UNB NO=8,4,0,4,0,0,100.0,0.0,0,0.0
UNB NO=7; IAG,3,0,3,0,0,100.0,0.0,0,0.0
IAG;UFRN,9,7,2,0,0,22.222,77.778,3,5.571
BARROS_ETAL_SBGF2015,7,5,2,0,0,28.571,71.429,0,3.4
ISC,6,4,2,0,0,33.333,66.667,4,0.0
SC3: MAG=ML-0.5; SENTIU-AÍ,6,4,2,0,0,33.333,66.667,0,1.75
USP_LDA-NET,6,4,2,0,0,33.333,66.667,0,2.5
RSBR AGURTO ETAL 2016,5,3,2,0,0,40.0,60.0,0,10.667
IPT IAG,3,1,2,0,0,66.667,33.333,1,0.0
UNB NO=12,3,1,2,0,0,66.667,33.333,1,0.0
UNB NO=6; IAG,3,1,2,0,0,66.667,33.333,1,0.0
IAG;UNESP,2,0,2,0,0,100.0,0.0,0,0.0
UNB NO=14,2,0,2,0,0,100.0,0.0,0,0.0
UNB NO=5,2,0,2,0,0,100.0,0.0,0,0.0
USP; UNB,110,107,1,2,0,0.909,97.273,3,4.009
MB-MAGSC3,37,35,1,1,0,2.703,94.595,2,1.486
SC3: MAG=ML-0.5,23,22,1,0,0,4.348,95.652,0,2.455
MLV_SC3-0.5,22,21,1,0,0,4.545,95.455,0,2.19
ON,8,7,1,0,0,12.5,87.5,1,7.286
RSBR UNB,7,6,1,0,0,14.286,85.714,1,3.167
USGS; UNB; USP,4,3,1,0,0,25.0,75.0,0,2.0
USP SC3: MLV-0.5,4,3,1,0,0,25.0,75.0,0,3.0
UFRN;IAG,3,2,1,0,0,33.333,66.667,2,0.0
UNB; IAG,3,2,1,0,0,33.333,66.667,2,0.0
UNB NO=10,2,1,1,0,0,50.0,50.0,0,1.0
UNB NO=3,2,1,1,0,0,50.0,50.0,1,0.0
DIAS ET AL. GJINT. 2018; UNB; USP,1,0,1,0,0,100.0,0.0,0,0.0
GS;IAG;UNB,1,0,1,0,0,100.0,0.0,0,0.0
IAG MR 3.5; UNB=3.5; ISC MB 4.1,1,0,1,0,0,100.0,0.0,0,0.0
IAG;IPT;UNB,1,0,1,0,0,100.0,0.0,0,0.0
IAG;IPT;UNESP-RC,1,0,1,0,0,100.0,0.0,0,0.0
IPT: ML DE IT4 MC1,1,0,1,0,0,100.0,0.0,0,0.0
IPT;ESAR;IAG,1,0,1,0,0,100.0,0.0,0,0.0
ISC MB 4.4,1,0,1,0,0,100.0,0.0,0,0.0
ISC; IAG,1,0,1,0,0,100.0,0.0,0,0.0
ISC; MS=3.2,1,0,1,0,0,100.0,0.0,0,0.0
ISC;IAG;UNB,1,0,1,0,0,100.0,0.0,0,0.0
RSBR-USP-UFRN,1,0,1,0,0,100.0,0.0,0,0.0
RSBR;UNB NO=16,1,0,1,0,0,100.0,0.0,0,0.0
RSBR;UNB NO=18,1,0,1,0,0,100.0,0.0,0,0.0
UDELAR,1,0,1,0,0,100.0,0.0,0,0.0
UDELAR/USP,1,0,1,0,0,100.0,0.0,0,0.0
UNA INPRES CPUP,1,0,1,0,0,100.0,0.0,0,0.0
UNB NO=13,1,0,1,0,0,100.0,0.0,0,0.0
UNB NO=15,1,0,1,0,0,100.0,0.0,0,0.0
UNB NO=16,1,0,1,0,0,100.0,0.0,0,0.0
UNB NO=23,1,0,1,0,0,100.0,0.0,0,0.0
UNB NO=50,1,0,1,0,0,100.0,0.0,0,0.0
UNB NO=5; IAG,1,0,1,0,0,100.0,0.0,0,0.0
UNB NO=7,1,0,1,0,0,100.0,0.0,0,0.0
UNB NO=9,1,0,1,0,0,100.0,0.0,0,0.0
UNB SAML,1,0,1,0,0,100.0,0.0,0,0.0
UNB; NO=6,1,0,1,0,0,100.0,0.0,0,0.0
UNESP,1,0,1,0,0,100.0,0.0,0,0.0
USGS; UNB; USP MB 4.7,1,0,1,0,0,100.0,0.0,0,0.0
USP ML-0.5,60,60,0,0,0,0.0,100.0,0,1.833
RSBR;IAG; MR-SC3,50,50,0,0,0,0.0,100.0,1,6.12
RSBR-USP; UNB,40,40,0,0,0,0.0,100.0,0,6.775
RSBR-USP; SC3: MLV-0.5,29,29,0,0,0,0.0,100.0,0,2.793
