folder,sisbra_time,sisbra_lat,sisbra_lon,sisbra_mag,agency,source_comments,state,localities
20141113T143940_row2730,2014-11-13T14:39:40Z,-9.27,-64.65,0.8,BARROS_ETAL_SBGF2015,(Barros_etal_SBGf2015) SIR mR_SC3=2.7,RO,Jirau
20141113T202809_row2733,2014-11-13T20:28:09.700000Z,-9.27,-64.65,1.3,BARROS_ETAL_SBGF2015,(Barros_etal_SBGf2015) SIR mR_SC3=1.6,RO,Jirau
20170103T210502_row3395,2017-01-03T21:05:02Z,-3.14,-43.86,2.2,DIAS ET AL. GJINT. 2018,(Dias et al. GJInt. 2018),MA,Cachoeira Grande
20170107T022741_row3400,2017-01-07T02:27:41Z,-3.14,-43.86,2.1,DIAS ET AL. GJINT. 2018,(Dias et al. GJInt. 2018),MA,Cachoeira Grande
20170110T043044_row3401,2017-01-10T04:30:44Z,-3.14,-43.86,0.2,DIAS ET AL. GJINT. 2018,(Dias et al. GJInt. 2018),MA,Cachoeira Grande
20170111T225404_row3403,2017-01-11T22:54:04Z,-3.14,-43.86,1.2,DIAS ET AL. GJINT. 2018,(Dias et al. GJInt. 2018),MA,Cachoeira Grande
20170111T231156_row3404,2017-01-11T23:11:56Z,-3.14,-43.86,0.8,DIAS ET AL. GJINT. 2018,(Dias et al. GJInt. 2018),MA,Cachoeira Grande
20170112T085502_row3405,2017-01-12T08:55:02Z,-3.14,-43.86,1.0,DIAS ET AL. GJINT. 2018,(Dias et al. GJInt. 2018),MA,Cachoeira Grande
20170117T001657_row3410,2017-01-17T00:16:57Z,-3.14,-43.86,0.2,DIAS ET AL. GJINT. 2018,(Dias et al. GJInt. 2018),MA,Cachoeira Grande
20170119T071435_row3411,2017-01-19T07:14:35Z,-3.14,-43.86,0.9,DIAS ET AL. GJINT. 2018,(Dias et al. GJInt. 2018),MA,Cachoeira Grande
20170119T233557_row3412,2017-01-19T23:35:57Z,-3.14,-43.86,0.1,DIAS ET AL. GJINT. 2018,(Dias et al. GJInt. 2018),MA,Cachoeira Grande
20170122T144052_row3413,2017-01-22T14:40:52Z,-3.14,-43.86,1.3,DIAS ET AL. GJINT. 2018,(Dias et al. GJInt. 2018),MA,Cachoeira Grande
20170202T071510_row3416,2017-02-02T07:15:10.600000Z,-3.143,-43.857,0.6,DIAS ET AL. GJINT. 2018; UNB; USP,(Dias et al. GJInt. 2018; UnB; USP),MA,Cachoeira Grande
20031010T171706_row1848,2003-10-10T17:17:06Z,-24.02,-45.97,2.2,ESAR,(ESAR),RJ,Plataforma continental
20041227T142405_row1895,2004-12-27T14:24:05Z,-22.23,-44.8,2.2,ESAR,(ESAR),SP,Cruzeiro
20051226T134145_row1916,2005-12-26T13:41:45Z,-25.03,-45.26,2.0,ESAR,(ESAR),SP,Plataforma continental
20051231T053246_row1917,2005-12-31T05:32:46Z,-22.53,-46.77,2.1,ESAR,(ESAR),SP,Serra Negra
20060103T192952_row1918,2006-01-03T19:29:52Z,-21.69,-42.38,2.1,ESAR,(ESAR),MG,Leopoldina
20060701T143904_row1938,2006-07-01T14:39:04Z,-21.08,-46.71,2.1,ESAR,(ESAR),MG,Jacui
20070905T040908_row1965,2007-09-05T04:09:08Z,-24.62,-43.28,2.3,ESAR,(ESAR),RJ,Plataforma continental
20080310T181742_row1982,2008-03-10T18:17:42Z,-23.72,-46.32,2.1,ESAR,(ESAR),SP,Ribeirao Pires
20080315T033230_row1983,2008-03-15T03:32:30Z,-24.99,-45.37,2.2,ESAR,(ESAR),SP,Plataforma continental
20080408T173113_row1992,2008-04-08T17:31:13Z,-23.59,-46.33,2.2,ESAR,(ESAR),SP,RIBEIRAO PIRES
20080513T194812_row2001,2008-05-13T19:48:12Z,-23.72,-46.3,2.0,ESAR,(ESAR),SP,RIBEIRAO PIRES
20080515T200705_row2002,2008-05-15T20:07:05Z,-21.43,-42.64,2.1,ESAR,(ESAR),MG,CATAGUASES
20081215T203657_row2016,2008-12-15T20:36:57Z,-23.63,-45.79,2.1,ESAR,(ESAR),SP,SALESOPOLIS
20090223T191941_row2022,2009-02-23T19:19:41Z,-24.42,-45.77,2.3,ESAR,(ESAR),RJ,Plataforma continental
20090305T011046_row2025,2009-03-05T01:10:46Z,-24.28,-44.59,2.2,ESAR,(ESAR),SP,Plataforma continental
20090309T164649_row2027,2009-03-09T16:46:49Z,-24.0,-45.86,2.4,ESAR,(ESAR),SP,Plataforma continental
20090311T175927_row2028,2009-03-11T17:59:27Z,-24.47,-45.92,2.4,ESAR,(ESAR),SP,Plataforma continental
20090331T154306_row2033,2009-03-31T15:43:06Z,-24.67,-44.96,2.2,ESAR,(ESAR),SP,Plataforma continental
20090430T202152_row2037,2009-04-30T20:21:52Z,-23.29,-46.28,2.4,ESAR,(ESAR),SP,STA ISABEL
